suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,19840516,1.025,1,1091820
1,19840549,1.9,1,1091821
1,19840653,0.5,1,1091920
1,19840673,0.3,1,1091921
5,19840674,12,1,1091922
5,19840684,0.5,3,1091923
5,19843097,1,1,1091926
1,19840721,2,1,1091975
2,19868591,1,1,1093833
5,19862782,0.5,1,1094072
5,19862820,2.8,1,1094073
4,19849536,0.115,1,1094092
10,19861693,1,3,1094126
2,19861694,0.5,1,1094127
5,19861718,10,1,1094128
5,19861730,38,1,1094129
8,19846010,3,9,1094151
1,19846043,0.5,1,1094152
1,19846058,0.5,1,1094153
4,19843787,0.4,1,1094229
4,19843790,2,1,1094230
12,19846184,1,3,1094270
5,19846186,0.5,3,1094271
5,19849774,1.5,1,1094276
5,19849816,1.2,1,1094277
1,19849817,1,1,1094278
1,19849820,1.1,1,1094279
1,19849821,0.6,1,1094280
5,19857134,1.001,1,1094288
5,19857146,1.5,1,1094289
5,19849852,0.5,1,1094313
1,19849897,2,1,1094314
5,19854813,4.5,1,1094326
4,19856101,2,1,1094371
5,19850035,1.005,1,1094422
5,19850040,5.5,1,1094423
1,19850041,0.9,1,1094424
2,19850043,5.2,1,1094425
2,19850047,3.6,1,1094426
1,19850060,9,1,1094427
1,19856174,1.5,1,1094443
5,19850067,0.5,3,1094513
5,19850072,2,1,1094514
5,19850082,2,1,1094515
5,19850084,1,1,1094516
5,19850091,10,1,1094517
1,19850113,0.1,1,1094518
1,19850119,0.08,1,1094519
5,19856188,1,1,1094535
1,19856196,6.7,1,1094536
5,19845363,2.6,1,1094574
4,19850145,6.2,1,1094581
5,19850152,2,1,1094582
5,19850156,85.5,1,1094583
5,19861067,1,1,1094604
4,19861068,0.45,1,1094605
5,19861112,4,1,1094606
5,19845406,0.5,3,1094621
5,19850217,1.5,1,1094637
5,19850244,1,1,1094638
5,19845489,2,1,1094670
5,19845490,0.7,3,1094671
5,19844351,3.4,1,1094707
4,19845583,0.7,1,1094708
1,19845595,0.4,1,1094709
5,19849181,7.5,3,1094714
4,19849207,1,1,1094715
1,19850417,4,1,1094720
10,19855298,1,5,1094731
5,19857760,3,1,1094732
4,19849240,0.825,1,1094759
5,19849252,0.6,1,1094760
5,19849290,0.026,3,1094761
5,19850462,0.8,1,1094763
5,19850473,72,1,1094764
5,19850483,0.25,3,1094765
5,19850492,0.6,3,1094766
4,19851677,1.05,1,1094767
3,19851683,0.3,1,1094768
1,19851684,22.8,1,1094769
5,19851715,2,1,1094770
5,19851725,0.5,1,1094771
4,19854156,0.75,1,1094776
4,19854178,2,1,1094777
5,19855361,1,1,1094778
5,19856611,0.5,1,1094781
1,19856619,2,1,1094782
2,19856621,1,1,1094783
5,19857783,3,1,1094784
1,19851735,0.2,1,1094813
4,19851749,0.2,1,1094814
1,19851757,14.2,1,1094815
5,19855499,20.5,1,1094820
5,19857903,25,1,1094824
5,19857910,5.6,1,1094825
1,19856752,1,1,1094910
4,19862768,7,1,1094982
5,19843682,1.4,3,1096280
5,19843716,0.125,1,1096281
5,19843724,30,1,1096282
17,19846043,0.5,9,1261257
4,19840673,0.4,1,1245920
1,19849536,0.1,1,1246153
16,19861693,3,9,1246162
5,19861694,1,1,1246163
5,19846043,1.5,1,1246167
5,19846058,1,1,1246168
14,19846184,23,9,1246183
3,19850040,1,1,1246208
4,19850041,2.5,1,1246209
5,19850043,1.5,3,1246210
12,19849181,17,9,1246246
2,19851677,0.75,1,1246255
5,19851684,17.4,1,1246256
4,19856619,0.5,1,1246258
4,19851735,0.5,1,1246262
5,19856752,19,1,1246274
