offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
25510788,20317042,51,C,1,,,
25513053,20317043,51,C,13,,,
25511056,20317044,27,C,1,,,
25510789,20317045,51,C,1,,,
25502517,20317046,51,C,13,,,
25510790,20317047,18,C,1,,,
25502518,20317048,7,C,18,,,
25511057,20317049,13,C,1,,,
25511058,20317050,45,C,1,,,
25511059,20317051,40,A,13,,,
25510791,20317052,7,C,18,,,
25510792,20317052,5,C,18,,,
25502519,20317053,5,C,1,,,
25513054,20317054,7,C,18,,,
25502520,20317055,21,C,18,,,
25513055,20317056,40,C,1,,,
25510793,20317057,21,C,18,,,
25511060,20317058,40,C,1,,,
25528375,20317059,14,C,18,,,
25528376,20317059,5,C,18,,,
25502521,20317060,40,C,13,,,
25511061,20317061,7,C,18,,,
25511062,20317061,5,C,18,,,
25502522,20317062,7,C,18,,,
25502523,20317062,21,A,18,,,
25502524,20317062,5,C,18,,,
25510794,20317063,27,C,1,,,
25528377,20317064,51,C,1,,,
25510795,20317065,16,C,1,,,
25510796,20317065,35,C,1,,,
25510797,20317066,5,C,18,,,
25513056,20317067,18,A,1,,,
25510798,20317068,51,C,13,,,
25528378,20317069,45,C,1,,,
25510799,20317070,5,C,18,,,
25513057,20317071,21,C,18,,,
25510800,20317072,13,C,1,,,
25528379,20317073,7,C,18,,,
25528380,20317074,27,C,13,,,
25511063,20317075,51,C,1,,,
25511064,20317076,51,C,13,,,
25513058,20317077,45,C,1,,,
25511065,20317078,51,C,1,,,
25511067,20317083,7,C,1,,,
25511068,20317084,7,A,18,,,
25511069,20317084,5,C,18,,,
25510801,20317085,44,C,1,,,
25528381,20317079,35,C,1,,,
25528382,20317080,51,C,1,,,
25528383,20317081,18,A,1,,,
25511066,20317082,5,C,18,,,
25513059,20317086,5,C,18,,,
25513060,20317087,7,C,18,,,
25502525,20317088,51,C,1,,,
25502526,20317089,45,C,1,,,
25510802,20317090,16,C,1,,,
25510803,20317090,35,C,1,,,
25511070,20317091,51,C,1,,,
25510804,20317092,5,C,18,,,
25502527,20317093,5,C,18,,,
25511071,20317094,16,C,1,,,
25511072,20317094,35,C,1,,,
25511073,20317095,14,C,18,,,
25511074,20317095,5,C,18,,,
25511075,20317096,16,C,1,,,
25528384,20317097,45,C,1,,,
25528385,20317098,5,C,18,,,
25510805,20317099,7,C,18,,,
25510806,20317099,5,C,18,,,
25510807,20317100,51,C,1,,,
25510808,20317101,16,C,13,,,
25511076,20317102,45,C,1,,,
25502490,20316945,27,C,1,,,
25528352,20316946,51,C,1,,,
25512513,20316947,51,C,1,,,
25502491,20316948,14,C,18,,,
25511032,20316949,40,C,1,,,
25528353,20316950,16,C,1,,,
25502492,20316951,16,C,1,,,
25502493,20316951,35,C,1,,,
25512514,20316952,5,C,18,,,
25512515,20316953,7,C,18,,,
25510769,20316954,45,C,1,,,
25528354,20316955,7,C,18,,,
25528355,20316955,5,C,18,,,
25512516,20316956,16,C,1,,,
25512517,20316956,35,C,1,,,
25502494,20316957,5,C,25,,,
25510770,20316958,39,C,1,,,
25511033,20316959,27,C,1,,,
25512518,20316960,7,C,18,,,
25512519,20316960,5,C,18,,,
25510771,20316961,28,C,1,,,
25510772,20316961,16,C,1,,,
25513034,20316962,21,A,18,,,
25513035,20316962,5,C,18,,,
25502495,20316963,45,C,1,,,
25513036,20316964,51,C,1,,,
