victim_id,offender_id,relationship_id,nibrs_victim_offender_id
25833133,27008001,24,8363362
25833134,27008002,24,8431036
25833134,27008003,24,8662792
25833134,27008004,24,8728868
25832978,27007821,24,8363205
25832983,27007826,24,8434047
25832993,27007838,3,7760480
25832994,27007839,24,8434048
25832994,27007840,24,8663866
25832999,27007845,24,8434049
25833002,27007848,1,7596735
25833002,27007849,1,8542178
25833002,27007850,1,8727553
25833003,27007851,24,8471020
25833003,27007852,24,8662789
25833007,27007855,24,8363206
25833008,27007856,24,8434050
25833011,27007858,24,8434051
25833011,27007859,24,8663867
25833011,27007860,24,8727552
25833012,27007858,24,8434052
25833012,27007859,24,8663868
25833012,27007860,24,8727551
25833013,27007858,24,8434053
25833013,27007859,24,8663869
25833013,27007860,24,8727550
25833014,27007861,3,7760481
25833015,27007862,24,8434054
25833018,27007866,24,8434255
25833021,27007869,24,8434256
25833021,27007870,24,8663935
25833021,27007871,24,8727457
25833022,27007872,24,8434257
25833022,27007873,24,8663936
25833022,27007876,24,8774870
25833022,27007875,24,8763277
25833022,27007874,24,8727456
25833022,27007877,24,8781450
25833027,27007882,24,8363356
25833032,27007887,24,8434258
25833032,27007888,24,8663937
25833035,27007891,24,8434259
25833036,27007892,24,8431032
25833037,27007893,24,8434260
25833037,27007894,24,8663938
25833040,27007897,24,8361016
25833049,27007906,1,7597081
25833050,27007907,24,8434261
25833053,27007910,24,8434262
25833053,27007911,24,8663939
25833054,27007912,24,8434263
25833054,27007913,24,8663940
25833058,27007917,3,7760783
25833058,27007918,24,8663941
25833059,27007917,24,8434264
25833059,27007918,24,8663942
25833060,27007919,24,8434265
25833061,27007920,24,8434266
25833062,27007921,24,8434267
25833062,27007922,24,8663943
25833062,27007927,24,8785700
25833062,27007925,24,8774878
25833062,27007924,24,8763276
25833062,27007923,24,8727455
25833062,27007926,24,8781457
25833073,27007937,24,8434268
25833073,27007938,24,8663944
25833073,27007939,24,8727454
25833079,27007943,24,8434269
25833081,27007945,24,8431033
25833081,27007946,24,8676253
25833082,27007947,24,8434270
25833084,27007951,24,8434271
25833092,27007960,24,8434272
25833095,27007963,24,8471022
25833097,27007965,24,8434273
25833097,27007966,24,8663945
25833108,27007977,24,8471023
25833113,27007979,24,8434290
25833114,27007980,24,8363361
25833114,27007981,24,8663950
25833114,27007983,24,8763275
25833114,27007982,24,8727452
25833116,27007985,24,8434291
25833117,27007986,24,8434292
25833121,27007990,24,8434293
25833125,27007994,24,8434294
25833128,27007997,24,8434295
25833135,27008005,24,8434296
25833138,27008008,24,8434297
25833140,27008010,24,8363363
25833145,27008013,24,8363364
25833149,27008017,24,8431037
25833150,27008018,24,8434298
25833152,27008020,3,7760785
25833157,27008024,24,8434299
25833160,27008027,24,8434300
25833165,27008032,1,7597085
25833167,27008034,24,8363365
25833168,27008035,24,8434301
25833169,27008036,3,7760786
25833170,27008037,24,8434302
25833171,27008038,24,8434303
25833172,27008038,24,8434304
25833176,27008040,16,8032558
25833178,27008042,24,8434305
25833180,27008044,16,8032559
25833180,27008045,16,8595406
25833180,27008046,16,8727451
25833181,27008044,16,8032560
25833181,27008045,16,8595407
25833181,27008046,16,8727450
25833182,27008047,24,8434306
25833183,27008048,24,8434307
25833185,27008050,24,8434308
25833185,27008051,24,8663951
25833186,27008052,24,8434309
25833188,27008054,24,8471025
25833188,27008055,24,8663952
25833190,27008057,1,7597086
25833190,27008058,1,8542236
25833191,27008057,1,7597087
25833191,27008058,1,8542237
25833197,27008065,6,7859590
25833200,27008068,24,8434310
25833204,27008072,24,8471026
25833204,27008073,24,8663953
25833204,27008076,24,8774883
25833204,27008075,24,8763274
25833204,27008074,24,8727449
25833206,27008078,24,8471182
25833206,27008079,24,8663954
25833206,27008082,24,8774884
25833206,27008081,24,8763273
25833206,27008080,24,8727448
