victim_id,circumstances_id,justifiable_force_id
36487474,2,
36487502,10,
36487503,10,
36487547,1,
36479943,1,
36474381,9,
36474389,10,
36474435,10,
36474442,9,
36474462,10,
36474471,9,
36474472,9,
36477590,1,
36477591,1,
36477592,1,
36477593,1,
36477594,1,
36477601,10,
36477606,9,
36480885,1,
36480886,10,
36483237,1,
36486419,9,
36486420,10,
36474482,1,
36474483,1,
36474494,9,
36474501,1,
36474510,10,
36474521,9,
36477644,9,
36477645,9,
36477669,9,
36477670,9,
36480910,9,
36480911,9,
36480912,9,
36480936,9,
36474522,9,
36477685,9,
36477687,1,
36480968,1,
36480985,10,
36480993,10,
36481010,10,
36484202,1,
36475435,9,
36475439,1,
36475440,1,
36484239,9,
36475467,9,
36475474,1,
36475476,1,
36475484,9,
36475485,1,
36475486,1,
36484296,1,
36484300,1,
36484301,1,
36484302,1,
36484316,10,
36475518,10,
36475533,10,
36475534,10,
36475583,9,
36475591,10,
36478771,1,
36478777,9,
36478801,1,
36478819,10,
36478824,10,
36478827,9,
36482081,1,
36482082,2,
36482083,2,
36485257,10,
36482087,1,
36482096,10,
36485269,10,
36485292,1,
36485293,1,
36476511,1,
36482149,10,
36485344,9,
36476555,1,
36476584,10,
36485363,9,
36485381,9,
36485397,4,
36485398,1,
36485399,1,
36485401,9,
36476619,9,
36476635,2,
36479843,9,
36479844,9,
36479914,10,
36479927,2,
36483112,10,
36483116,1,
36483120,10,
36483121,10,
36474353,1,
36474367,1,
36474368,1,
36474370,1,
36471228,1,
36471241,9,
36471273,1,
36472200,9,
36472229,10,
36472296,1,
36472307,10,
36472318,1,
36473284,2,
36473285,2,
36470145,1,
36470150,10,
36473295,2,
36473296,2,
36473321,10,
36473326,9,
36473333,1,
36473341,10,
36473365,10,
36473383,10,
36473408,9,
36473421,10,
36473424,10,
36471109,9,
36471122,2,
36471123,2,
36471185,10,
36471200,10,
36486506,10,
36485397,5,
36485398,5,
36485399,5,
36474367,5,
36474368,5,
