property_id,incident_id,prop_loss_id,stolen_count,recovered_count,ff_line_number
54200963,49233745,7,,,
54201130,49233746,4,,,
54201131,49233746,5,,1,
54201132,49233746,7,1,,
54201133,49233746,7,0,,
54201134,49233746,7,,,
54200964,49233747,7,,,
54193972,49233748,7,,,
54196959,49233749,1,,,
54196960,49233749,4,,,
54196961,49233749,7,,,
54201135,49233750,4,,,
54201136,49233750,7,0,,
54202254,49233751,1,,,
54202255,49233751,4,,,
54197419,49233753,7,,,
54202256,49233754,4,,,
54202257,49233754,7,0,,
54200965,49233756,7,0,,
54202258,49233757,1,,,
54201137,49233758,1,,,
54201138,49233758,4,,,
54196962,49233759,4,,,
54196963,49233759,7,,,
54196964,49233759,7,,,
54196965,49233759,7,,,
54202286,49234714,6,,,
54202287,49234715,7,0,,
54200992,49234716,7,,,
54193999,49234720,5,,0,
54197445,49234722,6,,,
54202288,49234723,6,,,
54202289,49234723,6,,,
54200993,49234724,4,,,
54196983,49234726,6,,,
54201139,49233760,1,,,
54201140,49233760,4,,,
54201141,49233760,7,0,,
54199601,49233761,7,1,,
54201142,49233762,4,,,
54202259,49233763,4,,,
54202260,49233763,7,,,
54199602,49233764,7,1,,
54193973,49233765,7,,,
54202261,49233766,7,,,
54202262,49233767,7,,,
54200966,49233769,7,,,
54197420,49233771,7,,,
54199603,49233772,7,,,
54201143,49233773,7,0,,
54201144,49233774,4,,,
54201145,49233774,7,0,,
54196966,49233776,4,,,
54200967,49233777,7,1,,
54202263,49233778,4,,,
54193974,49233779,4,,,
54201146,49233780,7,,,
54193975,49233781,1,,,
54193976,49233781,4,,,
54193977,49233781,7,,,
54197421,49233782,4,,,
54197422,49233782,7,,,
54197423,49233782,7,,,
54197424,49233782,7,,,
54197425,49233782,7,0,,
54197426,49233782,7,,,
54202264,49233783,7,,,
54202265,49233783,7,,,
54196967,49233784,7,1,,
54193978,49233785,4,,,
54200968,49233786,7,,,
54200969,49233787,7,,,
54201147,49233788,7,,,
54201148,49233788,7,,,
54196968,49233789,4,,,
54196969,49233789,7,0,,
54200970,49233790,1,,,
54200971,49233790,4,,,
54201149,49233791,7,,,
54201150,49233792,7,1,,
54202266,49233793,4,,,
54202267,49233794,4,,,
54202268,49233794,7,0,,
54196970,49233795,7,,,
54197427,49233796,4,,,
54197428,49233796,7,0,,
54199604,49233797,4,,,
54199605,49233799,4,,,
54201151,49233800,7,,,
54201152,49233800,7,,,
54201976,49233800,7,,,
54201977,49233800,7,,,
54197429,49233802,4,,,
54197430,49233803,4,,,
54197431,49233803,7,0,,
54202269,49233804,4,,,
54202270,49233804,7,0,,
54199606,49233806,4,,,
54197432,49233807,7,,,
54197433,49233807,7,,,
54197434,49233808,1,,,
54197435,49233808,4,,,
54196971,49233810,4,,,
54193979,49233811,1,,,
54200972,49233813,4,,,
54200973,49233813,7,0,,
54196972,49233814,5,,0,
54196973,49233815,4,,,
54199607,49233816,4,,,
54199608,49233816,7,0,,
