offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
61103823,54254616,0,,,,,,,,
61103824,54254617,0,,,,,,,,
61103825,54254618,1,5,17,M,2,,,,
61105337,54254619,1,5,17,M,2,,,,
61105338,54254620,1,5,21,M,2,,,,
61105339,54254621,0,,,,,,,,
61105340,54254622,1,5,21,M,2,,,,
61105341,54254623,1,5,21,M,2,,,,
61105342,54254624,1,5,23,F,2,,,,
61105343,54254625,1,5,16,M,2,,,,
61105344,54254626,1,5,24,M,2,,,,
61105345,54254627,0,,,,,,,,
61105346,54254628,0,,,,,,,,
61105347,54254629,0,,,,,,,,
61105348,54254630,0,,,,,,,,
61105351,54254631,3,5,16,M,2,,,,
61105350,54254631,2,5,16,M,2,,,,
61105349,54254631,1,5,17,M,2,,,,
61105359,54254632,8,5,18,M,2,,,,
61105358,54254632,7,5,15,M,2,,,,
61105357,54254632,6,5,15,M,2,,,,
61105356,54254632,5,5,17,M,2,,,,
61105355,54254632,4,5,16,M,2,,,,
61105354,54254632,3,5,16,M,2,,,,
61105353,54254632,2,5,16,M,2,,,,
61105352,54254632,1,5,15,M,2,,,,
61105360,54254633,1,5,28,M,2,,,,
61105361,54254634,1,5,46,M,1,,,,
61105362,54254635,0,,,,,,,,
61105363,54254636,0,,,,,,,,
61105364,54254637,0,,,,,,,,
61105365,54254638,1,5,17,M,2,,,,
61105367,54254639,2,5,18,M,2,,,,
61105366,54254639,1,5,18,M,2,,,,
61105368,54254640,1,5,15,M,2,,,,
61105369,54254641,1,5,18,F,2,,,,
61105370,54254642,0,,,,,,,,
61105371,54254643,0,,,,,,,,
61105372,54254644,1,5,21,M,2,,,,
61105373,54254645,1,5,20,M,2,,,,
61105374,54254646,1,5,15,M,2,,,,
61105378,54254647,4,4,,M,2,,,,
61105377,54254647,3,4,,M,2,,,,
61105376,54254647,2,4,,M,2,,,,
61105375,54254647,1,4,,M,2,,,,
61105379,54254648,1,5,14,M,2,,,,
61105380,54254648,2,5,14,M,2,,,,
61105381,54254649,1,5,25,M,2,,,,
61105383,54254650,2,5,17,M,2,,,,
61105382,54254650,1,5,17,M,2,,,,
61105384,54254651,1,5,25,M,2,,,,
61105386,54254652,2,5,15,M,2,,,,
61105385,54254652,1,5,16,M,2,,,,
61105387,54254653,1,5,18,M,2,,,,
61105388,54254654,1,5,24,M,2,,,,
61105389,54254655,1,5,37,M,2,,,,
61105390,54254656,1,5,17,M,2,,,,
61105391,54254656,2,5,17,M,2,,,,
61105392,54254657,1,5,27,M,2,,,,
61105393,54254658,1,5,24,M,2,,,,
61105394,54254659,0,,,,,,,,
61105396,54254660,2,5,22,M,2,,,,
61105395,54254660,1,5,22,M,2,,,,
61105397,54254661,0,,,,,,,,
61105400,54254662,3,5,35,M,2,,,,
61105399,54254662,2,5,49,M,2,,,,
61105398,54254662,1,5,57,F,2,,,,
61105401,54254663,1,5,25,M,2,,,,
61105403,54254664,2,5,19,M,2,,,,
61105402,54254664,1,5,19,M,2,,,,
