victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,agency_data_year,ff_line_number,age_range_low_num,age_range_high_num
58788683,54254616,1,3,,,,,,,,,,,,,
58788684,54254617,1,4,,,,5,41,F,2,2,N,,,,
58788685,54254618,1,4,,,,5,36,M,1,1,R,,,,
58788686,54254619,1,8,,,,,,,,,,,,,
58788687,54254620,1,4,,,,5,29,F,1,2,N,,,,
58788688,54254621,1,4,,,,5,26,F,1,2,N,,,,
58788689,54254622,1,4,,,,5,54,F,1,2,N,,,,
58788690,54254623,2,4,,,,5,14,M,2,2,N,,,,
58788691,54254624,1,8,,,,,,,,,,,,,
58788692,54254625,1,4,,,,5,23,F,1,1,N,,,,
58788693,54254626,1,4,,,,5,24,F,2,2,N,,,,
58788694,54254627,1,4,,,,5,36,M,2,2,N,,,,
58788695,54254628,2,3,,,,,,,,,,,,,
58788696,54254629,1,4,,,,5,42,M,2,2,N,,,,
58788697,54254630,1,4,,,,5,46,M,1,2,N,,,,
58788698,54254631,1,4,,,,5,17,M,2,2,R,,,,
58788699,54254632,1,4,,,,5,16,M,2,2,N,,,,
58788700,54254633,1,4,,,,5,19,M,2,2,N,,,,
58788701,54254634,1,4,,,,5,47,M,2,2,N,,,,
58788702,54254635,1,3,,,,,,,,,,,,,
58788703,54254636,1,4,,,,5,59,M,1,3,N,,,,
58788704,54254637,1,4,,,,5,26,M,1,2,N,,,,
58788705,54254638,1,4,,,,5,32,M,2,2,R,,,,
58788706,54254639,1,4,,,,5,26,M,2,2,R,,,,
58788707,54254639,2,4,,,,5,28,M,1,2,R,,,,
58788708,54254640,1,4,,,,5,27,M,2,1,R,,,,
58788709,54254641,1,4,,,,5,19,F,2,2,N,,,,
58788710,54254642,1,3,,,,,,,,,,,,,
58788711,54254643,1,4,,,,5,49,F,1,2,N,,,,
58788712,54254644,1,4,,,,5,27,F,1,2,N,,,,
58788713,54254645,1,4,,,,5,52,M,1,3,N,,,,
58788714,54254646,1,4,,,,5,32,F,1,1,N,,,,
58788715,54254647,1,4,,,,5,15,M,2,2,R,,,,
58788716,54254648,1,4,,,,5,14,M,2,2,R,,,,
