weapon_id,offense_id,nibrs_weapon_id
12,62321415,12541979
12,62325324,12543997
12,62345184,12536583
20,62336585,12544374
12,62329871,12544297
20,62336586,12544375
12,62321418,12541980
20,62321419,12541981
18,62334710,12569276
9,62334710,12545688
20,62340597,12536236
12,62329874,12544298
12,62321421,12541982
12,62345185,12536584
12,62329875,12544299
20,62340599,12536237
9,62345186,12536585
12,62340600,12536238
10,62325329,12543998
12,62321422,12541983
18,62334715,12569277
12,62334715,12545689
12,62334718,12569278
9,62334718,12545690
12,62345192,12536586
12,62334719,12545691
12,62321424,12541984
12,62329882,12544516
3,62341233,12537495
12,62325335,12543999
9,62329883,12544517
12,62336589,12544376
12,62334722,12545692
12,62336590,12544377
12,62325339,12544000
12,62336592,12544378
12,62325340,12544001
3,62345195,12536587
3,62345196,12536588
12,62341240,12537496
3,62334726,12545693
12,62341241,12537497
12,62345202,12536589
12,62321432,12541985
12,62325343,12544002
12,62336595,12544379
12,62341242,12537498
12,62334729,12545694
12,62345205,12536590
12,62325345,12544003
12,62329887,12544518
3,62345206,12536591
12,62329889,12544519
18,62341243,12537499
12,62334732,12545695
20,62345207,12536592
12,62341246,12537500
12,62345208,12536593
12,62345209,12536594
12,62336601,12544380
12,62345210,12536595
3,62333955,12542915
12,62321398,12539085
12,62321399,12539086
3,62333957,12542916
12,62325307,12543994
12,62340562,12536119
3,62340563,12536120
10,62332081,12544085
12,62340565,12536121
12,62325308,12543995
12,62344673,12535510
9,62329854,12544294
18,62332083,12544086
12,62329855,12544295
12,62332084,12544087
12,62340570,12536122
12,62332088,12544088
12,62345172,12536579
9,62345173,12536580
12,62334694,12545682
12,62321404,12541977
12,62340580,12536230
12,62336576,12544372
12,62336577,12544373
12,62329858,12544296
12,62340581,12536231
12,62345174,12536581
12,62340583,12536232
3,62321406,12541978
12,62334698,12545683
20,62340587,12536233
9,62340589,12536234
12,62334699,12545684
3,62334701,12545685
12,62345178,12536582
18,62334702,12545686
3,62325320,12543996
20,62334704,12545687
12,62340591,12536235
12,62336603,12544381
12,62334737,12545696
12,62329893,12544520
12,62345211,12536596
12,62325351,12544004
12,62325352,12544005
12,62334738,12545697
12,62329899,12544523
12,62336611,12544383
9,62329900,12544524
9,62329901,12544525
9,62330664,12543346
12,62330665,12543347
12,62336613,12544384
12,62321446,12541987
12,62325356,12544225
9,62325357,12569238
12,62325357,12544226
12,62325359,12544227
12,62336616,12544385
6,62334746,12545698
3,62330671,12543348
12,62334749,12545699
12,62321447,12541988
3,62334751,12545700
12,62336620,12544386
12,62321448,12541989
12,62327932,12545580
12,62334754,12541914
12,62334755,12541915
3,62345221,12536727
3,62334756,12541916
12,62333395,12544839
12,62336622,12544618
12,62341262,12537501
12,62341263,12537502
12,62327934,12545581
12,62345223,12536728
12,62327935,12545582
12,62333398,12544840
3,62333400,12544841
20,62327936,12545583
20,62341264,12537503
12,62333401,12544842
12,62327937,12545584
12,62321450,12541990
12,62334758,12541917
12,62336624,12544619
12,62341265,12537504
19,62341266,12537505
12,62327938,12545585
12,62333405,12544843
12,62327939,12545586
12,62341267,12537506
3,62333408,12544844
12,62341268,12537507
12,62321453,12541991
12,62334760,12541918
12,62334761,12541919
12,62334762,12541920
12,62334763,12541921
12,62327941,12545587
12,62333411,12544845
12,62327942,12545588
3,62336630,12544620
12,62333414,12544846
12,62327943,12545589
12,62334175,12543631
3,62334769,12541922
12,62334770,12541923
9,62327944,12545590
3,62321465,12541992
9,62327945,12545591
10,62336634,12544621
12,62336635,12544622
12,62341278,12537621
3,62334772,12541924
18,62336638,12544623
20,62345238,12536729
12,62321439,12541986
12,62345212,12536597
3,62325353,12544006
12,62325354,12544007
12,62329894,12544521
12,62336609,12544382
9,62345214,12536598
12,62329895,12544522
12,62347155,12536329
12,62322268,12544931
20,62341323,12537631
12,62337438,12543435
12,62347156,12536330
12,62337439,12543436
12,62324928,12542541
12,62341329,12537632
18,62334227,12569227
12,62334227,12543852
18,62334230,12543853
12,62337440,12543437
12,62347159,12536331
9,62341335,12537633
12,62334234,12543854
12,62334798,12541931
12,62336656,12544630
9,62334799,12541932
18,62336657,12544631
12,62345265,12536735
12,62345266,12536736
9,62336662,12544632
3,62334802,12541933
20,62334803,12541934
12,62327971,12545598
12,62336664,12544633
12,62327972,12545599
12,62334805,12541935
12,62334806,12541936
12,62327974,12545600
12,62345276,12536737
