nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
5785783,2243,1,2012,U,,,N,F,,C,2012_01_DCMPD0000_NIBRS,
5807984,2243,2,2012,U,,,N,F,,C,2012_02_DCMPD0000_NIBRS,
5830185,2243,3,2012,U,,,N,F,,C,2012_03_DCMPD0000_NIBRS,
5852386,2243,4,2012,U,,,N,F,,C,2012_04_DCMPD0000_NIBRS,
5874587,2243,5,2012,U,,,N,F,,C,2012_05_DCMPD0000_NIBRS,
5896788,2243,6,2012,U,,,N,F,,C,2012_06_DCMPD0000_NIBRS,
5918989,2243,7,2012,U,,,N,F,,C,2012_07_DCMPD0000_NIBRS,
5941190,2243,8,2012,U,,,N,F,,C,2012_08_DCMPD0000_NIBRS,
5963391,2243,9,2012,U,,,N,F,,C,2012_09_DCMPD0000_NIBRS,
5985592,2243,10,2012,U,,,N,F,,C,2012_10_DCMPD0000_NIBRS,
6007793,2243,11,2012,U,,,N,F,,C,2012_11_DCMPD0000_NIBRS,
6029994,2243,12,2012,U,,,N,F,,C,2012_12_DCMPD0000_NIBRS,
5785784,2244,1,2012,I,,,N,F,,C,2012_01_DCMTP0000_NIBRS,
5807985,2244,2,2012,I,,,N,F,,C,2012_02_DCMTP0000_NIBRS,
5830186,2244,3,2012,I,,,N,F,,C,2012_03_DCMTP0000_NIBRS,
5852387,2244,4,2012,I,,,N,F,,C,2012_04_DCMTP0000_NIBRS,
5874588,2244,5,2012,I,,,N,F,,C,2012_05_DCMTP0000_NIBRS,
5896789,2244,6,2012,I,,,N,F,,C,2012_06_DCMTP0000_NIBRS,
5918990,2244,7,2012,I,,,N,F,,C,2012_07_DCMTP0000_NIBRS,
5941191,2244,8,2012,I,,,N,F,,C,2012_08_DCMTP0000_NIBRS,
5963392,2244,9,2012,I,,,N,F,,C,2012_09_DCMTP0000_NIBRS,
5985593,2244,10,2012,I,,,N,F,,C,2012_10_DCMTP0000_NIBRS,
6007794,2244,11,2012,I,,,N,F,,C,2012_11_DCMTP0000_NIBRS,
6029995,2244,12,2012,I,,,N,F,,C,2012_12_DCMTP0000_NIBRS,
5785785,2245,1,2012,U,,,N,F,,C,2012_01_DCPPD0000_NIBRS,
5807986,2245,2,2012,U,,,N,F,,C,2012_02_DCPPD0000_NIBRS,
5830187,2245,3,2012,U,,,N,F,,C,2012_03_DCPPD0000_NIBRS,
5852388,2245,4,2012,U,,,N,F,,C,2012_04_DCPPD0000_NIBRS,
5874589,2245,5,2012,U,,,N,F,,C,2012_05_DCPPD0000_NIBRS,
5896790,2245,6,2012,U,,,N,F,,C,2012_06_DCPPD0000_NIBRS,
5918991,2245,7,2012,U,,,N,F,,C,2012_07_DCPPD0000_NIBRS,
5941192,2245,8,2012,U,,,N,F,,C,2012_08_DCPPD0000_NIBRS,
5963393,2245,9,2012,U,,,N,F,,C,2012_09_DCPPD0000_NIBRS,
5985594,2245,10,2012,U,,,N,F,,C,2012_10_DCPPD0000_NIBRS,
6007795,2245,11,2012,U,,,N,F,,C,2012_11_DCPPD0000_NIBRS,
6029996,2245,12,2012,U,,,N,F,,C,2012_12_DCPPD0000_NIBRS,
5785786,2246,1,2012,U,,,N,F,,C,2012_01_DCZPP0000_NIBRS,
5807987,2246,2,2012,U,,,N,F,,C,2012_02_DCZPP0000_NIBRS,
5830188,2246,3,2012,U,,,N,F,,C,2012_03_DCZPP0000_NIBRS,
5852389,2246,4,2012,U,,,N,F,,C,2012_04_DCZPP0000_NIBRS,
5874590,2246,5,2012,U,,,N,F,,C,2012_05_DCZPP0000_NIBRS,
5896791,2246,6,2012,U,,,N,F,,C,2012_06_DCZPP0000_NIBRS,
5918992,2246,7,2012,U,,,N,F,,C,2012_07_DCZPP0000_NIBRS,
5941193,2246,8,2012,U,,,N,F,,C,2012_08_DCZPP0000_NIBRS,
5963394,2246,9,2012,U,,,N,F,,C,2012_09_DCZPP0000_NIBRS,
5985595,2246,10,2012,U,,,N,F,,C,2012_10_DCZPP0000_NIBRS,
6007796,2246,11,2012,U,,,N,F,,C,2012_11_DCZPP0000_NIBRS,
6029997,2246,12,2012,U,,,N,F,,C,2012_12_DCZPP0000_NIBRS,
