property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
73235768,10,0,,73184325
73238125,26,113,,73184487
73218290,29,200,,73231708
73231656,4,300,,73174394
73224332,3,4000,2012-01-02 00:00:00,73230886
73224333,3,4000,,73230887
73228208,68,,,73234738
73228209,68,,,73234739
73243016,68,,,73184821
73243017,10,0,,73184822
73224334,7,1000,,73230888
73233113,26,350,,73178114
73235769,4,200,,73184326
73235770,63,20,,73184327
73238978,10,0,,73178537
73238979,11,1,,73178538
73233114,3,1,,73178115
73233115,38,100,,73178116
73233116,7,1500,,73178117
73233117,26,300,,73178118
73233118,63,100,,73178119
73238126,10,0,,73184488
73238127,38,30,,73184489
73224335,38,100,,73230889
73224336,26,199,,73230890
73238980,7,1000,,73178539
73233119,21,10,,73178120
73233120,7,173,,73178121
73238128,11,1,,73184490
73238129,11,1,,73184491
73238981,38,300,,73178540
73243018,26,299,,73184823
73235775,26,599,,73184332
73235776,63,20,,73184333
73233124,26,300,,73178125
73238137,5,1,,73184499
73238138,38,300,,73184500
73224344,3,1,,73230898
73238139,26,100,,73184501
73238140,20,18,,73184502
73238141,26,400,,73184503
73233125,3,1,,73178126
73233126,38,50,,73178127
73238990,3,1,,73178549
73238991,38,300,,73178550
73238142,3,1,,73184504
73238143,38,350,,73184505
73238144,63,60,,73184506
73224345,26,50,,73230899
73238992,38,500,,73178551
73238993,68,,,73178552
73238145,5,1,,73184507
73238146,38,150,,73184508
73238147,6,125,,73184509
73238148,63,40,,73184510
73224346,20,10,,73232043
73243029,38,5,,73185976
73238994,20,10,,73179691
73238995,26,200,,73179692
73238996,26,100,,73179693
73231672,26,400,,73174410
73243030,26,100,2012-01-18 00:00:00,73185977
73243031,26,100,,73185978
73233127,7,80,,73178128
73233128,63,40,,73178129
73233129,25,20,,73178130
73231673,26,200,2012-01-18 00:00:00,73174411
73238149,26,400,2012-01-18 00:00:00,73184511
73238150,26,400,,73184512
73233130,26,100,2012-01-18 00:00:00,73178131
73233131,26,100,,73178132
73224347,26,200,2012-01-18 00:00:00,73232044
73224348,26,200,,73232045
73235777,17,200,2012-01-18 00:00:00,73184334
73235778,17,200,,73184335
73238151,20,20,2012-01-18 00:00:00,73184513
73238152,20,20,,73184514
73224349,63,49,,73232046
73231674,26,200,2012-01-18 00:00:00,73174412
73231675,26,200,,73174413
73228215,20,10,2012-01-18 00:00:00,73234745
73228216,20,10,,73234746
73231676,26,200,,73174414
73228217,26,100,,73234747
73228218,26,200,,73234748
73228219,63,100,,73234749
73238997,38,200,,73179694
73228220,26,400,,73234750
73228221,26,400,,73234751
73228222,26,150,,73234752
73228223,63,30,,73234753
73224350,26,200,,73232047
73231677,25,80,,73174415
73231678,63,185,,73174416
73228224,26,400,,73234754
73231679,3,1,,73174417
73231680,38,300,,73174418
73228225,20,10,2012-01-19 00:00:00,73234755
73228226,20,10,,73234756
73224351,20,10,2012-01-19 00:00:00,73232048
73224352,26,50,2012-01-19 00:00:00,73232049
73224353,20,10,,73232050
73224354,26,50,,73232051
73243032,26,200,2012-01-20 00:00:00,73185979
73243033,26,200,,73185980
73238998,9,0,,73179695
73238999,20,100,,73179696
73239000,25,50,,73179697
73239001,63,5,,73179698
73228227,68,,,73234757
73231681,26,500,,73174419
73233132,68,,,73178133
73228228,26,400,,73234758
73235779,6,10,2012-01-20 00:00:00,73184336
73235780,6,10,,73184337
73228229,26,250,2012-01-20 00:00:00,73234759
73228230,26,250,,73234760
73233133,68,,,73178134
73239002,4,800,,73179699
73228231,26,649,,73234761
73228232,26,150,2012-01-20 00:00:00,73234762
73228233,26,150,,73234763
73233134,68,,,73178135
73239003,7,100,2012-01-21 00:00:00,73179700
73239004,7,100,,73179701
73238153,20,20,2012-01-21 00:00:00,73184515
73238154,20,20,,73184516
73239005,26,200,,73179702
73228234,26,200,,73234764
73238155,11,5,,73184517
73235781,20,20,,73184338
73224355,26,200,,73232052
73239007,68,,,73179704
73239008,68,,,73179705
73228237,26,549,,73235912
73228238,63,4599,,73235913
73235783,68,,,73184340
73235784,3,1,,73184341
73235785,38,600,,73184342
73235786,63,1,,73184343
73224357,3,1,,73232054
73224358,38,340,,73232055
73231682,20,20,,73174420
73225347,4,1200,2012-01-24 00:00:00,73247887
73225348,4,1200,,73247888
73233137,26,400,,73178138
73233138,20,20,2012-01-24 00:00:00,73178139
73233139,26,200,2012-01-24 00:00:00,73178140
73233140,20,20,,73178141
73233141,26,200,,73178142
73228239,26,200,,73235914
73231683,20,10,2012-01-24 00:00:00,73174421
73231684,20,10,,73174422
73231685,3,1,,73174423
73231686,38,150,,73174424
73235787,26,400,2012-01-25 00:00:00,73184344
73235788,26,400,,73184345
73235789,3,1,,73184346
73235790,63,100,,73184347
73239009,3,1,,73179706
73239010,38,150,,73179707
73239011,63,200,,73179708
73235791,20,20,,73184348
73225349,26,200,,73247889
73238156,26,400,,73184518
73228240,20,20,2012-01-26 00:00:00,73235915
73228241,20,20,,73235916
73235792,5,1,,73184349
73228242,3,2,,73235917
73231687,3,4500,,73174425
73238157,26,400,,73184519
73233820,26,400,,73189057
73239012,26,100,2012-01-26 00:00:00,73179709
73239013,26,100,,73179710
73231688,20,20,2012-01-26 00:00:00,73174426
73231689,20,20,,73174427
73233142,3,1,,73178143
73233827,26,200,2012-01-31 00:00:00,73189064
73233828,26,200,,73189065
73233153,5,1,,73178154
73233154,20,10,2012-01-31 00:00:00,73178155
73233155,20,20,,73178156
73233829,6,200,,73189066
73243045,26,600,,73185992
73233830,21,15,,73189067
73233831,25,50,,73189068
73233135,20,11,,73178136
73233136,26,200,,73178137
73235782,68,,,73184339
73239006,20,280,,73179703
73228235,26,20,2012-01-23 00:00:00,73234765
73228236,26,20,,73235911
73243034,20,20,2012-01-26 00:00:00,73185981
73243035,20,20,,73185982
73243036,63,300,2012-01-26 00:00:00,73185983
73243037,63,300,,73185984
73235793,26,200,2012-01-26 00:00:00,73184350
73235794,26,200,,73184351
73233143,20,20,2012-01-26 00:00:00,73178144
73233144,20,20,,73178145
73239014,26,650,,73179711
73231690,9,0,,73174428
73231691,25,5,,73174429
73231692,63,1,,73174430
73239015,26,300,,73179712
73225350,63,50,,73247890
73238158,20,45,,73184520
73233821,3,1,,73189058
73233145,3,1,,73178146
73233146,63,600,,73178147
73233147,38,1600,,73178148
73238159,10,0,,73184521
73225351,10,0,,73247891
73235795,20,20,,73184352
73239016,20,20,,73179713
73239017,26,100,,73179714
73233148,20,20,,73178149
73225352,20,20,,73247892
73231693,26,400,,73174431
73238160,38,600,,73184522
73231694,25,100,,73174432
73231695,26,900,,73174433
73233149,20,10,,73178150
