"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2018,5,100847255,,,8614707
2018,5,100847390,1,1,8614756
2018,2,100847390,1,1,8614757
2018,5,100847177,5,1,8614670
2018,11,104618827,1,9,9259471
2018,4,104851555,1,9,9292671
2018,5,104851496,0.1,1,9304483
2018,4,105982147,3,1,9566482
2018,1,105982147,11.5,1,9566481
2018,5,105991010,,,9561515
2018,5,104846237,1,11,9292660
2018,5,104851498,2.8,1,9297397
2018,5,100847176,2,9,8614669
2018,5,100847186,1,1,8614672
2018,5,102531457,7,1,8893152
2018,5,104841496,,,9292666
2018,5,102531304,1,1,8893096
2018,5,104841490,,,9297398
2018,5,104846273,4.6,1,9304491
2018,5,104846277,1,3,9292667
2018,5,101422577,0.5,1,8707233
2018,5,101422556,1,9,8707225
2018,16,101422443,3,9,8707190
2018,5,101422579,1,9,8707234
2018,10,100847441,2,5,8614773
2018,10,100847168,2.6,3,8614667
2018,2,100847168,9,1,8614668
2018,5,100847419,1,1,8614770
2018,5,101886344,1.4,1,8784789
2018,5,101886452,,,8784797
2018,5,100847444,1,1,8614774
2018,5,100159677,2,9,8509246
2018,1,100159633,1,9,8509237
2018,4,100159633,12,9,8509236
2018,10,100159597,1,9,8509225
2018,5,100159603,2,1,8509226
2018,5,100847164,1,9,8614666
2018,4,100847279,0.5,1,8614724
2018,5,100159621,0.01,1,8509232
2018,5,100159553,3,3,8509218
2018,5,100159538,1,1,8509216
2018,17,100159596,6,9,8509224
2018,2,100159570,6,9,8509221
2018,16,100159606,1,9,8509227
2018,16,100160363,1,9,8509346
2018,5,100159613,1,9,8509229
2018,5,107157556,1,11,9788505
2018,5,100160412,0.5,1,8509350
2018,5,100847179,0.5,3,8614671
2018,5,100847386,2,1,8614755
2018,5,100159522,4,1,8509211
2018,5,100159668,1,1,8509241
2018,5,100159672,1,1,8509242
2018,5,100847283,0.6,1,8614725
2018,5,100159634,7.2,1,8509238
2018,2,100847450,1,1,8614775
2018,5,101886434,0.1,1,8784795
2018,5,100847426,,,8614772
2018,4,104851566,0.4,1,9297403
2018,5,101886287,1,1,8784778
