property_id,incident_id,prop_loss_id,stolen_count,recovered_count,ff_line_number
1578864,1419274,4,,,
1578861,1419271,7,0,,
1578857,1419269,7,,,
1578858,1419269,7,,,
1578859,1419269,7,,,
1578856,1419268,1,,,
1578855,1419267,7,,,
1578854,1419266,7,,,
1578870,1419278,4,,,
1578869,1419277,7,,,
1578866,1419276,4,,,
1578867,1419276,4,,,
1578868,1419276,4,,,
1578865,1419275,1,,,
1578863,1419273,7,,,
1578862,1419272,7,0,,
1578860,1419270,4,,,
1578874,1419282,7,,,
1578873,1419281,4,,,
1578872,1419280,7,,,
1578871,1419279,7,,,
1578892,1419296,7,,,
1578881,1419288,7,,,
1578880,1419286,7,,,
1578877,1419285,4,,,
1578878,1419285,4,,,
1578879,1419285,7,,,
1578876,1419284,7,0,,
1578875,1419283,7,,,
1578957,1419338,7,,,
1578887,1419291,7,,,
1578882,1419289,7,,,
1578883,1419289,7,,,
1578884,1419289,7,,,
1578885,1419289,7,,,
1578886,1419289,7,,,
1578904,1419305,7,,,
1578903,1419304,7,,,
1578902,1419303,7,0,,
1578900,1419302,7,,,
1578901,1419302,7,,,
1578899,1419301,7,,,
1578898,1419300,1,,,
1578897,1419299,1,,,
1578895,1419298,7,,,
1578896,1419298,7,,,
1578893,1419297,4,,,
1578894,1419297,4,,,
1578891,1419295,7,,,
1578890,1419294,1,,,
1578889,1419293,7,,,
1578918,1419312,7,,,
1578919,1419312,7,,,
1578920,1419312,7,,,
1578921,1419312,7,,,
1578916,1419310,7,,,
1578907,1419309,5,,,
1578908,1419309,5,,,
1578909,1419309,5,,,
1578910,1419309,5,,,
1578911,1419309,7,,,
1578912,1419309,7,,,
1578913,1419309,7,,,
1578914,1419309,7,,,
1578915,1419309,7,,,
1578906,1419308,7,,,
1578905,1419307,1,,,
1578888,1419292,7,0,,
1578926,1419315,4,,,
1578927,1419315,7,,,
1578923,1419314,4,,,
1578924,1419314,4,,,
1578925,1419314,4,,,
1578922,1419313,7,0,,
1578917,1419311,7,,,
1578955,1419337,4,,,
1578956,1419337,7,0,,
1578948,1419329,4,,,
1578944,1419327,5,,1,
1578945,1419327,7,1,,
1578942,1419326,5,,1,
1578943,1419326,7,2,,
1578940,1419325,5,,1,
1578941,1419325,7,1,,
1578939,1419324,7,,,
1578937,1419323,5,,,
1578938,1419323,7,,,
1578934,1419322,4,,,
1578935,1419322,7,,,
1578936,1419322,7,,,
1578933,1419321,7,,,
1578932,1419320,4,,,
1578931,1419319,7,,,
1578930,1419318,7,,,
1578929,1419317,7,,,
1578928,1419316,7,,,
1578954,1419335,4,,,
1578953,1419334,7,,,
1578952,1419333,4,,,
1578951,1419331,4,,,
1578949,1419330,4,,,
1578950,1419330,4,,,
1578946,1419328,5,,1,
1578947,1419328,7,1,,
1578962,1419346,4,,,
1578961,1419345,7,,,
1578960,1419343,7,,,
1578959,1419342,4,,,
1578958,1419341,7,,,
1578968,1419354,4,,,
1578969,1419354,7,,,
1578965,1419353,7,,,
1578966,1419353,7,1,,
1578967,1419353,7,,,
1578963,1419351,1,,,
