victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,agency_data_year,ff_line_number,age_range_low_num,age_range_high_num
2393044,2313565,1,4,,,,5,44,M,1,2,R,,,,
2393042,2313564,1,4,,,,5,41,M,1,2,R,,,,
2393043,2313564,2,4,,,,5,41,M,1,2,R,,,,
2393041,2313563,1,4,,,,5,46,M,1,2,N,,,,
2393040,2313562,1,4,,,,5,27,M,1,2,R,,,,
2393039,2313561,1,4,,,,5,14,F,1,2,R,,,,
2393046,2313567,1,4,,,,5,58,F,1,2,R,,,,
2393045,2313566,1,4,,,,5,84,M,1,2,R,,,,
2393038,2313560,1,4,,,,5,77,F,1,2,R,,,,
2393037,2313559,1,4,,,,5,38,F,1,2,R,,,,
2393137,2313649,1,4,,,,5,41,M,1,2,R,,,,
2393138,2313649,2,4,,,,5,19,F,1,2,R,,,,
2393070,2313587,1,4,,,,5,27,F,3,2,R,,,,
2393067,2313584,1,6,,,,,,,,,,,,,
2393059,2313577,1,4,,,,5,41,M,1,2,N,,,,
2393053,2313572,1,1,,,,,,,,,,,,,
2393049,2313570,1,4,,,,5,19,F,1,2,R,,,,
2393047,2313568,1,1,,,,,,,,,,,,,
2393036,2313558,1,4,,,,5,12,M,1,2,R,,,,
2393078,2313595,1,4,,,,5,64,M,1,2,R,,,,
2393072,2313589,1,8,,,,,,,,,,,,,
2393071,2313588,1,4,,,,5,16,F,1,2,R,,,,
2393069,2313586,1,4,,,,5,43,M,1,2,R,,,,
2393068,2313585,1,4,,,,5,44,F,1,2,R,,,,
2393066,2313583,1,4,,,,5,29,M,1,2,R,,,,
2393064,2313582,1,4,,,,5,15,M,1,2,R,,,,
2393065,2313582,2,4,,,,5,44,F,1,2,R,,,,
2393063,2313581,1,4,,,,5,38,M,1,2,R,,,,
2393062,2313580,1,4,,,,5,26,F,1,2,R,,,,
2393061,2313579,1,4,,,,5,81,M,1,2,R,,,,
2393060,2313578,1,4,,,,5,86,M,1,2,R,,,,
2393058,2313576,2,1,,,,,,,,,,,,,
2393057,2313576,1,4,,,,5,26,M,1,2,R,,,,
2393056,2313575,1,4,,,,5,32,M,1,2,R,,,,
2393055,2313574,1,4,,,,5,27,M,1,2,R,,,,
2393054,2313573,1,4,,,,5,25,M,1,2,R,,,,
2393050,2313571,1,4,,,,5,58,M,1,2,R,,,,
2393051,2313571,2,6,,,,,,,,,,,,,
2393052,2313571,3,6,,,,,,,,,,,,,
2393048,2313569,1,4,,,,5,41,M,1,2,R,,,,
2393081,2313598,1,4,,,,5,16,M,1,2,R,,,,
2393080,2313597,1,4,,,,5,8,F,1,2,R,,,,
2393079,2313596,1,8,,,,,,,,,,,,,
2393077,2313594,1,4,,,,5,58,M,1,2,R,,,,
2393076,2313593,1,4,,,,5,57,F,1,2,R,,,,
2393075,2313592,1,8,,,,,,,,,,,,,
2393074,2313591,1,4,,,,5,35,M,1,2,R,,,,
2393073,2313590,1,4,,,,5,34,M,1,2,R,,,,
2393110,2313623,1,4,,,,5,38,F,1,2,R,,,,
2393090,2313606,1,4,,,,5,43,F,1,2,R,,,,
2393089,2313605,1,4,,,,5,40,M,1,2,R,,,,
2393088,2313604,1,8,,,,,,,,,,,,,
2393087,2313603,1,4,,,,5,43,M,1,2,R,,,,
2393086,2313602,1,8,,,,,,,,,,,,,
2393084,2313601,1,4,,,,5,37,M,1,2,R,,,,
2393085,2313601,2,4,,,,5,13,M,1,2,R,,,,
2393083,2313600,1,4,,,,5,32,M,1,2,R,,,,
2393082,2313599,1,4,,,,5,49,M,1,2,R,,,,
2393099,2313614,1,4,,,,5,47,M,1,2,R,,,,
2393098,2313613,1,4,,,,5,46,M,1,2,R,,,,
2393097,2313612,1,4,,,,5,56,F,1,2,R,,,,
2393096,2313611,1,3,,,,,,,,,,,,,
2393095,2313610,1,8,,,,,,,,,,,,,
2393094,2313609,1,1,,,,,,,,,,,,,
2393093,2313608,1,4,,,,5,1,F,1,2,R,,,,
2393092,2313607,2,1,,,,,,,,,,,,,
2393091,2313607,1,4,,,,5,33,M,1,2,R,,,,
2393111,2313624,1,4,,,,5,21,M,1,2,R,,,,
2393104,2313617,1,3,,,,,,,,,,,,,
2393102,2313616,1,4,,,,5,5,F,1,2,R,,,,
2393103,2313616,2,4,,,,5,29,F,1,2,R,,,,
2393101,2313615,2,1,,,,,,,,,,,,,
2393100,2313615,1,4,,,,5,54,M,1,2,N,,,,
2393117,2313630,1,4,,,,5,48,M,1,2,R,,,,
2393116,2313629,1,4,,,,5,15,M,1,2,R,,,,
2393115,2313628,1,4,,,,5,56,M,1,2,R,,,,
2393114,2313627,1,4,,,,5,44,F,1,2,R,,,,
2393113,2313626,1,4,,,,5,50,M,1,2,R,,,,
2393112,2313625,1,4,,,,5,50,F,1,2,R,,,,
2393109,2313622,1,4,,,,5,3,F,1,2,R,,,,
2393108,2313621,1,1,,,,,,,,,,,,,
2393107,2313620,1,4,,,,5,51,M,1,2,R,,,,
2393106,2313619,1,8,,,,,,,,,,,,,
2393105,2313618,1,4,,,,5,42,M,1,2,R,,,,
