offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
5956464,5264163,0,,,,,,,,
5956459,5264158,1,5,28,M,1,,,,
5956458,5264157,1,5,64,F,1,,,,
5956457,5264156,2,5,21,M,1,,,,
5956456,5264156,1,5,20,M,1,,,,
5956455,5264155,1,5,17,M,0,,,,
5956454,5264154,0,,,,,,,,
5956465,5264164,1,5,14,F,1,,,,
5956463,5264162,1,5,22,M,1,,,,
5956462,5264161,1,5,16,M,1,,,,
5956461,5264160,0,,,,,,,,
5956460,5264159,1,5,25,M,1,,,,
5956491,5264185,1,5,57,M,1,,,,
5956489,5264183,1,5,27,F,1,,,,
5956474,5264171,0,,,,,,,,
5956471,5264170,1,5,17,M,0,,,,
5956473,5264170,3,5,18,M,1,,,,
5956472,5264170,2,5,18,M,1,,,,
5956470,5264169,0,,,,,,,,
5956469,5264168,1,5,18,F,1,,,,
5956468,5264167,0,,,,,,,,
5956467,5264166,1,5,59,M,1,,,,
5956466,5264165,1,5,36,M,1,,,,
5956480,5264177,1,5,35,M,1,,,,
5956479,5264176,0,,,,,,,,
5956478,5264175,0,,,,,,,,
5956477,5264174,0,,,,,,,,
5956476,5264173,0,,,,,,,,
5956475,5264172,1,4,,M,1,,,,
5956509,5264203,0,,,,,,,,
5956487,5264182,3,5,15,M,1,,,,
5956488,5264182,4,5,19,M,1,,,,
5956486,5264182,2,5,17,M,1,,,,
5956485,5264182,1,5,18,M,1,,,,
5956484,5264181,1,5,33,M,1,,,,
5956483,5264180,1,5,24,M,1,,,,
5956482,5264179,0,,,,,,,,
5956481,5264178,1,4,,U,1,,,,
5956499,5264193,1,5,21,M,1,,,,
5956498,5264192,0,,,,,,,,
5956497,5264191,0,,,,,,,,
5956496,5264190,0,,,,,,,,
5956495,5264189,0,,,,,,,,
5956494,5264188,1,5,13,M,1,,,,
5956493,5264187,1,5,13,M,1,,,,
5956492,5264186,1,5,14,M,1,,,,
5956490,5264184,0,,,,,,,,
5956526,5264216,0,,,,,,,,
5956507,5264201,1,5,24,M,1,,,,
5956506,5264200,1,5,24,M,1,,,,
5956505,5264199,1,5,15,F,1,,,,
5956504,5264198,1,5,24,M,1,,,,
5956503,5264197,1,5,12,M,1,,,,
5956502,5264196,1,5,13,M,1,,,,
5956501,5264195,1,5,40,M,1,,,,
5956500,5264194,1,5,43,F,1,,,,
5956522,5264212,0,,,,,,,,
5956520,5264210,1,5,22,M,1,,,,
5956519,5264209,0,,,,,,,,
5956518,5264208,4,4,,M,1,,,,
5956517,5264208,3,4,,M,1,,,,
5956516,5264208,2,4,,M,1,,,,
5956515,5264208,1,4,,M,1,,,,
5956514,5264207,0,,,,,,,,
5956513,5264206,1,5,14,M,1,,,,
5956512,5264205,0,,,,,,,,
5956511,5264204,2,5,17,M,1,,,,
5956510,5264204,1,5,14,M,1,,,,
5956508,5264202,1,5,16,M,1,,,,
5956525,5264215,0,,,,,,,,
5956524,5264214,1,5,25,M,1,,,,
5956523,5264213,0,,,,,,,,
5956521,5264211,0,,,,,,,,
5956534,5264223,0,,,,,,,,
5956532,5264221,0,,,,,,,,
5956531,5264220,0,,,,,,,,
5956530,5264219,1,5,35,F,1,,,,
5956529,5264218,2,5,15,F,1,,,,
5956528,5264218,1,5,14,F,1,,,,
5956527,5264217,1,5,18,F,1,,,,
5956542,5264230,0,,,,,,,,
5956541,5264229,2,5,25,M,1,,,,
5956540,5264229,1,5,25,M,1,,,,
5956539,5264228,1,5,38,M,1,,,,
5956538,5264227,0,,,,,,,,
5956537,5264226,0,,,,,,,,
5956536,5264225,0,,,,,,,,
5956535,5264224,0,,,,,,,,
5956533,5264222,1,5,26,M,1,,,,
5956550,5264237,0,,,,,,,,
5956549,5264236,2,5,11,M,1,,,,
5956548,5264236,1,5,10,M,1,,,,
5956547,5264235,0,,,,,,,,
5956546,5264234,1,5,15,M,1,,,,
5956545,5264233,1,5,41,F,1,,,,
5956544,5264232,1,5,16,M,1,,,,
5956543,5264231,0,,,,,,,,
5956656,5264330,1,5,24,F,1,,,,
5956631,5264306,1,5,40,M,1,,,,
5956611,5264287,1,5,29,M,1,,,,
5956604,5264281,1,5,46,M,1,,,,
5956603,5264280,0,,,,,,,,
5956597,5264274,0,,,,,,,,
5956596,5264273,1,5,39,F,1,,,,
5956775,5264439,1,5,44,M,1,,,,
5956774,5264438,0,,,,,,,,
5956773,5264437,0,,,,,,,,
5956757,5264421,1,5,46,M,1,,,,
5956746,5264410,1,5,26,M,1,,,,
5956732,5264396,1,5,14,M,1,,,,
5956726,5264390,1,5,15,M,1,,,,
5956696,5264362,1,5,32,F,1,,,,
5956690,5264356,1,5,35,M,1,,,,
5956779,5264443,1,5,29,M,1,,,,
5956778,5264442,0,,,,,,,,
5956777,5264441,0,,,,,,,,
5956776,5264440,1,5,22,M,1,,,,
5956605,5264282,1,5,15,M,1,,,,
5956602,5264279,1,5,40,M,1,,,,
5956601,5264278,1,5,17,F,1,,,,
5956600,5264277,1,5,20,M,1,,,,
5956599,5264276,1,5,49,M,1,,,,
5956598,5264275,1,5,33,M,1,,,,
5956695,5264361,1,5,36,F,1,,,,
5956620,5264295,0,,,,,,,,
5956619,5264294,0,,,,,,,,
5956618,5264293,1,5,34,F,1,,,,
5956617,5264292,1,5,53,M,1,,,,
5956615,5264291,1,5,33,F,1,,,,
5956616,5264291,2,5,45,M,1,,,,
5956614,5264290,1,5,51,M,1,,,,
5956613,5264289,0,,,,,,,,
5956612,5264288,1,5,42,M,1,,,,
5956610,5264286,1,5,51,M,1,,,,
5956609,5264285,1,5,51,M,1,,,,
5956608,5264284,2,5,15,M,1,,,,
5956607,5264284,1,5,17,M,1,,,,
5956606,5264283,1,5,17,M,1,,,,
5956764,5264428,1,5,38,M,1,,,,
5956649,5264323,1,5,21,M,1,,,,
5956640,5264315,0,,,,,,,,
5956639,5264314,0,,,,,,,,
5956638,5264313,1,5,21,M,1,,,,
5956637,5264312,1,5,19,M,1,,,,
5956636,5264311,0,,,,,,,,
5956635,5264310,1,5,42,M,1,,,,
5956634,5264309,1,5,34,M,1,,,,
5956633,5264308,1,5,46,M,1,,,,
5956632,5264307,0,,,,,,,,
5956630,5264305,1,5,30,M,1,,,,
5956629,5264304,1,5,22,M,1,,,,
5956628,5264303,1,5,37,M,1,,,,
5956627,5264302,1,5,10,M,1,,,,
5956626,5264301,1,5,14,M,1,,,,
5956625,5264300,1,5,22,M,1,,,,
5956624,5264299,1,5,48,F,1,,,,
5956623,5264298,0,,,,,,,,
5956622,5264297,1,5,54,M,1,,,,
5956621,5264296,1,5,38,M,1,,,,
5956664,5264338,0,,,,,,,,
5956663,5264337,0,,,,,,,,
5956662,5264336,0,,,,,,,,
5956661,5264335,0,,,,,,,,
5956660,5264334,0,,,,,,,,
5956659,5264333,0,,,,,,,,
5956658,5264332,0,,,,,,,,
5956657,5264331,0,,,,,,,,
5956654,5264328,1,5,38,M,1,,,,
5956653,5264327,1,5,11,M,1,,,,
5956652,5264326,1,5,46,M,1,,,,
5956651,5264325,0,,,,,,,,
5956650,5264324,0,,,,,,,,
5956648,5264322,1,5,46,M,1,,,,
5956647,5264321,2,5,24,M,1,,,,
5956646,5264321,1,5,17,M,1,,,,
5956645,5264320,1,5,17,M,1,,,,
5956644,5264319,1,5,21,M,1,,,,
5956643,5264318,1,5,48,M,1,,,,
5956642,5264317,1,5,33,M,1,,,,
5956641,5264316,0,,,,,,,,
5956737,5264401,0,,,,,,,,
5956730,5264394,0,,,,,,,,
5956722,5264386,1,5,40,M,3,,,,
5956719,5264383,1,5,37,M,1,,,,
5956717,5264381,1,5,52,M,1,,,,
5956716,5264380,0,,,,,,,,
5956715,5264379,1,5,58,M,1,,,,
5956714,5264378,0,,,,,,,,
5956713,5264377,1,5,31,F,1,,,,
5956712,5264376,1,5,36,M,1,,,,
5956711,5264375,1,5,39,F,1,,,,
5956710,5264374,2,5,32,M,1,,,,
5956709,5264374,1,5,30,M,1,,,,
5956708,5264373,1,5,19,M,1,,,,
5956707,5264372,1,5,16,F,1,,,,
5956706,5264371,1,5,19,M,1,,,,
5956705,5264370,1,5,21,M,1,,,,
5956704,5264369,0,,,,,,,,
5956703,5264368,0,,,,,,,,
5956702,5264367,1,5,36,F,1,,,,
5956701,5264366,0,,,,,,,,
5956700,5264365,0,,,,,,,,
5956699,5264364,2,5,35,F,1,,,,
5956698,5264364,1,5,14,F,1,,,,
5956697,5264363,0,,,,,,,,
5956694,5264360,0,,,,,,,,
5956693,5264359,1,5,27,M,1,,,,
5956692,5264358,1,5,21,M,1,,,,
5956691,5264357,1,5,28,M,1,,,,
5956689,5264355,1,5,39,M,1,,,,
5956688,5264354,3,5,21,F,1,,,,
