weapon_id,offense_id,nibrs_weapon_id
22,16100234,3355157
12,16098520,3353556
12,16098523,3353557
9,16098524,3353558
12,16101931,3353594
3,16100238,3355158
5,16098527,3353559
5,16098529,3353560
4,16100240,3355159
12,16101932,3353595
12,16100241,3355160
3,16107227,3355785
12,16100251,3355161
11,16098548,3353561
9,16101951,3353596
19,16101952,3353597
9,16107237,3355786
3,16104356,3354008
12,16107247,3355787
12,16107248,3355788
18,16107248,3712355
12,16102348,3354743
15,16102349,3354744
10,16107253,3355789
19,16104361,3354176
18,16107255,3355790
12,16102352,3354745
12,16102353,3354746
11,16098555,3353562
10,16098555,3721608
9,16098555,3712328
18,16098556,3353563
12,16098559,3353564
12,16107643,3363240
11,16107644,3363241
9,16102354,3354747
12,16098565,3353565
12,16098566,3353566
12,16102355,3354748
18,16107648,3363242
5,16102359,3354749
12,16102360,3354750
12,16107655,3363243
18,16102367,3354751
3,16098574,3353735
4,16102369,3354752
18,16104380,3354177
18,16098580,3353736
19,16098584,3353737
12,16107669,3363244
12,16107671,3363245
12,16104390,3354178
18,16102376,3354753
9,16104392,3354179
12,16104394,3354180
12,16102379,3354976
12,16107678,3363246
12,16107679,3363247
12,16104397,3354181
12,16104398,3354182
12,16098597,3353738
12,16102383,3354977
12,16098599,3353739
12,16107716,3363403
18,16107681,3363248
12,16107684,3363397
9,16104410,3354183
12,16104412,3354184
12,16098603,3353740
12,16107687,3363398
12,16098989,3354942
12,16098992,3354943
12,16107692,3363399
12,16102405,3354978
12,16102410,3354979
12,16107711,3363400
12,16099009,3354944
18,16104821,3355385
12,16107712,3363401
12,16107713,3363402
12,16099016,3354946
12,16104848,3355390
18,16104822,3355386
12,16104823,3355387
18,16099014,3354945
3,16102137,3354160
12,16102138,3354161
18,16105537,3354193
12,16104829,3355388
12,16107718,3363404
14,16107719,3363405
12,16107720,3363406
12,16102140,3354162
6,16107724,3363407
9,16105542,3354194
12,16105544,3354195
18,16107727,3363408
18,16107728,3363409
6,16102150,3354163
6,16104843,3355389
12,16107741,3363410
3,16102162,3354164
12,16104852,3355391
12,16102164,3354165
12,15891479,3313783
12,15893618,3324762
12,15894201,3322969
12,15893621,3324763
12,15896981,3324593
4,15891480,3313784
12,15897369,3322247
12,15894204,3322970
12,15894206,3322971
12,15894270,3323198
12,15896963,3324591
12,15891459,3313778
3,15896968,3324592
12,15891465,3313779
12,15894190,3322966
12,15893607,3324566
12,15894194,3322967
12,15891469,3313780
12,15894195,3322968
12,15893614,3324761
12,15891475,3313781
12,15891477,3313782
3,15897218,3325521
12,15891484,3313785
12,15891485,3313786
12,15899491,3325557
12,15891488,3313787
12,15899495,3325558
18,15899496,3325559
12,15893636,3324764
12,15893637,3324765
12,15893645,3324766
12,15894222,3322972
12,15893650,3324767
12,15893651,3324768
12,15893652,3324769
12,15891882,3311625
12,15891883,3311626
12,15899510,3325756
12,15893655,3324770
12,15894229,3322973
12,15899513,3325757
12,15891891,3311627
12,15894237,3322974
12,15894238,3322975
9,15891895,3311628
6,15894043,3322454
18,15891897,3311629
12,15891899,3311630
11,15891905,3311631
12,15891906,3311632
12,15891907,3311633
