property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
25504160,68,,,25479584
25508273,3,2255,,25487176
25511630,3,500,,25541572
25508274,68,,,25487177
25508275,36,1050,,25487178
25511631,21,815,,25541573
25502394,68,,,25490530
25502395,16,1600,,25490531
25502396,63,1250,,25490532
25504161,68,,,25479585
25504162,10,0,,25479586
25502397,37,2000,2003-04-06 00:00:00,25490533
25502398,10,0,,25490534
25502399,11,6,,25490535
25502400,37,2000,,25490536
25518449,68,,,25533384
25518450,10,0,,25533385
25518451,37,14500,,25533386
25504163,68,,,25479587
25504164,11,4,,25479588
25504165,7,4810,,25479589
25511632,68,,,25541574
25518452,38,150,,25533387
25502401,68,,,25490537
25502402,11,1,,25490538
25511633,68,,,25541575
25511634,10,0,,25541576
25511635,11,4,,25541577
25511636,13,250,,25541578
25511637,3,6500,2003-08-25 00:00:00,25541579
25511638,3,6500,,25541580
25508276,68,,,25487179
25508277,11,2,,25487180
25518453,68,,,25533388
25518454,10,0,,25533389
25518455,11,2,,25533390
25504166,24,2,,25479590
25518448,13,250,,25533383
25508278,24,10700,2003-12-05 00:00:00,25487181
25508279,24,10700,,25487182
25502406,68,,,25490542
25511639,68,,,25541581
25511640,36,70,,25541582
25508281,20,50,,25487184
25518456,68,,,25533391
25508282,63,10,,25487185
25502403,13,4300,,25490539
25502404,27,140,,25490540
25502405,63,225,,25490541
25508280,28,750,,25487183
25502407,18,50,,25490543
25502408,38,40,,25490544
25511641,4,3000,,25541583
25511642,26,812,,25541584
25511643,10,0,,25541585
25508283,63,17,,25487186
25504167,20,1400,,25479591
25504168,16,500,,25479592
25504169,6,350,,25479593
25504170,16,1195,,25479594
25504171,63,150,,25479595
25504172,10,0,,25479596
25504173,11,2,,25479597
25508284,10,0,,25487187
25508285,11,154,,25487188
25518457,36,1575,,25533392
25502409,36,75,2003-03-08 00:00:00,25490545
25502410,36,75,,25490546
25502411,28,5000,2003-10-11 00:00:00,25490547
25502412,28,9000,,25490548
25518458,10,0,,25533393
25518459,11,34,,25533394
25518460,13,1,,25533395
25518461,63,362,,25533396
25508286,11,24,,25487189
25504174,63,10,,25479598
25511644,11,11,,25541586
25502413,10,0,,25490549
25511645,63,350,,25541587
25511646,9,0,,25541588
25511647,20,22,,25541589
25518462,10,0,,25533397
25504175,9,0,2003-04-26 00:00:00,25479599
25504176,21,1,2003-04-26 00:00:00,25479600
25504177,63,2,2003-04-26 00:00:00,25479601
25504178,9,0,,25479602
25504179,21,1,,25479603
25504180,63,2,,25479604
25518463,63,250,,25533398
25518464,68,,,25533399
25504181,19,46,,25479605
25504182,10,0,,25479606
25504183,11,11,,25479607
25502980,13,435,,25480704
25502981,16,635,,25480705
25502982,36,2188,,25480706
25502983,63,116,,25480707
25511648,16,544,,25541590
25511649,36,125,,25541591
25511650,63,250,,25541592
25511651,7,1949,,25541593
25518465,68,,,25533400
25508287,68,,,25487190
25508288,63,18,,25487191
25504184,3,1000,2003-05-19 00:00:00,25479608
25504185,11,2,,25479609
25508289,68,,,25487192
25504186,23,75,,25479610
25518466,63,11,,25533401
25504187,10,0,,25479611
25518467,10,0,,25533402
25511652,26,150,,25541594
25504188,68,,,25479612
25502984,19,13,,25480708
25518468,63,18,,25533403
25504189,68,,,25479613
25508290,28,2,,25487193
25508291,38,4,,25487194
25508292,63,4,,25487195
25508293,10,0,,25487196
25511653,36,600,,25541595
25511654,38,400,,25541596
25518469,34,15,,25533404
25518470,63,5,,25533405
25518471,63,200,,25533406
25504190,3,2500,2003-06-26 00:00:00,25479614
25504191,17,50,2003-11-06 00:00:00,25479615
25504192,19,1000,2003-11-06 00:00:00,25480766
25504193,36,485,2003-11-06 00:00:00,25480767
25504194,63,5000,2003-11-06 00:00:00,25480768
25504195,3,2500,,25480769
25504196,6,400,,25480770
25504197,16,100,,25480771
25504198,17,50,,25480772
25504199,19,1000,,25480773
25504200,36,985,,25480774
25504201,63,5000,,25480775
25518472,63,300,,25533407
25504202,6,375,,25480776
25504203,16,50,,25480777
25508294,63,2,,25487197
25518473,63,260,,25533408
25511655,10,0,,25541597
25508295,63,22,,25487198
25502985,68,,,25480709
25508296,63,500,,25487199
25511656,63,300,,25541598
25511657,63,1,,25541599
25504204,63,35,,25480778
25504205,3,40,,25480779
25511658,36,125,,25541600
25502986,68,,,25480710
25511659,8,1684,,25541601
25502987,63,5,,25480711
25508297,3,500,,25487200
25508298,63,140,,25487201
25508299,68,,,25487202
25511660,63,200,,25541602
25511661,32,350,,25541603
25511662,63,440,,25541604
25511663,63,400,,25541605
25504206,10,0,,25480780
25504207,11,1,,25480781
25511664,10,0,,25541606
25511665,11,2,,25541607
25504208,35,1200,,25480782
25502988,3,2000,2003-08-15 00:00:00,25480712
25508300,10,0,,25487203
25508301,11,6,,25487204
25508302,30,500,,25487205
25502989,19,30,,25480713
25502990,19,28,,25480714
25504209,3,100,,25480783
25502991,68,,,25480715
25504210,25,100,,25480784
25511666,10,0,,25541608
25511667,11,10,,25541609
25511668,3,4000,,25542769
25502992,36,125,,25480716
25518474,12,70,,25533409
25502993,28,350,,25480717
25508303,36,120,2003-08-16 00:00:00,25487206
25508304,63,400,2003-08-16 00:00:00,25487207
25508305,8,120,,25487208
25508306,36,120,,25487209
25508307,63,400,,25487210
25504211,24,8500,2003-08-20 00:00:00,25480785
25504212,24,8500,,25480786
25502994,68,,,25480718
25518475,11,15,,25533410
25518476,11,8,,25533411
25502995,3,100,2003-09-02 00:00:00,25480719
25518477,35,100,,25533412
25502996,10,0,,25480720
25502997,11,13,,25480721
25504213,10,0,,25480787
25502998,10,0,,25480722
25502999,11,5,,25480723
25511669,35,75,,25542770
25504214,21,249,,25480788
25504215,63,1,,25480789
25511670,63,2500,,25542771
25503000,3,8000,2003-09-28 00:00:00,25480724
25503001,3,8000,,25480725
25511671,10,0,,25542772
25511672,11,2,,25542773
25511673,68,,,25542774
25508308,10,0,,25487211
25508309,11,5,,25487212
25504216,3,100,,25480790
25503002,3,15060,,25480726
25503003,24,2,,25480727
25508310,63,25,,25487213
25518478,68,,,25533413
25508311,21,1004,,25487214
25508312,63,1,,25487215
25508313,63,40,,25487216
25504217,63,10,,25480791
25518479,11,2,,25533414
25503004,16,2025,,25480728
25503005,68,,,25480729
25503006,10,0,,25480730
25503007,10,0,,25480731
25503008,11,3,,25480732
25518480,11,9,,25533415
25518481,63,20,,25533416
25518482,63,150,,25533417
25503009,63,170,,25480733
25503010,33,2,,25480734
25503011,17,1010,,25480735
25503012,63,700,,25480736
25518483,10,0,,25533418
25518484,11,3,,25533419
25511674,36,350,,25542775
25511675,3,2000,2003-11-23 00:00:00,25542776
25503013,10,0,,25480737
25504218,17,1608,,25480792
25503014,63,19,,25480738
25503015,20,20,,25480739
25508314,68,,,25487217
25503016,8,10,,25480740
25504219,8,4,,25480793
25503017,23,500,,25480741
25504220,38,1000,,25480794
25518485,68,,,25533420
25518486,10,0,,25533421
25508666,3,20,,25473703
25508667,8,27,2003-01-25 00:00:00,25473704
