offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
26420356,24152116,5,C,20,,,
26428304,24152117,35,C,13,,,
26426085,24152118,27,C,13,,,
26427355,24152119,49,C,20,0,F,
26424026,24152120,36,C,25,,,
26424027,24152121,11,C,7,,,
26426250,24152124,11,C,25,,,
26427356,24152125,5,C,20,,,
26428305,24152122,14,C,20,,,
26424028,24152123,5,C,24,,,
26420357,24152126,16,C,13,,,
26420358,24152126,35,C,13,,,
26420359,24152127,51,C,22,,,
26426251,24152128,35,C,20,,,
26426086,24152129,51,C,22,,,
26428306,24152130,51,C,22,,,
26426087,24152131,51,C,22,,,
26428307,24152132,35,C,13,,,
26420360,24152133,45,C,23,,,
26427357,24152134,35,C,18,,,
26424030,24152138,41,C,20,,,
26420361,24152135,51,C,18,,,
26420362,24152135,5,C,18,,,
26427358,24152136,16,C,18,,,
26424029,24152137,49,C,20,0,F,
26426252,24152139,27,C,20,,,
26420363,24152140,45,C,20,,,
26427359,24152141,21,C,18,,,
26427360,24152145,2,C,20,,,
26426253,24152142,51,C,20,,,
26428308,24152143,5,C,22,,,
26428309,24152144,16,C,20,,,
26428310,24152144,35,C,20,,,
26426254,24152146,5,C,22,,,
26424031,24152147,5,C,20,,,
26420364,24152148,49,C,5,0,F,
26426255,24152149,49,C,5,0,F,
26426088,24152150,5,C,20,,,
26420365,24152151,11,C,12,,,
26420366,24152152,28,C,20,,,
26428311,24152153,49,C,20,0,F,
26428312,24152153,5,C,20,,,
26424032,24152154,51,C,13,,,
26420367,24152155,16,C,13,,,
26420368,24152155,35,C,13,,,
26426256,24152156,51,C,20,,,
26432447,24152157,49,C,20,0,F,
26420369,24152158,5,C,10,,,
26427361,24152159,49,C,20,0,F,
26426089,24152160,16,C,13,,,
26426090,24152160,35,C,13,,,
26426091,24152161,27,C,20,,,
26426102,24152208,49,C,20,0,F,
26420370,24152162,39,C,10,,,
26432448,24152163,28,C,10,,,
26426092,24152164,5,C,10,,,
26427362,24152165,45,C,7,,,
26426257,24152166,27,C,20,,,
26427363,24152167,51,C,20,,,
26427364,24152168,27,C,20,,,
26427365,24152169,49,C,20,0,N,
26428313,24152170,5,C,10,,,
26427366,24152171,28,C,10,,,
26426258,24152172,49,C,20,0,F,
26427367,24152173,35,C,13,,,
26428314,24152174,16,C,13,,,
26428315,24152174,35,C,13,,,
26426093,24152175,5,C,20,,,
26426094,24152176,45,C,7,,,
26426259,24152177,49,C,20,0,N,
26432449,24152178,49,C,20,0,F,
26428316,24152179,35,C,13,,,
26426260,24152180,49,C,20,0,N,
26432450,24152181,49,C,20,0,F,
26432451,24152181,16,C,20,,,
26432452,24152181,35,C,20,,,
26426095,24152182,49,C,20,0,N,
26426261,24152183,49,C,20,0,F,
26428953,24152184,51,C,20,,,
26426096,24152185,49,C,20,0,F,
26427368,24152186,51,C,13,,,
26426262,24152187,16,C,13,,,
26432453,24152188,49,C,20,0,N,
26426097,24152189,16,C,20,,,
26426098,24152189,35,C,20,,,
26426263,24152190,49,C,20,0,F,
26426099,24152191,16,C,13,,,
26426100,24152191,35,C,13,,,
26426264,24152192,49,C,20,0,N,
26427369,24152193,45,C,20,,,
26420371,24152194,49,C,24,0,F,
26432454,24152195,49,C,5,0,F,
26427370,24152196,49,C,20,0,F,
26426101,24152197,51,C,20,,,
26427371,24152198,39,C,13,,,
26426265,24152199,49,C,20,0,F,
26427372,24152200,5,C,20,,,
26432455,24152201,5,C,10,,,
26428954,24152202,5,C,10,,,
26428955,24152202,16,C,13,,,
26432456,24152203,49,C,20,0,F,
26420372,24152204,49,C,20,0,F,
26426266,24152205,35,C,13,,,
26426267,24152205,39,C,13,,,
26426268,24152206,44,C,20,,,
26426906,24152207,51,C,15,,,
26432457,24152209,45,C,10,,,
26426910,24152228,35,C,13,,,
26426911,24152228,39,C,13,,,
26432458,24152210,49,C,13,0,F,
26432459,24152211,16,C,10,,,
26432460,24152211,35,C,10,,,
26432461,24152211,39,C,10,,,
26420373,24152212,45,C,10,,,
26426103,24152213,51,C,20,,,
26420374,24152214,5,C,10,,,
26420375,24152215,56,C,4,,,
26427373,24152216,16,C,13,,,
26427374,24152216,35,C,13,,,
26427375,24152216,39,C,13,,,
26426907,24152217,21,C,24,,,
26426908,24152217,5,C,24,,,
26420376,24152218,49,C,20,0,N,
26420377,24152219,27,C,13,,,
26428956,24152220,16,C,13,,,
26428957,24152220,35,C,13,,,
26426104,24152221,5,C,10,,,
26428958,24152222,28,C,13,,,
26420378,24152223,41,C,24,,,
26426909,24152224,5,C,10,,,
26420379,24152225,5,C,10,,,
26432462,24152226,45,C,23,,,
26432463,24152227,16,C,13,,,
26432464,24152227,35,C,13,,,
26426912,24152229,36,C,20,,,
26426913,24152229,43,C,20,,,
26426914,24152229,4,C,20,,,
26432465,24152230,51,C,3,,,
26428959,24152231,45,C,20,,,
26428960,24152232,49,C,20,0,F,
26426105,24152233,35,C,20,,,
26432466,24152234,16,C,20,,,
26432467,24152235,49,C,20,0,F,
26428765,24152236,5,C,20,,,
26426106,24152237,5,C,10,,,
26427376,24152238,45,C,10,,,
26428766,24152239,45,C,23,,,
26427377,24152240,16,C,15,,,
26427378,24152241,49,C,20,0,F,
26427379,24152242,16,C,15,,,
26426915,24152243,16,C,13,,,
26426916,24152243,35,C,13,,,
26432468,24152244,5,C,10,,,
26432469,24152244,16,C,13,,,
26432470,24152244,35,C,13,,,
26427380,24152245,51,C,20,,,
26428961,24152900,28,C,13,,,
26428962,24152900,16,C,13,,,
26428963,24152900,35,C,13,,,
26432471,24152901,45,C,10,,,
26428767,24152902,16,C,13,,,
26428768,24152902,35,C,13,,,
26426107,24152903,35,C,13,,,
26426108,24152904,7,C,10,,,
26426109,24152905,45,C,23,,,
26426110,24152906,45,C,10,,,
26426918,24152915,51,C,10,,,
26427386,24152916,44,C,13,,,
26432473,24152917,35,C,13,,,
26428965,24152918,45,C,13,,,
26432474,24152919,35,C,13,,,
26432475,24152920,49,C,20,0,F,
26426112,24152921,51,C,10,,,
26426113,24152922,45,C,20,,,
26426114,24152923,45,C,10,,,
26428966,24152924,45,C,24,,,
26427387,24152925,20,C,10,,,
26426115,24152926,35,C,13,,,
26432476,24152927,51,C,10,,,
26426919,24152928,45,C,20,,,
26426920,24152929,49,C,20,0,F,
26427388,24152930,45,C,24,,,
26432472,24152907,45,C,23,,,
26427381,24152908,49,C,20,0,F,
26427382,24152909,16,C,13,,,
26428964,24152910,35,C,13,,,
26426111,24152911,5,C,20,,,
26427383,24152912,16,C,13,,,
26427384,24152912,35,C,13,,,
26426917,24152913,45,C,10,,,
26427385,24152914,45,C,20,,,
26428967,24152931,56,C,20,,,
26428769,24152932,45,C,23,,,
26426116,24152933,51,C,10,,,
26428968,24152934,44,C,20,,,
26428969,24152935,45,C,7,,,
26426117,24152936,45,C,10,,,
26426118,24152937,45,C,13,,,
26426119,24152938,51,C,10,,,
26426921,24152939,21,C,10,,,
26426922,24152940,5,C,16,,,
26427389,24152941,51,C,20,,,
