victim_id,circumstances_id,justifiable_force_id
36719218,10,
36713876,1,
36719255,1,
36719274,1,
36719288,1,
36719289,1,
36719292,1,
36719300,1,
36719305,1,
36719310,10,
36722450,1,
36722451,1,
36722452,1,
36717091,9,
36722500,1,
36722502,6,
36722505,3,
36722513,1,
36717141,6,
36717146,1,
36717147,1,
36725728,1,
36708541,9,
36711710,10,
36711721,1,
36708624,6,
36703122,1,
36703123,1,
36711815,10,
36703136,1,
36706342,1,
36706375,9,
36703185,1,
36706378,1,
36706379,1,
36706393,1,
36709549,1,
36703262,2,
36709601,6,
36709609,6,
36709614,1,
36709615,1,
36709616,1,
36709617,1,
36706494,1,
36709618,1,
36709619,1,
36709620,1,
36709621,1,
36712796,9,
36700990,2,
36701010,1,
36709683,1,
36709694,1,
36709700,1,
36712834,1,
36707410,1,
36712893,1,
36701104,2,
36704239,2,
36707417,9,
36707418,9,
36704285,10,
36704292,9,
36710633,1,
36710644,1,
36710645,1,
36704339,9,
36710680,1,
36710686,1,
36704361,9,
36704362,9,
36707567,9,
36710714,1,
36710727,1,
36710735,10,
36710739,1,
36710743,1,
36710750,9,
36710778,1,
36705306,2,
36705307,2,
36705338,6,
36705361,1,
36689300,9,
36689306,10,
36689316,1,
36689318,10,
36692491,1,
36692505,1,
36692506,1,
36692507,1,
36695686,6,
36695711,1,
36695712,1,
36692538,1,
36692542,1,
36692566,1,
36695750,1,
36698869,9,
36698870,9,
36692573,9,
36692589,1,
36692607,1,
36692609,9,
36698933,1,
36698935,1,
36698938,1,
36698988,1,
36698998,10,
36690307,1,
36690319,1,
36690325,9,
36693534,1,
36681805,2,
36681806,2,
36681807,2,
36681808,2,
36681809,2,
36681810,2,
36688112,2,
36688113,2,
36688134,9,
36685006,1,
36688201,9,
36676325,1,
36676344,1,
36676345,1,
36679513,1,
36688228,9,
36688242,10,
36679536,10,
36679537,10,
36679545,1,
36679546,1,
36682737,10,
36682756,1,
36676442,10,
36679611,1,
36679612,1,
36685968,1,
36685971,1,
36685973,1,
36679645,6,
36682835,1,
36685982,9,
36686003,1,
36686023,1,
36677355,9,
36677357,10,
36686084,1,
36686086,1,
36686091,1,
36677475,10,
36677485,1,
36680646,9,
36683847,1,
36677497,1,
36677508,1,
36680730,1,
36683927,1,
36683928,1,
36683939,9,
36687074,10,
36687090,10,
36687120,1,
36678449,1,
36678458,1,
36681723,1,
36678536,1,
36678537,1,
36678538,1,
36678555,1,
36681763,1,
36681782,10,
36678597,1,
36725779,1,
36725791,1,
36725799,1,
36714925,2,
36714926,2,
36717162,6,
36717167,1,
36717168,1,
36717184,1,
36720338,1,
36720345,1,
36720373,6,
36720413,1,
36723604,1,
36723613,2,
36723614,2,
36723644,10,
36723653,1,
36723663,1,
36723679,2,
36723680,10,
36723681,2,
36723684,10,
36715988,2,
36716001,10,
36716011,9,
36716017,1,
36716018,1,
36716050,1,
36721395,1,
36724612,1,
36716096,1,
36716104,6,
36716120,9,
36716121,10,
36721462,1,
36721484,9,
36721485,9,
36721488,1,
36721510,1,
36721511,1,
36724680,1,
36231753,10,
36231754,10,
36231755,10,
36231756,10,
36231757,10,
36231766,10,
36226315,10,
36223205,1,
36223206,1,
36223221,1,
36270801,1,
36270802,2,
36265457,1,
36268554,1,
36263235,6,
36263236,1,
36263237,1,
36265492,9,
36268641,1,
36268642,1,
36271756,1,
36263286,9,
36263299,10,
36263300,1,
36263301,10,
36263302,10,
36263303,1,
36263304,1,
36268653,1,
36268658,1,
36268659,1,
36268689,1,
36268690,1,
36263319,6,
36263331,1,
36271849,10,
36271859,9,
36271860,9,
36271861,9,
36261136,1,
36261156,10,
36261157,10,
36266477,1,
36266492,1,
36269609,1,
36261183,1,
36261208,1,
36269630,1,
36269631,1,
36269636,1,
36269637,1,
36269648,1,
36261219,10,
36261257,2,
36261260,1,
36261297,1,
36264296,1,
36264299,9,
36264300,9,
36264301,9,
36264302,1,
36269740,2,
36269741,2,
36269742,2,
36269743,2,
36269744,1,
36269748,1,
36269749,1,
36269768,1,
36019797,9,
36019807,6,
36019826,6,
36017639,1,
36020765,1,
36020770,1,
36014517,9,
36014518,9,
36014536,1,
36017675,10,
36017676,1,
36262184,2,
36262188,2,
36262192,2,
36264425,10,
36264439,1,
36267518,1,
36262241,1,
36264454,10,
36262289,1,
36267589,1,
36267622,1,
36270713,1,
36270715,1,
36270716,1,
36270717,1,
36270722,1,
36270742,1,
36262303,6,
36267630,9,
36267634,1,
36270752,10,
36270753,10,
36270754,10,
36270795,1,
36256867,6,
36250601,1,
36260074,1,
36256976,1,
36260093,1,
36248415,1,
36254797,1,
36254798,1,
36257937,1,
36257990,10,
36258012,1,
36258028,6,
36258031,1,
36249420,1,
36258090,6,
36252598,1,
36252648,1,
36255817,1,
36259010,6,
36259029,1,
36259045,6,
36252731,1,
36259075,1,
36259076,1,
36259082,6,
36259103,9,
36259104,9,
36259105,9,
36259106,9,
36517837,9,
36517838,1,
36517839,1,
36517848,9,
36517865,10,
36517866,10,
36517867,10,
36517868,10,
36521018,1,
36521042,1,
36517886,10,
36521050,10,
36521067,10,
36524230,1,
36515666,1,
36521099,10,
36521131,1,
36521168,9,
36515747,10,
36518867,1,
36513534,9,
36515780,1,
36513590,10,
36522097,1,
36513624,1,
36513639,10,
36513654,1,
36518977,10,
36518986,10,
36518988,1,
36522159,1,
36513655,9,
36513659,1,
36513663,1,
36519028,1,
36522201,9,
36522202,9,
36522217,9,
36522219,1,
36522226,9,
36522250,1,
36522251,1,
36514606,1,
36514618,2,
36514630,9,
36516808,1,
36516813,1,
36516847,1,
36519979,1,
36523163,1,
36523167,9,
36523189,1,
36523205,1,
36042068,9,
36035734,1,
36038908,1,
36042069,9,
36035758,6,
36045258,9,
36045259,1,
36045288,6,
36036681,10,
36036682,1,
36039017,1,
36042237,1,
36036764,9,
36036765,9,
36039993,1,
36043136,10,
36043139,6,
36040024,1,
36043149,10,
36040060,1,
36040061,1,
36040062,1,
36034541,10,
36034542,10,
36034543,10,
36040109,9,
36040110,9,
36043263,1,
36046373,5,
36046397,6,
36034578,10,
36034579,10,
36034621,6,
36034626,9,
36034638,3,
36037786,10,
36037787,10,
36037788,10,
36037790,6,
36037792,9,
36037799,9,
36037808,6,
36041002,9,
36041005,1,
36046467,1,
36046468,1,
36046469,9,
36037826,6,
36037866,1,
36259107,9,
36259108,9,
36250532,1,
36250550,1,
36294262,9,
36297422,9,
36297426,2,
36288742,9,
36285656,10,
36291989,9,
36292004,9,
36292007,9,
36295188,1,
36295194,1,
36295195,1,
36295197,2,
36260158,1,
36295253,1,
36286638,10,
36286672,1,
36286753,10,
36296226,10,
36289921,10,
36293132,10,
36289975,1,
36289977,10,
36287698,1,
36290889,5,
36290890,5,
36290898,9,
36287725,8,
36290939,1,
36287768,1,
36287782,10,
36290964,1,
36290995,1,
36290997,1,
36294116,1,
36287829,1,
36291010,10,
36297318,6,
36297327,9,
36287862,9,
36294219,1,
36294230,1,
36294232,1,
36294241,1,
36520065,1,
36523211,10,
36523212,10,
36523227,9,
36523247,10,
36523254,3,
36514747,1,
36523287,1,
36523296,1,
36512447,1,
36517797,1,
36523328,9,
36509324,1,
36507077,1,
36507139,1,
36507140,1,
36510274,1,
36503956,1,
36503957,1,
36507192,1,
36510305,1,
36510416,10,
36510417,10,
36504960,1,
36501755,1,
36501766,10,
36501780,12,6
36504994,1,
36505032,2,
36505050,1,
36505071,1,
36508180,9,
36508201,1,
36508204,9,
36511376,1,
36508230,1,
36508239,10,
36508240,10,
36508245,1,
36508253,1,
36508259,1,
36508267,1,
36511407,9,
36511432,1,
36511435,1,
36502786,1,
36505992,1,
36511503,1,
36044212,1,
36044213,1,
36041133,1,
36044222,10,
36044223,10,
36044224,10,
36044262,9,
36044263,9,
36041165,1,
36041181,9,
36044293,9,
36035632,6,
36035641,1,
36044334,6,
36044350,6,
36035645,10,
36035652,9,
36038862,1,
36033471,1,
36023974,6,
36024006,1,
36024009,6,
36027206,1,
36027207,1,
36033493,9,
36033516,9,
36033525,9,
36027255,6,
36030381,10,
36033546,6,
36024073,1,
36027294,6,
36033625,10,
36027334,6,
36027343,9,
36027349,1,
36021843,9,
36021886,9,
36021899,2,
36021900,2,
36025090,1,
36025091,1,
36028283,1,
36031417,10,
36031442,9,
36031451,1,
36022001,9,
36022007,9,
36025112,1,
36028323,1,
36028353,1,
36028375,9,
