victim_id,offender_id,relationship_id,nibrs_victim_offender_id
50216064,52250332,16,14612586
50216065,52250332,16,14612585
50216066,52250333,16,14612584
50216052,52250320,18,14705045
50216053,52250321,18,14705044
50216071,52250338,16,14705043
50216965,52250339,24,14405348
50216967,52250341,18,14705042
50216972,52250345,21,14705041
50216980,52250355,14,14705040
50216982,52250357,14,14705039
50216982,52250359,14,15269067
50216982,52250358,16,15189709
50216988,52250365,21,14705038
50216993,52250370,1,14851347
50216994,52250371,21,14705037
50216996,52250373,18,14705036
50216998,52250375,16,14705035
50217028,52250409,1,14556977
50217004,52250383,17,14556981
50217006,52250385,21,14556980
50217012,52250392,25,14556979
50217012,52250393,16,15134389
50217013,52250392,16,14556978
50217013,52250393,25,15134388
50217041,52250422,20,14556976
50217047,52250428,18,14556975
50217057,52250443,24,14556974
50217071,52252021,17,14813441
50217087,52252040,15,14886917
50217088,52252041,1,14791497
50217096,52252049,18,13865554
50217097,52252050,24,14791496
50217097,52252051,18,15178162
50217098,52252052,18,14886916
50217098,52252053,18,15178161
50217100,52252055,24,14791495
50217105,52252059,1,14791494
50218048,52252103,1,14705026
50218048,52252104,1,15162422
50217124,52252077,5,14791493
50217125,52252078,16,14705034
50217125,52252079,22,15162427
50217126,52252078,16,14705033
50217126,52252079,22,15162426
50217128,52252081,1,14705032
50217130,52252083,1,14705031
50217130,52252084,1,15162425
50217131,52252083,1,14705030
50217131,52252084,1,15162424
50217136,52252089,21,14705029
50217137,52252090,15,14705028
50218045,52252099,1,14705027
50218045,52252100,21,15162423
50218068,52252129,1,14705020
50218052,52252111,5,14705025
50218053,52252112,7,14705024
50218058,52252117,21,14705023
50218060,52252119,24,14705022
50218067,52252128,21,14705021
50218073,52252135,1,14705019
50218084,52252145,8,14705018
50218085,52252146,5,14705017
50218093,52252155,21,14705016
50218103,52252165,5,14705015
50218109,52252171,24,14705014
50218115,52252177,9,14705013
50218119,52252181,18,14474419
50218120,52252182,5,14705012
50218121,52252182,5,14705011
50218124,52252187,24,14556965
50218124,52252188,24,15134384
50218127,52252192,3,14556964
50218128,52252192,2,14556963
50218136,52252199,18,14555237
50218139,52252202,18,13865548
50218140,52252203,19,14555236
50218141,52252204,25,14555235
50218141,52252205,18,15134383
50218142,52252204,18,14555234
50218142,52252205,25,15134382
50218143,52252206,18,13865547
50218144,52252207,18,13865546
50218146,52252209,24,14555233
50218150,52252214,24,14555232
50218152,52252215,18,14555231
50218156,52252223,3,14555230
50218157,52252224,19,14555229
50218158,52252225,19,14555228
50218184,52252251,21,14555223
50218185,52252252,16,14555222
50218161,52252228,18,14555227
50218163,52252229,25,14555226
50218163,52252230,19,15134381
50218163,52252231,9,15264364
50218167,52252235,9,14555225
50218179,52252245,15,14555224
50218190,52252258,1,14555221
50218216,52252294,24,14249875
50219109,52252299,3,14249874
50219115,52252305,3,14249873
50219122,52253852,24,14791464
50219122,52253853,24,15178158
50219124,52253855,25,14791463
50219124,52253856,18,15195482
50219125,52253855,18,14791462
50219125,52253856,25,15195481
50219128,52253859,1,14791461
50219134,52253865,1,14791460
50219147,52253880,17,14670575
50219148,52253881,18,14670574
50219151,52253884,25,14670573
50219151,52253885,18,15157916
50219152,52253884,18,14670572
50219152,52253885,25,15157915
50219156,52253889,14,14670571
50219156,52253890,14,15157914
50219156,52253891,25,15267322
50219157,52253889,24,14670570
50219157,52253890,25,15157913
50219157,52253891,17,15267321
50219158,52253889,25,14670569
50219158,52253890,24,15157912
50219158,52253891,14,15267320
50219163,52253895,1,14670568
50219163,52253896,1,15157911
50219164,52253895,1,14670567
50219164,52253896,25,15157910
50219167,52253898,1,14670566
50219169,52253900,25,14670565
50219169,52253901,9,15157909
50219170,52253900,9,14670564
50219170,52253901,25,15157908
50219177,52253908,1,14670563
50219189,52253919,3,14670562
50219212,52253940,3,14670561
50219215,52253942,1,14851345
50219214,52253942,1,14851346
50219220,52253947,14,14670560
50219225,52253953,1,14670559
50219229,52253956,24,14670558
50219233,52253960,1,14670557
50219233,52253961,1,15189708
50219237,52253965,25,14670556
50219237,52253966,1,15189707
50219238,52253965,1,14670555
50219238,52253966,25,15189706
50219245,52253972,1,14851344
50219251,52253978,13,14555220
50219268,52253992,1,14555219
