year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2014,Idaho,ID,4547,ID0060100,Aberdeen,1944,7,"Cities under 2,500",1,12,1,12,0,1,1
2014,Idaho,ID,4530,ID0010000,Ada,112129,9A,"MSA counties 100,000 or over",1,12,1,12,0,1,1
2014,Idaho,ID,4535,ID0020000,Adams,3824,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4640,ID0390100,American Falls,4351,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2014,Idaho,ID,4563,ID0100100,Ammon,14607,5,"Cities from 10,000 thru 24,999",0,0,0,0,1,1,1
2014,Idaho,ID,4569,ID0120100,Arco,890,7,"Cities under 2,500",0,0,0,0,1,1,1
2014,Idaho,ID,4537,ID0030000,Bannock,15401,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2014,Idaho,ID,4542,ID0040000,Bear Lake,3447,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4555,ID0070400,Bellevue,2278,7,"Cities under 2,500",1,12,1,12,0,1,1
2014,Idaho,ID,4544,ID0050000,Benewah,6732,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4546,ID0060000,Bingham,27335,8B,"Non-MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2014,Idaho,ID,4548,ID0060200,Blackfoot,11833,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2014,Idaho,ID,4551,ID0070000,Blaine,7063,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4556,ID0080000,Boise,6335,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4531,ID0010100,Boise,216260,2,"Cities from 100,000 thru 249,000",1,12,1,12,0,1,1
2014,Idaho,ID,4558,ID0090000,Bonner,30485,8B,"Non-MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2014,Idaho,ID,4567,ID0110100,Bonners Ferry,2454,7,"Cities under 2,500",1,12,1,12,0,1,1
2014,Idaho,ID,4562,ID0100000,Bonneville,50405,9B,"MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2014,Idaho,ID,4566,ID0110000,Boundary,8437,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4650,ID0420100,Buhl,4235,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2014,Idaho,ID,4580,ID0160100,Burley,10472,5,"Cities from 10,000 thru 24,999",0,0,0,0,1,1,1
2014,Idaho,ID,4568,ID0120000,Butte,2599,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4572,ID0140100,Caldwell,49597,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2014,Idaho,ID,4570,ID0130000,Camas,1033,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4571,ID0140000,Canyon,61793,9B,"MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2014,Idaho,ID,4576,ID0150000,Caribou,3861,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4656,ID0430200,Cascade,899,7,"Cities under 2,500",1,12,1,12,0,1,1
2014,Idaho,ID,4579,ID0160000,Cassia,23564,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2014,Idaho,ID,4587,ID0190300,Challis,1081,7,"Cities under 2,500",1,12,1,12,0,1,1
2014,Idaho,ID,4586,ID0190200,Challis,0,7,"Cities under 2,500",0,0,0,0,1,1,1
2014,Idaho,ID,4538,ID0030100,Chubbuck,14159,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2014,Idaho,ID,4581,ID0170000,Clark,847,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4582,ID0180000,Clearwater,5527,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4609,ID0280100,Coeur d'Alene,46952,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2014,Idaho,ID,4660,IDDI00900,Coeur d'Alene Tribal,0,7,"Cities under 2,500",0,11,0,0,0,0,0
2014,Idaho,ID,4602,ID0250100,Cottonwood,912,7,"Cities under 2,500",1,12,1,12,0,1,1
2014,Idaho,ID,4536,ID0020100,Council,798,7,"Cities under 2,500",0,0,0,0,1,1,1
2014,Idaho,ID,4585,ID0190000,Custer,3171,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4648,ID0410100,Driggs,1658,7,"Cities under 2,500",0,0,0,0,1,1,1
2014,Idaho,ID,4588,ID0200000,Elmore,12434,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2014,Idaho,ID,4596,ID0230100,Emmett,6513,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2014,Idaho,ID,4653,ID0420400,Filer,2622,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2014,Idaho,ID,4549,ID0060300,Firth,467,7,"Cities under 2,500",0,0,0,0,1,1,1
2014,Idaho,ID,4540,ID0030300,Fort Hall Tribal,0,7,"Cities under 2,500",0,11,0,0,0,0,0
2014,Idaho,ID,4591,ID0210000,Franklin,7804,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4593,ID0220000,Fremont,9496,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4636,ID0380100,Fruitland,4768,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2014,Idaho,ID,4532,ID0010200,Garden City,11332,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2014,Idaho,ID,4595,ID0230000,Gem,10293,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2014,Idaho,ID,4589,ID0200100,Glenns Ferry,1237,7,"Cities under 2,500",0,0,0,0,1,1,1
2014,Idaho,ID,4597,ID0240000,Gooding,8102,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4598,ID0240100,Gooding,3452,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2014,Idaho,ID,4578,ID0150200,Grace,894,7,"Cities under 2,500",0,0,0,0,1,1,1
2014,Idaho,ID,4603,ID0250200,Grangeville,3117,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2014,Idaho,ID,4600,ID0240300,Hagerman,846,7,"Cities under 2,500",1,12,1,12,0,1,1
2014,Idaho,ID,4554,ID0070300,Hailey,8034,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2014,Idaho,ID,4627,ID0340200,Heyburn,3189,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2014,Idaho,ID,4634,ID0370100,Homedale,2608,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2014,Idaho,ID,4601,ID0250000,Idaho,12154,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2014,Idaho,ID,4557,ID0080100,Idaho City,453,7,"Cities under 2,500",0,0,0,0,0,0,0
2014,Idaho,ID,4564,ID0100200,Idaho Falls,58606,3,"Cities from 50,000 thru 99,000",1,12,1,12,0,1,1
2014,Idaho,ID,4668,IDISP0000,Idaho State Police,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2014,Idaho,ID,4604,ID0260000,Jefferson,23222,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2014,Idaho,ID,4606,ID0270000,Jerome,11626,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2014,Idaho,ID,4607,ID0270100,Jerome,11064,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2014,Idaho,ID,4620,ID0310200,Kamiah,1327,7,"Cities under 2,500",1,12,1,12,0,1,1
2014,Idaho,ID,4642,ID0400100,Kellogg,2118,7,"Cities under 2,500",1,12,1,12,0,1,1
2014,Idaho,ID,4552,ID0070100,Ketchum,2705,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2014,Idaho,ID,4652,ID0420300,Kimberly,3472,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2014,Idaho,ID,4608,ID0280000,Kootenai,60790,9B,"MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2014,Idaho,ID,25325,IDDI01100,Kootenai Tribal,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2014,Idaho,ID,4534,ID0010700,Kuna,16826,5,"Cities from 10,000 thru 24,999",0,0,0,0,1,1,1
2014,Idaho,ID,4629,ID0350100,Lapwai,1148,7,"Cities under 2,500",0,0,0,0,1,1,1
