arrestee_id,weapon_id,nibrs_arrestee_weapon_id
21137509,1,21152533
21128555,1,21146271
21128532,1,21146248
21129575,1,21146026
21128436,1,21145953
21127465,1,21133524
21127434,1,21133295
21127433,1,21133294
21136410,1,21152497
21136406,1,21152493
21138425,1,21152063
21137400,1,21152033
21137365,1,21151998
21138378,1,21151820
21138376,1,21151818
21138369,1,21151811
21138362,1,21151804
21138291,1,21151535
22066240,1,22066550
22065131,1,22066446
22068348,1,22065655
22068347,1,22065654
21979409,1,21929596
21979408,1,21929595
21979352,1,21928559
22016167,1,22015390
22003955,1,22007248
21103179,1,21120069
21109661,1,21116618
21109660,1,21116617
21097609,1,21110083
21099841,1,21106668
21098644,1,21106071
21098618,1,21105847
22024988,1,22019091
21997262,1,22001650
21111902,1,21129918
21103095,1,21119791
21110722,1,21116678
22009471,1,22009690
22006023,1,22006348
22004955,1,22006271
21138382,1,21151824
21087563,1,21103502
22067540,1,22069798
22067539,1,22069797
22070574,1,22067847
22068463,7,22067744
22065202,1,22067505
22070558,1,22066841
21094326,1,21097249
21094322,1,21097245
21094321,1,21097244
21094320,1,21097243
21094310,1,21097233
21094291,1,21097214
21094284,1,21097207
21094281,1,21097204
21094268,1,21097191
21078514,1,21096981
21078499,1,21096966
21078498,1,21096965
21078471,1,21096938
21078458,1,21096925
21992696,1,22031884
22024926,1,22018041
22010627,1,22010837
21966146,1,21928736
21968072,1,21925698
22020477,1,22015699
22012779,1,22011986
22011743,1,22011947
21110817,1,21116972
21110816,1,21116971
21110811,1,21116966
21110807,1,21116962
21110786,1,21116941
21110780,1,21116935
21110777,3,21116932
21110775,1,21116930
21110772,1,21116927
21109700,1,21116853
21110752,1,21116708
21110750,1,21116706
21110700,1,21116656
21109637,1,21116594
21108584,1,21116540
21108560,1,21116516
21110683,1,21116444
21110682,1,21116443
21110675,1,21116436
21110671,1,21116432
21110667,1,21116428
21110665,3,21116426
21110651,1,21116412
21109620,1,21116382
21109613,1,21116375
21109595,1,21116357
21109587,1,21116349
21109575,1,21116337
21109559,1,21116321
21108556,1,21116318
21108548,1,21116310
21108537,1,21116299
21108515,1,21116277
21108504,1,21116266
21107474,1,21116234
21107468,1,21116228
21107441,1,21116201
22024950,1,22018065
22024908,1,22017035
22030691,1,22016268
22018310,1,22015538
22006179,1,22009460
22002744,1,22005070
22002743,1,22005069
22001733,1,22005055
22001731,1,22005054
22001694,1,22005017
21999449,1,22002814
21999329,1,22000737
21997095,1,21999517
22031702,1,21991365
22046290,1,21990178
22046289,1,21990177
22045221,1,21990109
22045199,1,21990087
22046210,1,21989113
22045082,1,21988001
22045081,1,21988000
22038447,1,21982402
22038389,1,21981360
22037345,1,21981250
21080857,1,21093457
21982652,1,22041729
21980508,1,22040605
21980471,1,22040568
22071774,1,22070012
22010648,1,22011852
21095397,1,21109668
22030565,1,22028937
22022728,1,22017917
22030607,1,22029967
22021564,1,22015780
22036273,1,21996865
22047372,1,21996573
22025026,1,22019129
22025014,1,22019117
22024996,1,22019099
22024987,1,22019090
22024986,1,22019089
22024985,1,22019088
22023935,1,22019046
22023931,1,22019042
22023921,1,22019032
22023919,1,22019030
22022814,1,22018993
22022803,1,22018982
22022797,1,22018976
22022793,1,22018972
22022791,1,22018970
22022789,1,22018968
22022788,1,22018967
22022787,1,22018966
22022782,1,22018961
22022781,3,22018960
22022780,3,22018959
22022779,1,22018958
22022777,1,22018956
21093216,1,21101041
21094258,1,21100881
21092091,1,21100719
21093114,1,21100540
21093104,1,21100530
21093052,1,21100284
21091993,1,21100228
21094289,1,21097212
22037313,1,21995915
22037309,1,21995911
22037308,1,21995910
22037287,1,21995889
22037285,1,21995887
22037272,1,21995874
22036266,1,21995871
22036253,1,21995858
22036226,1,21995831
22036216,3,21995821
22036200,1,21995805
22035152,1,21995759
22035133,1,21995740
22035132,1,21995739
22047324,1,21995536
22047307,1,21995519
22047298,1,21995510
22047296,1,21995508
22047295,1,21995507
22047289,1,21995501
21094336,1,21109866
21094335,1,21109865
21095413,1,21109684
21097510,1,21109591
21100946,1,21106975
21101943,1,21106787
21100823,1,21106464
21089827,1,21104161
21088729,1,21104060
21089780,1,21103912
21089703,1,21103637
21089699,1,21103633
21088639,1,21103572
21088638,1,21103571
21088637,1,21103570
21087555,1,21103494
21087499,1,21103245
21087498,1,21103244
22054215,1,22114083
22054210,1,22114078
21977060,1,21918964
21977047,1,21918951
21977005,1,21918909
21976001,1,21918901
21975992,1,21918893
21974930,1,21918829
21974915,1,21918814
21973835,1,21918732
21973826,1,21918723
21973815,1,21918712
21975925,1,21917837
21975922,1,21917834
21975901,1,21917813
21974869,1,21917778
21974868,1,21917777
22053091,1,22113968
22053087,1,22113964
22060645,1,22113429
22060644,1,22113428
22060643,1,22113427
22060636,1,22113420
22059530,1,22113318
22059524,1,22113312
22059521,1,22113309
22059520,1,22113308
22058459,1,22113252
22058451,1,22113244
22058450,1,22113243
22057344,1,22113207
22057342,1,22113205
22056262,1,22113128
22056248,1,22113114
22056245,1,22113111
22054153,1,22113033
22054139,1,22113019
22054128,1,22113008
22054126,1,22113006
22054117,1,22112997
22053071,1,22112959
22053059,1,22112947
22053025,1,22112913
22053024,1,22112912
21087483,1,21103229
21087481,1,21103227
21086372,1,21103189
21086331,1,21103148
22054198,1,22114066
21974860,1,21917770
21974858,1,21917768
21974848,1,21917758
21974826,1,21917736
21974824,1,21917734
21974822,1,21917732
21974814,1,21917724
21974807,7,21917717
21973755,1,21917663
21973744,1,21917652
21087571,1,21103510
21086419,1,21103429
21087493,1,21103239
21087490,1,21103236
21094248,1,21100871
21094229,1,21100852
21094221,1,21100844
21094211,1,21100834
21094203,1,21100826
21093171,1,21100796
21092064,1,21100692
21094186,1,21100610
21091990,1,21100225
21090817,1,21099864
21094308,1,21097231
21094285,1,21097208
21078509,1,21096976
21078508,1,21096975
21078504,1,21096971
21078500,1,21096967
21078497,1,21096964
21078484,1,21096951
21078483,1,21096950
21078476,1,21096943
21078475,1,21096942
21078474,3,21096941
21078473,1,21096940
21078469,1,21096936
21079588,7,21096787
21079586,1,21096785
21079581,1,21096780
21079580,1,21096779
21079579,1,21096778
21079578,1,21096777
21079570,1,21096769
21078452,1,21096721
21078450,1,21096719
21080861,1,21093460
21079723,1,21093328
21080793,22,21093191
21080784,1,21093183
21080783,1,21093182
21079721,1,21093125
21079707,1,21093112
21079702,1,21093107
21079695,1,21093100
21079688,1,21093093
21079664,1,21093069
21079663,1,21093068
21079662,1,21093067
21078630,7,21093037
21078624,1,21093031
21078623,1,21093030
