victim_id,injury_id
84074757,5
84074761,5
84074764,4
84074770,4
84074772,4
84074779,5
84074782,5
84074785,5
84074788,4
84074789,5
84074800,5
84074807,5
84074803,4
84074805,5
84074811,5
84074812,5
84074815,5
84074817,5
84074819,4
84074820,5
84074821,5
84075731,4
84075738,5
84075739,5
84075747,5
84075742,5
84075743,5
84075745,5
84075746,4
84075749,5
84075751,4
84075752,5
84075754,5
84075760,4
84075773,4
84075792,5
84075803,5
84075807,4
84075817,5
84075818,4
84076852,5
84075826,4
84075834,5
84075836,4
84075845,4
84075846,4
84075847,4
84075849,4
84075881,5
84075863,4
84075872,1
84075880,5
84075890,4
84075897,3
84075903,4
84076807,5
84076809,4
84076819,5
84076820,5
84076821,5
84076866,5
84076867,5
84076868,5
84076870,5
84076871,5
84076873,5
84076863,5
84076880,4
84076881,5
84076882,4
84076885,6
84076886,5
84076892,5
84076904,5
84076910,5
84076911,5
84076918,4
84076919,5
84076920,5
84076924,4
84076932,6
84076933,6
84076935,5
84076936,5
84076945,5
84076953,5
84076954,5
84076958,2
84076958,4
84076958,7
84076959,5
84076960,5
84076968,5
84076969,5
84076970,5
84076971,5
84076972,5
84076973,5
84076974,4
84077899,6
84077902,5
84077904,1
84077914,4
84077934,4
84077936,4
84077939,5
84077916,5
84077918,5
84077920,4
84077922,5
84077944,4
84077949,4
84077950,5
84077954,5
84077959,4
84077964,5
84077966,5
84077965,5
84077967,5
84077968,4
84077976,4
84077975,4
84077979,5
84077983,5
84077984,5
84077986,1
84078013,5
84078020,5
84078021,5
84077993,5
84078002,4
84078003,5
84078004,1
84078004,3
84078005,5
83902279,5
83902282,5
83902285,5
83902290,4
83902292,5
83902311,5
83902320,5
83902350,4
83902363,5
83902365,5
83902369,5
83902370,5
83902371,5
83902373,5
83902374,5
83902372,5
83902375,5
83902376,5
83902377,5
83902379,5
83902380,5
83902385,5
83902388,5
83902389,5
83902399,5
83902404,5
83902406,5
83902408,4
83902411,5
83902421,5
83902423,4
83903354,5
83903357,5
83903358,5
83903360,2
83903365,5
83903367,5
83903368,5
83903371,5
83903455,4
83903373,5
83903376,5
83903378,5
83903379,5
83903381,5
83903382,5
83903383,5
83903385,5
83903388,5
83903390,4
83903392,5
83903400,5
83903402,5
83903403,5
83903406,5
83903409,5
83903410,5
83903417,5
83903418,5
83903427,4
83903428,5
83903431,5
83903432,5
83903437,4
83903481,5
83903482,5
83903486,5
83903488,5
83903489,5
83903502,5
83903466,5
83903470,5
83903471,5
83903509,5
83903510,5
83903511,4
83904425,5
83904436,5
83904442,5
83904445,5
83904451,5
83904456,5
83904461,5
83904464,5
83904467,5
83904468,5
83904469,5
83904472,4
83904482,5
83904487,5
83904493,5
83904494,5
83904500,5
83904508,5
83904511,5
83904513,5
83904514,5
83904526,4
83904530,4
83904532,5
83904535,5
83904542,5
83904550,5
83904555,5
83904556,5
83904558,5
83904572,5
83905628,4
83905629,5
83905633,5
83904577,4
83904587,4
83904590,4
83904596,5
83904597,4
83905522,4
83905524,5
83905528,5
83905529,5
83905536,5
83905555,5
83905567,5
83905569,5
83905574,5
83905578,5
83905580,5
83905596,5
83905597,5
83905605,5
83905624,5
83905606,4
83905607,5
83905610,5
83905612,5
83905615,4
83905616,5
83905617,5
83905618,5
83905619,5
83905659,5
83905660,5
83905661,5
83905665,5
83905666,5
83905667,4
83905670,4
83905673,5
83905674,5
83905675,5
83905681,5
83905686,5
83905691,4
83905694,5
83905646,5
83905656,4
83906615,4
83906619,5
83906620,5
83906622,5
83906623,5
83906624,5
83906625,4
83906634,4
83906635,5
83906640,4
83906644,5
83906645,5
83906648,5
83906649,4
83906656,5
83906725,4
83906736,5
83906738,5
83906739,5
83906756,4
83906757,4
83906762,4
83906771,4
83906772,4
83906773,5
83906670,5
83906671,5
83906677,5
83906780,5
83906786,4
83906785,4
83906663,5
83906664,4
83906666,4
83906667,5
83906691,1
83906702,5
83906703,5
83906710,5
83906718,5
83906721,4
83906722,4
83907725,5
83907729,4
83907730,5
83907731,5
83907734,5
83907736,4
83907737,5
83907741,5
83907745,5
83907746,5
83907748,5
83907749,5
83907750,5
83907754,5
83907764,4
83907714,5
83907715,5
83907716,4
83907718,4
83907720,5
83907721,5
83907722,5
83907723,4
83907781,5
83907783,4
83907799,5
83907800,4
83907808,5
83907810,4
83907813,5
83907816,4
83907823,4
83907824,4
83907827,4
83907835,5
83907837,4
83907838,5
83907841,5
83907846,4
83907849,5
83907864,5
83907871,4
83907878,4
83908789,5
83908794,5
83908795,3
83908799,5
83908798,5
83908806,5
83908809,5
83908810,5
83908812,4
83908821,5
83908822,5
83908823,5
83908826,5
83908827,5
83908828,4
83908834,5
83908836,4
83908852,4
83908862,5
83908916,4
83908928,4
83908937,4
83908942,5
83908943,4
83908944,4
83908950,5
83908951,4
83908955,5
83908956,5
83908957,5
83908962,4
83908963,5
83909883,5
83923079,4
83923080,5
83923085,4
83923086,4
83923087,4
83923090,5
83923091,5
83923099,4
83923104,4
83923105,4
83923106,4
83923109,4
83923110,5
83923111,5
83923112,4
