victim_id,offense_id
85188561,85610284
85188562,85607124
85188564,85607282
85188539,85616226
85188540,85607120
85188577,85610285
85188545,85616227
85188546,85607122
85188547,85610281
85188548,85612264
85188549,85616228
85188550,85612265
85188551,85612265
85188576,85616230
85188573,85612269
85188574,85611262
85188575,85617189
85188571,85617188
85188572,85612268
85188554,85611259
85188555,85607281
85188556,85607123
85188557,85610282
85188558,85610283
85188559,85612266
85188560,85617186
85188552,85611258
85188553,85617185
85188543,85610279
85188544,85610280
85188563,85617187
85188565,85616229
85188567,85611260
85188566,85611260
85188568,85611261
85188569,85611261
85188570,85612267
85188580,85612270
85188581,85611263
85188582,85607125
85188578,85610286
85188579,85607283
85188541,85607121
85188542,85611257
85189655,85612292
85189655,85612291
85189656,85607155
85189657,85612293
85189659,85616252
85189660,85617216
85189661,85617217
85189662,85611300
85189663,85617218
85189664,85611301
85189665,85611303
85189665,85611302
85189666,85611089
85189666,85611088
85189667,85611304
90303948,90388399
85189669,85617219
85189669,85617220
85189670,85607156
85189670,85607157
85189671,85617221
85189672,85616253
85189673,85611306
85189674,85611306
85189675,85608071
85189676,85616254
85189677,85612296
85189677,85612295
85189678,85611091
85189678,85611090
85189679,85611092
85189680,85607158
85189681,85616255
85189682,85616256
85189683,85617018
85189684,85617018
85189685,85612297
85189686,85611307
85189687,85607159
85189688,85611093
85189689,85607918
85189689,85607160
85189689,85607919
85189690,85617222
85189691,85608072
85189692,85611309
85189692,85611308
85189706,85611098
91091000,91179590
85189719,85607921
85189720,85611107
85189720,85611108
85189721,85612301
85189722,85612302
85189723,85608078
85189724,85617227
85189725,85607922
85189726,85612304
85189726,85612303
85189727,85612305
85189728,85611109
85189728,85611110
85189729,85611312
85189729,85611313
85189731,85612308
85189731,85612307
85189734,85617228
85189735,85611314
85189736,85608080
85189736,85608079
85189737,85611114
85190660,85617025
85190661,85617025
92510060,92607776
92509197,92608307
92509197,92608305
85188583,85610287
85188584,85616231
85188584,85616232
85188585,85607126
85188586,85607127
85188586,85607128
85188587,85611264
85188588,85612271
85188589,85607129
85188590,85617190
85188591,85610289
85188591,85610288
85188592,85607130
85188593,85607285
85188593,85607284
85188594,85610290
85188595,85616233
85188596,85610291
85188597,85607131
85188598,85610292
85188599,85616234
85188600,85611265
85188601,85607287
85188602,85607286
85188603,85617191
85188604,85616235
85188605,85607288
85188606,85607289
85188606,85607290
85189750,85611315
85189751,85607927
85189753,85621442
85189753,85621443
85190655,85607929
85190655,85607928
85190656,85621444
85190657,85621445
85190657,85621446
85190658,85611118
85190658,85611117
