"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2016,5,90461571,1,1,7219027
2016,5,90461573,0.67,1,7219028
2016,12,90461583,0.01,1,7219029
2016,5,90461600,1.75,1,7219030
2016,5,90461613,0.03,1,7219031
2016,5,90461618,2.001,1,7219032
2016,5,90461627,2.2,1,7219033
2016,5,90461653,22,1,7219034
2016,5,90461654,2.9,1,7219035
2016,5,90461670,0.02,1,7219036
2016,5,90461675,1.1,1,7219037
2016,5,90575359,2.2,1,7223224
2016,17,90575370,1,1,7223225
2016,12,90575391,0.8,1,7223226
2016,12,90575413,0.2,1,7223227
2016,5,90575418,11,1,7223228
2016,5,90575442,1,1,7223231
2016,5,90575450,0.001,1,7223233
2016,12,90576278,4.9,1,7223234
2016,5,90576286,0.01,1,7223235
2016,5,90576303,4.6,1,7223237
2016,5,90576310,1.5,1,7223238
2016,4,90576373,0.7,1,7223239
2016,4,90576386,0.4,1,7223240
2016,5,90581354,1.54,1,7223282
2016,5,90581367,0.7,1,7223284
2016,4,90581375,4,1,7223285
2016,12,90581376,0.001,1,7223286
2016,5,90581384,59.8,1,7223287
2016,5,90581389,7.1,1,7223288
2016,12,90581424,1,1,7223289
2016,12,90581429,1,1,7223290
2016,5,90581442,5.01,1,7223291
2016,12,90581448,0.001,1,7223292
2016,5,90581469,1,1,7223294
2016,5,90581475,3,1,7223295
2016,12,90579371,1,1,7223296
2016,5,90579381,13.1,1,7223297
2016,12,90579384,12,1,7223298
2016,12,90579478,0.09,1,7223299
2016,5,90579479,9.6,1,7223300
2016,5,90579504,2.3,1,7223301
2016,11,90575484,1.3,1,7223315
2016,12,90575536,1.36,1,7223317
2016,5,90575550,0.3,1,7223318
2016,5,90575571,47.4,1,7223319
2016,5,90575575,0.9,1,7223320
2016,5,90576396,17.4,1,7223321
2016,12,90576414,8,1,7223322
2016,12,90576429,1,1,7223323
2016,5,90574997,4,1,7223333
2016,5,90574998,2.6,1,7223334
2016,5,90575002,9.2,1,7223335
2016,5,90575010,2.5,1,7223336
2016,5,90575016,251.6,1,7223337
2016,5,90575018,5,1,7223338
2016,5,90575023,2.1,1,7223339
2016,5,90575027,0.6,1,7223340
2016,17,90575034,0.2,1,7223341
2016,5,90575035,17.2,1,7223342
2016,5,90575038,7.1,1,7223343
2016,5,90575041,45.2,1,7223344
2016,5,90575043,12.2,1,7223345
2016,5,90575044,2.3,1,7223346
2016,5,90575055,0.1,1,7223347
2016,5,90575056,47.4,1,7223348
2016,5,90575059,34.1,1,7223349
2016,5,90575068,0.2,1,7223350
2016,4,90575075,0.3,1,7223351
2016,5,90581494,1,1,7223376
2016,5,90581495,0.1,1,7223377
2016,5,90579512,2.1,1,7223382
2016,5,90579579,4.4,1,7223383
2016,5,90579584,6.3,1,7223384
2016,5,90579592,6.9,1,7223385
2016,5,90579596,0.4,1,7223386
2016,12,90579608,0.4,1,7223387
2016,12,90579632,0.04,1,7223388
2016,5,90575640,0.1,1,7223397
2016,5,90575080,9.4,1,7223412
2016,5,90575083,4.8,1,7223413
2016,5,90575084,1.7,1,7223414
2016,5,90575087,2.5,1,7223415
2016,5,90575090,0.9,1,7223416
2016,2,90575092,7.7,1,7223417
2016,5,90575095,0.2,1,7223418
2016,5,90575097,73,1,7223419
2016,5,90575099,0.8,1,7223420
2016,5,90575101,1.5,1,7223421
2016,5,90575103,63.8,1,7223422
2016,5,90575105,1,1,7223423
2016,5,90575110,0.6,1,7223424
2016,5,90575117,1,1,7223425
2016,5,90575118,1.3,1,7223426
2016,5,90575120,4.7,1,7223427
2016,5,90575128,3.6,1,7223428
2016,5,90575140,15,1,7223429
2016,5,90575146,2.45,1,7223430
2016,5,90575150,1.45,1,7223431
2016,4,90575165,0.3,1,7223433
2016,5,90575167,0.1,1,7223434
2016,5,90575168,0.3,1,7223435
2016,5,90575169,3.3,1,7223436
2016,5,90575173,0.2,1,7223437
2016,5,90575177,4,1,7223438
2016,5,90575183,7.8,1,7223439
2016,5,90579693,0.4,1,7223479
2016,5,90581882,11,1,7223481
2016,5,90581892,112.002,1,7223482
2016,5,90581893,0.002,1,7223483
2016,12,90581911,1,1,7223484
2016,5,91091529,1.3,1,7236502
2016,4,91799402,0.01,1,7254211
2016,5,91799417,4,1,7254212
2016,5,91799475,1.5,1,7254213
2016,5,91799501,5.5,1,7254214
2016,5,90575186,17.2,1,7223521
2016,5,90575193,0.1,1,7223522
2016,5,90575213,0.35,1,7223524
2016,5,90575214,2.8,1,7223525
2016,4,90575215,0.001,1,7223526
2016,5,90575220,112.14,1,7223527
2016,12,90575221,1.76,1,7223528
2016,12,90575223,1.04,1,7223529
2016,5,90575228,3.6,1,7223530
2016,5,90575231,16.9,1,7223532
2016,5,90575232,3.4,1,7223533
2016,5,90575237,4.6,1,7223534
2016,5,90575238,2,1,7223535
2016,5,90575241,45.2,1,7223536
2016,5,90575244,1.9,1,7223537
2016,12,90575245,0.001,1,7223538
2016,4,90575249,2.4,1,7223541
2016,5,90575251,2.7,1,7223542
2016,12,90575257,0.8,1,7223543
2016,12,90575266,6.9,1,7223544
2016,12,90578248,1.4,1,7223587
2016,12,90578263,0.5,1,7223588
2016,5,90578278,1,1,7223589
2016,12,90578294,1.15,1,7223590
2016,12,90581958,1,1,7223591
2016,12,90581993,3,1,7223592
2016,5,90582000,1.2,1,7223593
2016,4,90582003,0.16,1,7223594
2016,5,90582004,0.6,1,7223595
2016,5,90582026,3,1,7223598
2016,5,90577536,3,1,7223617
2016,12,90575296,0.3,1,7223618
2016,5,90575300,10.9,1,7223619
2016,5,90575316,9.5,1,7223620
2016,5,90575332,14.5,1,7223621
2016,5,90578381,5.9,1,7223650
2016,12,90578423,0.5,1,7223651
2016,5,90578536,6,1,7223652
2016,12,90582096,0.8,1,7223656
2016,12,90582101,1.6,1,7223657
2016,5,90582105,0.02,1,7223658
2016,5,90582123,23.4,1,7223660
2016,5,90582126,88.4,1,7223661
2016,12,90582133,5.2,1,7223662
2016,5,90582136,0.02,1,7223663
2016,5,90582151,30.9,1,7223664
2016,12,90582163,1.5,1,7223665
2016,5,90582165,0.004,1,7223666
2016,5,90576433,1.4,1,7223693
2016,5,90577551,20.07,1,7223695
2016,12,90577553,0.3,1,7223696
2016,12,90577618,0.01,1,7223697
2016,4,90577648,8.3,1,7223698
2016,12,90577650,0.01,1,7223699
2016,4,90577663,0.02,1,7223700
2016,5,90577999,6.725,1,7223701
2016,5,90578006,1,1,7223702
2016,5,90578012,0.008,1,7223703
2016,5,90578015,1.019,1,7223704
2016,5,90578022,2,1,7223705
2016,16,90578081,1,1,7223710
2016,4,90578092,1,1,7223711
2016,5,90578099,1,1,7223712
2016,5,90578576,3.6,1,7223740
2016,5,90580802,0.3,1,7223741
2016,12,90580841,3.1,1,7223742
2016,4,90580856,0.01,1,7223743
2016,5,90580887,9.9,1,7223744
2016,4,90582186,0.003,1,7223752
2016,5,90582189,1.5,1,7223753
2016,12,90582237,0.001,1,7223755
2016,5,91799554,3.4,1,7254251
2016,5,91799579,15.5,1,7254252
2016,5,91799611,20.8,1,7254253
2016,5,91799613,16.2,1,7254254
2016,5,91799614,13.7,1,7254255
2016,5,91799698,83,1,7254256
2016,5,91799739,56.4,1,7254257
2016,12,91799740,0.01,1,7254258
2016,5,90576468,0.01,1,7223771
2016,5,90576519,12.3,1,7223772
2016,12,90576521,1,1,7223773
2016,5,90576522,2.7,1,7223774
2016,5,90576528,3.1,1,7223775
2016,5,90576574,2.1,1,7223777
