victim_id,injury_id
2521531,5
2521530,4
2521539,5
2521534,5
2521569,4
2521568,4
2521562,4
2521590,4
2521591,4
2521584,4
2521582,4
2521581,4
2521579,4
2521578,4
2521607,5
2521603,5
2521596,5
2521595,1
2521632,5
2521618,4
2521616,4
2521639,4
2521636,5
2521627,5
2521626,5
2521625,5
2521621,4
2521655,5
2521987,5
2521780,5
2521779,5
2521778,5
2521719,4
2521713,5
2521709,5
2521707,5
2521699,4
2521698,4
2521695,5
2521688,5
2521684,5
2521683,5
2521681,4
2521837,5
2521786,5
2521781,5
2521775,4
2521763,4
2521738,5
2521737,5
2521736,5
2521734,5
2521727,5
2521720,5
2521854,5
2521853,4
2521850,4
2521845,4
2521840,5
2521830,4
2521831,5
2521828,4
2521827,5
2521824,4
2521810,4
2521804,5
2521916,5
2521903,4
2521902,5
2521895,5
2521893,5
2521888,5
2521887,5
2521882,5
2521875,5
2521876,5
2521862,4
2521858,5
2521998,5
2521983,5
2521980,4
2521974,4
2521968,4
2521963,5
2521962,5
2521959,5
2521958,5
2521956,5
2521955,5
2521945,3
2521937,4
2521935,4
2521936,4
2521931,5
2521928,5
2521924,5
2521923,5
2521921,4
2522186,5
2522078,4
2522074,5
2522053,5
2522051,4
2522047,5
2522042,4
2522040,5
2522041,5
2522037,5
2522036,5
2522031,5
2522032,5
2522025,5
2522022,5
2522021,5
2522019,5
2522015,5
2522012,4
2522010,4
2522006,5
2521995,5
2522198,5
2522199,5
2522197,5
2522195,5
2522194,5
2522182,4
2522157,5
2522151,4
2522148,5
2522146,4
2522145,4
2522142,5
2522140,4
2522127,5
2522126,4
2522124,5
2522123,4
2522117,5
2522108,5
2522106,5
2522099,5
2522097,5
2522211,5
2522212,4
2522431,4
2522428,4
2522277,4
2522275,4
2522213,4
2522263,4
2522257,4
2522253,4
2522252,4
2522246,4
2522216,4
2522217,4
2522215,4
2522306,4
2522303,4
2522294,4
2522293,4
2522373,4
2522370,4
2522338,5
2522329,4
2522242,4
2522238,4
2522237,4
2522392,4
2522381,5
2522379,4
2522352,4
2522348,4
2522320,4
2522319,4
2522287,4
2522229,4
2522228,4
2522224,4
2522223,4
2522491,4
2522466,4
2522453,4
2522437,4
2522420,4
2522498,4
2522485,4
2522476,4
2522475,4
2522474,4
2522515,4
2522512,4
2522496,3
2522497,3
2522536,4
2522529,4
2522526,4
2522579,6
2522576,3
2522607,4
2523100,4
2522714,4
2522715,4
2522713,4
2522709,4
2522701,4
2522695,3
2522695,7
2522694,4
2522692,5
2522693,5
2522690,5
2522691,5
2522686,4
2522680,5
2522679,1
2522671,5
2522672,5
2522673,5
2522661,4
2522657,5
2522658,5
2522659,5
2522660,5
2522652,4
2522644,4
2522643,4
2522624,4
2522615,8
2522813,4
2522797,5
2522783,4
2522777,4
2522778,4
2522771,4
2522765,1
2522763,4
2522761,4
2522755,4
2522738,4
2522735,4
2522721,4
2522928,5
2522919,4
2522911,4
2522899,5
2522894,4
2522889,4
2522888,5
2522886,3
2522883,4
2522882,1
2522880,4
2522878,5
2522869,5
2522861,4
2522860,4
2522859,5
2522857,4
2522851,4
2522848,5
2522847,3
2522835,4
2522829,4
2522825,4
2522826,4
2522827,4
2522808,3
2523623,5
2523053,5
2523040,5
2523039,5
2523035,5
2523029,4
2523026,4
2523025,6
2523020,4
2523017,5
2523018,5
2523013,5
2523011,4
2522990,5
2522989,4
2522988,5
2522985,1
2522984,4
2522977,5
2522975,7
2522961,4
2522962,4
2522960,4
2522958,4
2522948,4
