property_id,incident_id,prop_loss_id,stolen_count,recovered_count,ff_line_number
36888287,33724612,7,,,
36904271,33733378,7,,,
36890539,33728457,4,,,
36901673,33732309,4,,,
36886227,33726566,3,,,
36886228,33726566,7,,,
36905361,33736176,7,,,
36887137,33729410,7,,,
36887194,33731335,7,,,
36962356,33761998,7,,,
36898005,33731441,7,,,
36894534,33731452,7,,,
36893708,33733311,5,,,
36893709,33733311,7,,,
36893710,33733311,7,,,
36936106,33747738,7,,,
36898078,33734257,7,,,
36935265,33746905,7,,,
36922138,33742048,7,,,
36901745,33737262,7,,,
36955040,33757256,7,,,
36886202,33725680,3,,,
36886203,33725680,7,,,
36863703,33716160,3,,,
36862671,33716163,7,,,
36845358,33708356,1,,,
36845359,33708356,6,,,
36841325,33708357,1,,,
36841326,33708357,6,,,
36855310,33708358,4,,,
36855311,33708358,4,,,
36847932,33708359,4,,,
36862824,33715101,4,,,
36864354,33715102,7,,,
36864355,33715102,7,,,
36864356,33715102,7,,,
36862825,33715103,2,,,
36862612,33715104,4,,,
36862613,33715105,4,,,
36856326,33715106,4,,,
36856327,33715106,7,0,,
36856328,33715107,6,,,
36857090,33715109,1,,,
36857091,33715109,4,,,
36862614,33715110,7,,,
36862615,33715110,7,,,
36862616,33715110,7,,,
36862617,33715110,7,,,
36862826,33715111,6,,,
36857092,33715112,7,,,
36862827,33715113,4,,,
36862828,33715113,7,,,
36864357,33715114,5,,,
36864358,33715114,5,,,
36864359,33715114,7,,,
36864360,33715114,7,,,
36864361,33715114,7,,,
36864362,33715114,7,,,
36864363,33715114,7,,,
36862618,33715115,1,,,
36853320,33715116,4,,,
36856329,33715117,4,,,
36856330,33715118,7,,,
36856331,33715118,7,,,
36856332,33715118,7,,,
36856333,33715118,7,,,
36856352,33715210,7,,,
36859405,33715211,6,,,
36862633,33715212,7,,,
36857100,33715214,7,,,
36857101,33715215,7,,,
36857102,33715215,7,,,
36857103,33715215,7,,,
36859406,33715216,4,,,
36859407,33715216,7,,,
36867810,33715217,4,,,
36867811,33715217,4,,,
36867812,33715218,6,,,
36856353,33715220,4,,,
36856354,33715220,7,0,,
36863676,33715221,4,,,
36859408,33715222,5,,,
36859409,33715222,7,,,
36862634,33715226,7,,,
36862635,33715226,7,,,
36864376,33715227,7,,,
36863677,33715228,4,,,
36863678,33715228,5,,,
36863679,33715228,7,,,
36864377,33715230,4,,,
36864378,33715231,7,0,,
36856355,33715232,6,,,
36857104,33715233,4,,,
36857105,33715233,7,0,,
36857106,33715234,4,,,
36859410,33715235,1,,,
36864379,33715240,7,,,
36864380,33715240,7,,,
36857107,33715242,7,,,
36856357,33715246,4,,,
36846311,33711242,4,,,
36846312,33711242,7,,,
36845420,33711245,7,,,
36852358,33711246,7,,,
36852359,33711246,7,,,
36852360,33711246,7,,,
36852361,33711247,4,,,
36848880,33711248,4,,,
36848881,33711248,4,,,
36846313,33711249,7,,,
36846314,33711250,4,,,
36846315,33711250,7,,,
36845421,33711252,5,,,
36845422,33711252,5,,,
36845423,33711252,7,,,
36845424,33711252,7,,,
36845425,33711252,7,,,
36850069,33711253,5,,,
36850070,33711253,7,,,
36850071,33711254,4,,,
36850072,33711254,5,,,
36850073,33711254,5,,,
36850074,33711254,7,,,
36850075,33711254,7,,,
36850076,33711254,7,,,
36845426,33711255,7,,,
36848882,33711256,5,,,
36848883,33711256,7,,,
36855399,33711257,7,,,
36850077,33711258,5,,,
36850078,33711258,7,,,
36846316,33711259,5,,,
36846317,33711259,7,,,
36848884,33711260,7,,,
36848885,33711260,7,,,
36848886,33711260,7,,,
36856111,33711261,7,,,
36856112,33711261,7,,,
36845427,33711261,4,,,
36852362,33711262,7,,,
36846318,33711263,7,,,
36850079,33711264,4,,,
36848887,33711265,5,,,
36848888,33711265,7,,,
36846319,33711266,4,,,
36846320,33711267,1,,,
36852363,33711268,7,,,
36846321,33711269,4,,,
36846322,33711269,7,,,
36846323,33711269,7,,,
36846324,33711269,7,,,
36846325,33711269,7,,,
36846326,33711269,7,0,,
36846327,33711269,7,,,
36858454,33711270,4,,,
36855400,33711271,7,,,
36855401,33711271,7,,,
36852364,33711272,4,,,
36852365,33711272,7,,,
36858455,33711274,4,,,
36863744,33718027,7,,,
36863560,33718045,7,,,
36837515,33706431,4,,,
36841839,33706432,7,,,
36841283,33706433,4,,,
36841284,33706433,7,,,
36841285,33706433,7,,,
36841286,33706433,7,,,
36838801,33706434,4,,,
36837516,33706435,7,,,
36837517,33706435,7,,,
36837518,33706435,7,,,
36841287,33706438,4,,,
36847867,33706441,4,,,
36842983,33706442,7,,,
36844457,33706444,4,,,
36841288,33706446,4,,,
36841289,33706446,7,0,,
36841840,33706447,7,,,
36837519,33706448,5,,,
36837520,33706448,5,,,
36837521,33706448,5,,,
36837522,33706448,5,,,
36837523,33706448,7,,,
36837524,33706448,7,,,
36845285,33706448,7,,,
36845286,33706448,7,,,
36845287,33706448,7,,,
36841841,33706449,4,,,
36841842,33706449,7,0,,
36847868,33706450,7,,,
36841843,33706451,4,,,
36841844,33706451,4,,,
36841845,33706451,7,,,
36844458,33706452,5,,0,
36844459,33706452,7,0,,
36841846,33706454,7,,,
36841847,33706454,7,,,
36841848,33706455,7,,,
36841849,33706455,7,,,
36841850,33706455,7,0,,
36845288,33706456,7,,,
36838804,33706457,4,,,
36838805,33706457,4,,,
36838806,33706457,7,,,
36838807,33706457,7,,,
36838808,33706457,7,,,
36838809,33706457,7,0,,
36847869,33706458,4,,,
36842984,33706459,7,,,
36842985,33706459,7,,,
36842986,33706459,7,,,
36842987,33706459,7,,,
36842988,33706459,7,,,
36841290,33706460,4,,,
36841291,33706460,7,,,
36841292,33706460,7,,,
36847870,33706463,7,,,
36842989,33706464,7,,,
36844460,33706466,4,,,
36844461,33706466,7,,,
36844462,33706466,7,,,
36844463,33706466,7,,,
36844464,33706466,7,,,
36845289,33706469,7,,,
36845290,33706469,7,,,
36845291,33706469,7,,,
36842990,33706471,7,,,
36842991,33706471,7,,,
36842992,33706471,7,,,
36844465,33706472,5,,1,
36844466,33706472,7,1,,
36845292,33706473,7,,,
36842993,33706474,5,,,
36842994,33706474,7,,,
36847871,33706475,1,,,
36844467,33706476,4,,,
36844468,33706476,4,,,
36842995,33706477,7,1,,
36844469,33706478,5,,,
36844470,33706478,7,,,
36844471,33706478,7,,,
36838810,33706481,4,,,
36841293,33706482,7,,,
36841294,33706482,7,,,
36841295,33706483,4,,,
36841296,33706483,4,,,
36838811,33706485,7,,,
36841297,33706486,4,,,
36844472,33706487,4,,,
36844473,33706487,7,,,
36844474,33706487,7,0,,
36843824,33706488,4,,,
36843825,33706488,7,,,
36843826,33706488,7,0,,
36841851,33706489,4,,,
36847872,33706490,7,,,
36847873,33706490,7,,,
36847874,33706490,7,,,
36847875,33706490,7,,,
36847876,33706490,7,,,
36847877,33706490,7,0,,
36847878,33706490,7,,,
36845293,33706491,4,,,
36845294,33706491,7,0,,
36845295,33706492,6,,,
36847879,33706493,7,,,
36838812,33706494,7,,,
36844475,33706495,1,,,
36844476,33706495,4,,,
36844477,33706495,7,,,
36844478,33706495,7,0,,
36844479,33706495,7,,,
36843827,33706496,1,,,
36843828,33706496,4,,,
36838813,33706497,4,,,
36838814,33706498,3,,,
36845296,33706500,4,,,
36845297,33706500,5,,1,
36845298,33706500,7,1,,
36845299,33706502,7,,,
36841298,33706503,5,,,
36841299,33706503,7,,,
36847880,33706504,4,,,
36862696,33717130,3,,,
36862697,33717130,7,,,
36863736,33717151,5,,0,
36863737,33717151,7,0,,
36863529,33717170,7,,,
36868788,33719941,7,,,
36878211,33722695,7,,,
36857038,33713274,7,,,
36857039,33713275,7,,,
36857040,33713275,7,,,
36857041,33713275,7,,,
36857042,33713275,7,,,
36862789,33713276,1,,,
36862790,33713277,7,,,
36858507,33713279,7,,,
36863490,33713280,4,,,
36862791,33713281,4,,,
36862792,33713281,7,,,
36862793,33713281,7,,,
36858508,33713283,4,,,
36857043,33713284,7,,,
36857044,33713284,7,,,
36857045,33713284,7,,,
36857046,33713284,7,,,
36857047,33713284,7,,,
36857048,33713284,7,,,
36863491,33713285,1,,,
36863492,33713285,4,,,
36858509,33713287,3,,,
36856293,33713288,4,,,
36858510,33713289,4,,,
36858511,33713289,7,,,
36858512,33713289,7,,,
36858513,33713289,7,0,,
36856294,33713290,7,1,,
36862794,33713292,6,,,
36857049,33713293,6,,,
36851013,33713294,1,,,
36851014,33713294,4,,,
36851015,33713294,4,,,
36857050,33713296,7,,,
36858514,33713298,6,,,
36856295,33713301,1,,,
36856296,33713301,4,,,
36853273,33713303,1,,,
36857051,33713304,5,,,
36857052,33713304,7,,,
36862795,33713305,7,,,
36862796,33713306,4,,,
36863493,33713307,7,,,
36851016,33713309,7,,,
36857053,33713310,7,,,
36851017,33713312,5,,,
36851018,33713312,7,,,
36858516,33713314,1,,,
36858517,33713314,4,,,
36853274,33713315,7,,,
36857054,33713317,6,,,
36857055,33713317,7,,,
36857056,33713318,7,,,
36857057,33713319,4,,,
36857058,33713319,4,,,
36853275,33713320,5,,,
36853276,33713320,7,,,
36856297,33713322,6,,,
36858518,33713323,7,,,
36853277,33713324,6,,,
36858519,33713325,4,,,
36838794,33705581,4,,,
36838795,33705581,4,,,
36847859,33705583,4,,,
36842971,33705586,4,,,
36837508,33705596,4,,,
36842972,33705598,7,,,
36842973,33705598,7,,,
36837509,33705599,7,,,
36847860,33705600,4,,,
36847861,33705600,7,,,
36847862,33705600,7,,,
36842974,33705601,4,,,
36842975,33705601,7,,,
36842976,33705601,7,,,
36841278,33705603,4,,,
36841834,33705604,4,,,
36841835,33705604,4,,,
36842977,33705605,4,,,
36837510,33705606,4,,,
36837511,33705606,4,,,
36838796,33705607,7,,,
36838797,33705607,7,,,
36838798,33705607,7,,,
36838799,33705607,7,,,
36842978,33705608,4,,,
36842979,33705608,7,,,
36841279,33705609,4,,,
36841280,33705609,7,,,
36844452,33705611,4,,,
36837512,33705612,4,,,
36842980,33705615,7,,,
36842981,33705616,5,,,
36842982,33705616,7,,,
36844453,33705618,5,,,
36844454,33705618,7,,,
36844455,33705618,7,,,
36844456,33705618,7,,,
36837513,33705619,4,,,
36841836,33705620,4,,,
36838800,33705621,4,,,
36841281,33705622,4,,,
36841282,33705622,7,,,
36837514,33705624,4,,,
36847863,33705625,4,,,
36847864,33705625,6,,,
36847865,33705625,6,,,
36847866,33705626,1,,,
36841837,33705627,5,,,
36841838,33705627,7,,,
36862619,33715120,7,,,
36862620,33715120,7,,,
36862621,33715120,7,,,
36862622,33715120,7,,,
36862829,33715123,4,,,
36864364,33715124,1,,,
36857093,33715125,4,,,
36857094,33715125,7,,,
36857095,33715125,7,,,
36864365,33715127,1,,,
36864366,33715127,4,,,
36859385,33715128,1,,,
36859386,33715128,4,,,
36862830,33715132,4,,,
36859387,33715133,1,,,
36859388,33715133,4,,,
36856334,33715134,7,,,
36862831,33715135,4,,,
36856335,33715136,4,,,
36864367,33715137,7,1,,
36864368,33715138,4,,,
36859389,33715139,7,,,
36862623,33715140,4,,,
36857096,33715142,4,,,
36857097,33715142,7,0,,
36859390,33715144,7,,,
36856336,33715146,7,,,
36856337,33715148,4,,,
36856338,33715148,7,,,
36862624,33715150,4,,,
36862832,33715151,7,,,
36853322,33715152,7,,,
36856339,33715153,4,,,
36862833,33715154,7,,,
36862625,33715155,1,,,
36862626,33715155,7,,,
36862627,33715155,7,,,
36862628,33715157,4,,,
36862834,33715158,7,,,
36857098,33715159,6,,,
36856340,33715160,7,,,
36864369,33715161,1,,,
36853323,33715162,4,,,
36853324,33715162,7,,,
36853325,33715162,7,0,,
36853326,33715162,7,,,
36859391,33715164,4,,,
36859392,33715164,7,0,,
36856341,33715166,4,,,
36864370,33715167,7,,,
36856342,33715171,4,,,
36853327,33715173,7,,,
36867798,33715173,7,,,
36867799,33715173,7,,,
36867800,33715173,7,,,
36862629,33715174,1,,,
36856343,33715176,7,,,
36856344,33715176,7,,,
36856345,33715176,7,,,
36856346,33715176,7,,,
36856347,33715176,7,,,
36859393,33715177,7,,,
