victim_id,offender_id,relationship_id,nibrs_victim_offender_id
40578638,42238675,3,12596420
40585256,42246168,5,13022865
40585257,42246168,5,13022864
40585258,42246168,5,13022863
42434936,44182704,19,12291403
42434937,44182705,1,13242677
42434943,44182711,15,11961686
42434945,44182712,21,11957444
42434951,44182717,12,11961685
42434959,44182723,11,11961684
42434960,44182723,17,11961683
42434968,44182733,21,11961682
42434970,44182737,3,11961681
42434973,44182741,1,12291402
42434973,44182742,24,13253209
42434973,44182744,24,13572109
42434973,44182743,24,13511232
42434976,44182749,1,13194226
42434977,44182750,24,13194225
42434985,44182757,24,13231651
42434985,44182758,24,13501008
42434983,44182757,24,13231653
42434983,44182758,24,13501010
42434986,44182757,24,13231650
42434986,44182758,24,13501007
42434984,44182757,24,13231652
42434984,44182758,24,13501009
42434989,44182761,21,13231649
42434991,44182763,1,13194224
42434992,44182764,24,13194223
42434992,44182765,24,13500489
42434994,44182766,16,13231648
42434995,44182767,16,13231647
42434999,44182776,17,13231646
42435904,44182779,16,13231645
42435910,44182785,17,13231644
42435912,44182786,19,13194221
42435914,44182788,17,13231643
42435917,44182790,24,13231642
42435920,44182793,3,13194220
42435922,44182795,24,13231641
42435926,44182799,20,13174413
42435927,44182800,24,13174412
42438132,44186287,24,12360559
42438132,44186289,24,13571872
42438132,44186288,24,13500502
42438133,44186290,18,12602382
42438135,44186292,24,13194888
42438140,44186298,1,13242648
42438141,44186299,24,13194887
42438152,44186312,1,13194886
42438202,44186364,1,13174372
42438207,44186369,18,13231624
42438206,44186369,24,13231625
42438209,44186371,1,13174371
42438211,44186373,24,13231623
42438212,44186373,1,13231622
42438213,44186374,12,13174370
42438214,44186374,1,13174369
42438220,44186381,14,13174368
42439118,44186387,14,13231621
42439134,44186404,7,13231620
42439135,44186405,9,13174367
42439144,44186416,3,13231619
42439145,44186417,1,13231618
42439149,44186421,3,13174366
42439150,44186422,18,13174365
42439150,44186423,21,13462040
42429610,44177253,14,13096221
42429611,44177254,3,13096220
