suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
1,62410344,0.3,1,4148311
5,62411529,12.1,1,4148312
5,62411542,50.2,1,4148313
5,62411550,129.18,1,4148314
5,62411564,3.9,1,4148315
5,62411576,3.2,1,4148316
1,62411581,1.5,1,4148317
5,62412678,0,,4148318
1,62412683,7,1,4148319
5,62412700,2.7,1,4148320
2,62412714,3,1,4148321
5,62422296,76.05,1,4148360
5,62422313,52.66,1,4148361
2,62422320,22,1,4148362
5,62422321,2.36,1,4148363
5,62412749,1.7,1,4148386
5,62412765,11.84,1,4148387
5,62412779,0.8,1,4148388
5,62412780,2,1,4148389
2,62412782,2.3,1,4148390
1,62412797,0,,4148391
5,62412798,2.1,1,4148392
5,62412807,8.15,1,4148393
5,62417529,0,,4148407
5,62417544,2,1,4148408
5,62422331,2.6,1,4148429
5,62422333,2.6,1,4148430
8,62423961,0,,4148438
5,62423971,0,,4148439
5,62423980,10.9,1,4148440
1,62423986,5.15,1,4148441
5,62424000,2.4,1,4148442
1,62424009,48,1,4148443
5,62412834,14.52,1,4148476
5,62412845,2,1,4148477
5,62412847,2.3,1,4148478
1,62412884,2.56,1,4148479
5,62414000,344,10,4148483
2,62414001,0.9,1,4148484
5,62417553,0.7,1,4148497
5,62417556,8.01,1,4148498
5,62417566,0,,4148499
1,62417567,5.5,1,4148500
2,62417568,0,,4148501
5,62417598,1.91,1,4148502
1,62418834,1.66,1,4148507
5,62410546,0,,4148556
8,62410562,28,9,4148557
1,62495469,1.8,1,4152787
5,62491927,47.67,1,4152852
5,62491939,0,,4152853
1,62500496,0,,4152882
4,62500518,3.18,1,4152883
5,62484768,0,,4152891
5,62484788,0,,4152892
2,62483722,2.99,1,4153020
5,62483734,0,,4153021
4,62486205,30,5,4153022
5,62543100,2,1,4161877
5,62543133,2.1,1,4161878
5,62543144,2.2,1,4161879
1,62557835,0,,4161949
5,62543161,249.76,1,4161973
1,62550470,18.8,1,4162010
5,62557902,2.37,1,4162029
5,62414040,13,1,4148563
5,62414063,4.9,1,4148564
8,62414078,0,,4148565
5,62421302,7.95,1,4148588
5,62421310,8.6,1,4148589
5,62421311,2.6,1,4148590
5,62411896,0,,4148624
5,62414118,6.1,1,4148631
5,62414119,0,,4148632
5,62414128,0,,4148633
2,62416551,2,1,4148648
8,62416556,0,,4148649
5,62421357,37.7,1,4148668
5,62421362,20.25,1,4148669
2,62421366,0.78,1,4148670
4,62411904,0.08,1,4148701
1,62416625,0,,4148718
5,62416633,9.85,1,4148719
5,62423506,52.65,1,4148816
5,62423510,0,,4148817
5,62423539,11.2,1,4148818
5,62499515,0,,4153073
5,62483807,7.1,1,4153082
4,62489992,0.2,1,4153119
5,62499585,0,,4153144
5,62499608,4,10,4153145
1,62483831,0,,4153161
5,62487577,37.38,1,4153169
16,62487588,2.5,9,4153170
5,62487598,15.44,1,4153171
5,62487611,10.2,1,4153172
2,62485155,4.8,1,4153242
2,62486432,1,1,4153248
5,62487637,2.4,1,4153249
16,62485228,1,9,4153319
5,62486461,0,,4153320
5,62486473,4.2,1,4153321
5,62486487,1.5,1,4153322
1,62486493,0.4,1,4153323
5,62486506,29.7,1,4153324
5,62545736,0.8,1,4162072
8,62557942,0,,4162117
1,62557972,1.83,1,4162118
5,62553145,4.5,1,4162171
17,62553168,0,,4162172
1,62553188,0,,4162173
5,62558012,1.8,1,4162190
5,62545853,0,,4162215
2,62545854,2.6,1,4162216
8,62547113,0,,4162224
1,62554500,2.1,1,4162251
5,62554503,1.2,1,4162252
5,62558115,20,1,4162258
1,62544724,3.47,1,4162279
8,62544739,1,9,4162280
5,62547146,0,,4162289
2,62549572,0.45,1,4162293
5,62549596,0,,4162294
5,62554531,2.77,1,4162319
4,62556987,0.6,1,4162322
5,62556995,0.6,1,4162323
8,62558159,0,,4162324
5,62423588,22.11,1,4148873
5,62410948,0,,4148890
4,62413307,0.2,1,4148896
5,62413314,4.58,1,4148897
5,62413318,0.96,1,4148898
17,62413320,1.09,1,4148899
5,62413367,0,,4148961
5,62413372,1.7,1,4148962
5,62422982,0.2,1,4149001
4,62422999,0,,4149002
1,62423007,0.2,1,4149003
5,62423016,14.9,1,4149004
5,62534083,1.1,1,4149036
5,62534084,0,,4149037
5,62524325,0,,4149072
5,62524345,2.5,1,4149073
5,62485321,0.6,1,4153379
1,62485333,0.8,1,4153380
1,62485342,7.22,1,4153381
5,62486555,5.74,1,4153382
17,62489079,0,,4153386
5,62489080,1.8,1,4153387
2,62496194,1.78,1,4153411
16,62496218,0,,4153412
17,62486622,3.99,1,4153442
2,62456154,0.46,1,4153451
5,62445136,10.61,1,4153476
5,62445144,1,1,4153477
16,62446399,7,9,4153482
5,62456174,2.11,1,4153536
8,62444034,1,9,4153566
5,62444036,77.29,1,4153567
5,62445219,0,,4153568
2,62446407,0.58,1,4153569
5,62446423,5.35,1,4153570
4,62457479,11.14,1,4153624
5,62457495,1.87,1,4153625
5,62457507,0,,4153626
1,62457522,0,,4153627
4,62544760,0.49,1,4162343
5,62544824,13.4,1,4162344
5,62552134,0,,4162367
5,62554612,0.6,1,4162371
4,62554631,13.1,1,4162372
5,62557038,36.1,1,4162376
5,62557051,99.7,1,4162377
1,62557070,0.4,1,4162378
1,62544834,0.2,1,4162402
5,62552198,1.9,1,4162430
2,62552199,0,,4162431
2,62552216,0.02,1,4162432
5,62557095,118.4,1,4162453
5,62557118,290.27,1,4162454
5,62544932,0,,4162479
5,62546161,1.6,1,4162480
1,62546188,74.49,1,4162481
5,62553585,0.7,1,4162494
5,62557200,0.63,1,4162514
8,62557233,0,,4162515
5,62544997,0,,4162535
5,62545001,60.4,1,4162536
5,62523158,1,1,4149129
5,62523192,19,1,4149130
1,62523193,4.1,1,4149131
1,62523194,406.23,1,4149132
17,62524381,0,,4149133
5,62524384,32.5,1,4149134
5,62533041,0,,4149172
5,62533047,417.3,1,4149173
1,62530575,3.4,1,4149244
