victim_id,offense_id
57411482,59448605
57411483,59450807
57412472,59457451
57412482,59448369
57412486,59452478
57412488,59452479
57412489,59457903
57412489,59457904
57412490,59457905
57412504,59457908
57412512,59444228
57412511,59444229
57412513,59444228
57413626,59444250
57413629,59455530
57413628,59455530
57413630,59455531
57413631,59458241
57413632,59453269
57413632,59453270
57413635,59457945
57412521,59452483
57412522,59444231
57412529,59455739
57412530,59447280
57412531,59458222
57412536,59455496
57412543,59457913
57412547,59458225
57412564,59455746
57412576,59457919
57413590,59455760
57413601,59444248
57413612,59457942
57413613,59457943
57413614,59457943
57279545,59306382
57279546,59307475
57287129,59314364
57287130,59316053
57287131,59331046
57287132,59313014
57287132,59313015
57287133,59322646
57287134,59331047
57287134,59331048
57287135,59331047
57287135,59331048
57289364,59314416
57289364,59314417
57289365,59314418
57289366,59318474
57289368,59324876
57289371,59314419
57289373,59331881
57288183,59328000
57288184,59313038
57288185,59331063
57288186,59317158
57288186,59317159
57288187,59331064
57288188,59313039
57288189,59316073
57288190,59316073
57288191,59316074
57288192,59331065
57288193,59317160
57288194,59318442
57288197,59313040
57288198,59316075
57288198,59316076
57288199,59316077
57288200,59313041
57288201,59318443
57288202,59331066
57288210,59316078
57288210,59316079
57288203,59316078
57288203,59316079
57288204,59316078
57288204,59316079
57288205,59316078
57288206,59316078
57288207,59316078
57288208,59316078
57288211,59316078
57288209,59316078
57288212,59328001
57288213,59328001
57288214,59318444
57288215,59318445
57288216,59313042
57288218,59314380
57288217,59314380
57288219,59314380
57288220,59314381
57288221,59316080
57288222,59331067
57288223,59331068
57288224,59328002
57288225,59313043
57288225,59313044
57288226,59318446
57288227,59317163
57288228,59328003
57288229,59328003
57288230,59328003
57288231,59317164
57288232,59314382
57288232,59314383
57288233,59314384
57288234,59314385
57288234,59314386
57288235,59328004
57288236,59316081
57288237,59316082
57288238,59313045
57288239,59317166
57288240,59317165
57288241,59313047
57288243,59313046
57288242,59313046
57288244,59313048
57288245,59313048
57288247,59317167
57288246,59317167
57288248,59328005
57288249,59314387
57288250,59314387
57288251,59331069
57288252,59314388
57288253,59314389
57288253,59314390
57288254,59317168
57288255,59317169
57288256,59318447
57288257,59313049
57288257,59313050
57288258,59316083
57288259,59316083
57288259,59316084
57288260,59328006
57288261,59316085
57288262,59317170
57288262,59317171
57288263,59331070
57288264,59331071
57288265,59331072
57288266,59317172
57288267,59317173
57288267,59317174
57288268,59317173
57288268,59317174
57288269,59313051
57288270,59316086
57297935,59329869
57322683,59365804
57322683,59365805
57279531,59307473
57279535,59322096
57279535,59322097
57279534,59322095
57288271,59316087
57288272,59328007
57288273,59316088
57307623,59342726
57300024,59329918
57285071,59313574
57285072,59316345
57285072,59316346
57285073,59317624
57285074,59313575
57285075,59312976
57285076,59312977
57285077,59313576
57285078,59317625
57285078,59317626
57285079,59322601
57285080,59312978
57285081,59313577
57285082,59322995
57285083,59322995
57285084,59322602
57285085,59316347
57285086,59313578
57285087,59322996
57285088,59312979
57285089,59316020
57285090,59313579
57285997,59312980
57285998,59312981
57285999,59312982
57286000,59322997
57286001,59316021
57286002,59322603
57286002,59322604
57286003,59316022
57286003,59316023
57286004,59322998
57286005,59312983
57286006,59322999
57286007,59316348
57286008,59313580
57286009,59323000
57286010,59316024
57286011,59322605
57286013,59312984
57286013,59312985
57286014,59322606
57286015,59323001
57286016,59323001
57286017,59322607
57286018,59316025
57286018,59316026
57286019,59313582
57286020,59316027
57286021,59316027
57286022,59323002
57286022,59323003
57286023,59323004
57286024,59323004
57286025,59323004
57286026,59322608
57286027,59322608
57286028,59312986
57286029,59322609
57286030,59323005
57286031,59322610
57286032,59316349
57286033,59316350
57286034,59317627
57283873,59322181
57283874,59309944
57283875,59309945
57283876,59309946
57283877,59317583
57283878,59321804
57283879,59321803
57283880,59321804
57283881,59321804
57283882,59322182
57283882,59322183
57283883,59322182
57283883,59322183
57283884,59321805
57283884,59321806
57283885,59316304
57283886,59309947
57283887,59321807
57283887,59321808
57283888,59322184
57283889,59315210
57283889,59315211
57283890,59315212
57283891,59312165
57283892,59312166
57283893,59321809
57283894,59321810
57283895,59312167
57283896,59312167
57283897,59321811
57283898,59309948
57283899,59321812
57283900,59322185
57283901,59315213
57283901,59315214
57283902,59312168
57283903,59312169
57283904,59316305
57283904,59316306
57283905,59322186
57283907,59312170
57283906,59312171
57283908,59315215
57330263,59365539
57287137,59316373
57287138,59316373
57287136,59316373
57287139,59313016
57287140,59318411
57287141,59313017
57287142,59313017
57287143,59313018
57287144,59316374
57287145,59318412
57287146,59318413
57287146,59318414
57287147,59313019
57287147,59313020
57287148,59322647
57287149,59316375
57287151,59331049
57287152,59313021
57287153,59316054
57287154,59316054
57287155,59313022
57287156,59322648
57287158,59318415
57287157,59318415
57287159,59313023
57287160,59314365
57287161,59322649
57287162,59316377
57287162,59316378
57287163,59322650
57287164,59322650
57287165,59331050
57287166,59331051
57287167,59316379
57287168,59314366
57287169,59314366
57287170,59318416
57286035,59322611
57286036,59312987
57286037,59322612
57286038,59317628
57286039,59312988
57286039,59312989
57286040,59312988
57286040,59312989
57286041,59323006
57286042,59313583
57286043,59317629
57286044,59316351
57286045,59316028
57286046,59323007
57286046,59323008
57286047,59323007
57286047,59323008
57286048,59313584
57286049,59316352
57286049,59316353
57286050,59317630
57286051,59322613
57286051,59322614
57286052,59316354
57286053,59322615
57286054,59313585
57286056,59313585
57286055,59313586
57286057,59322616
57286058,59322617
57286059,59316029
57286060,59322618
57286060,59322619
57286061,59317631
57286062,59317632
57286063,59312990
57286064,59323009
57286064,59323010
57286065,59317633
57286066,59322620
57286067,59322620
57286068,59312991
57280758,59321738
57280759,59305102
57280761,59313145
57280760,59313145
57280762,59306422
57280762,59306423
57280763,59315484
57280763,59315485
57280764,59315486
57280765,59315486
57280766,59313146
57293557,59332744
57296838,59325824
57296862,59333860
57279664,59306397
57279665,59307485
57279666,59313111
57279667,59313112
57279668,59307486
57279669,59322110
57279670,59313113
57279671,59307487
57279672,59306398
57279672,59306399
57279673,59322111
57279674,59307488
57279675,59322112
57279676,59309108
57279676,59309109
57279677,59305074
57279678,59321715
57279679,59321715
57279680,59322113
57279681,59306400
57279681,59306401
57279682,59306400
57279682,59306401
57279683,59321716
57279684,59307489
57279685,59321717
57279685,59321718
57280593,59321717
57280594,59307490
57280595,59306402
57280596,59305075
57280597,59322114
57280598,59313114
57280598,59313115
57280599,59313116
