arrestee_id,weapon_id,nibrs_arrestee_weapon_id
17220901,1,17161720
17218695,1,17160533
17226269,1,17278938
17217575,1,17159437
17217470,1,17158347
17215344,1,17158244
17215333,1,17158233
17214234,1,17158135
17215285,1,17157196
17215262,1,17157173
17214066,1,17154994
17213033,1,17153907
17211992,1,17153800
17210875,1,17151650
17227462,1,17281093
17227448,1,17281079
17227421,1,17281052
17227403,1,17280053
17227399,1,17280049
17226300,1,17279957
17225258,1,17279918
17231875,1,17283462
17229715,1,17283296
17224140,1,17279802
17226267,1,17278936
17224105,1,17278779
17224087,1,17278761
17225126,1,17277809
17218662,1,17159515
17218655,1,17159509
17217526,1,17159388
17216453,1,17159327
17216452,1,17159326
17215266,1,17157177
17214218,1,17157129
17214116,1,17156034
17214084,1,17155012
17214070,1,17154998
17212996,1,17153871
17211993,1,17153801
17212962,1,17152853
17211861,1,17151702
17210873,1,17151648
17233011,1,17266732
17229704,1,17283285
17228570,1,17282174
17227510,1,17282120
17227509,1,17282119
17227442,1,17281073
17226330,1,17279987
17225216,1,17279876
17223133,1,17279798
17224034,1,17277720
17223086,1,17279752
17218686,1,17160524
17235226,1,17350055
17228577,1,17282181
17228508,1,17281133
17220890,1,17161709
17220886,1,17161705
17220883,1,17161702
17220882,1,17161701
17220881,1,17161700
17220880,1,17161699
17220877,1,17161696
17218690,1,17160528
17218687,1,17160525
17220834,1,17160667
17218585,1,17158455
17211831,7,17150686
17221931,1,17156488
17231920,1,17266644
17234240,1,17269916
17234166,1,17268853
17230853,1,17267626
17231895,1,17266619
17217542,7,17159404
17216483,1,17159357
17218581,1,17158451
17222011,1,17157556
17211978,1,17153786
17235374,1,17271039
17235373,1,17271038
17236320,1,17269003
17229701,1,17283282
17219714,1,17159563
17219713,1,17159562
17219712,1,17159561
17211957,1,17152782
17231880,1,17283467
17227515,1,17282125
17228495,1,17281120
17227466,1,17281097
17226367,1,17281005
17227384,1,17280034
17226275,1,17278943
17226251,1,17278920
17223051,1,17278729
17223124,1,17279790
17234158,1,17268845
17223097,1,17279763
17223095,1,17279761
17231950,1,17267660
17223988,1,17276686
17219876,1,17162679
17219875,1,17162678
17220913,1,17161732
17220912,1,17161731
17234187,1,17268874
17234186,1,17268873
17233018,1,17266738
17232995,1,17266716
17234188,1,17268875
17230886,1,17267658
17227380,1,17280030
17226312,1,17279969
17224163,1,17279825
17226268,1,17278937
17224098,1,17278772
17224065,1,17277751
17224062,1,17277748
17224061,1,17277747
17235309,1,17269982
17235308,1,17269981
17235307,1,17269980
17234243,1,17269919
17234242,1,17269918
17234241,1,17269917
17234233,1,17269909
17234232,1,17269908
17236310,1,17268993
17235239,1,17268923
17234185,1,17268872
17233124,1,17268817
17233096,22,17268789
17220984,1,17162788
17213021,1,17153896
17231851,1,17283438
17227532,1,17282142
17227516,1,17282126
17229600,1,17281221
17228528,1,17281153
17235346,1,17270019
17220920,1,17161739
17217585,1,17159446
17226270,1,17350480
17221976,1,17156533
17225176,1,17278848
17219723,1,17159572
17219694,1,17159543
17219690,1,17159539
17218645,1,17159499
17218639,1,17159493
17218623,1,17159477
17217580,1,17159442
17217574,1,17159436
17217561,1,17159423
17217554,1,17159416
17217550,1,17159412
17217545,1,17159407
17217524,1,17159386
17216476,1,17159350
17216475,1,17159349
17216448,1,17159322
17216447,1,17159321
17217501,1,17158378
17217479,1,17158356
17217475,1,17158352
17217462,1,17158339
17216436,1,17158325
17216431,1,17158320
17216430,1,17158319
17216416,1,17158305
17216415,1,17158304
17216404,1,17158293
17216382,1,17158271
17215355,1,17158255
17215354,1,17158254
17215350,1,17158250
17215329,1,17158229
17215325,1,17158225
17215316,1,17158216
17215309,1,17158209
17215301,1,17158201
17214238,1,17158139
17222057,1,17157602
17222039,1,17157584
17222037,1,17157582
17222019,1,17157564
17216353,1,17157253
17215297,1,17157207
17215296,1,17157206
17215293,1,17157204
17215257,1,17157168
17220990,1,17162794
17220971,1,17162775
17220969,1,17162773
17220968,1,17162772
17220967,1,17162771
17220955,1,17162759
17220954,1,17162758
17220951,1,17162755
17219868,1,17162671
17219862,1,17161680
17219858,1,17161676
17219825,1,17161643
17219818,1,17161636
17218731,1,17161554
17220849,1,17160682
17220844,1,17160677
17220842,1,17160675
17220812,1,17160645
17219754,1,17160587
17219746,1,17160579
17218706,1,17160544
17218670,1,17160508
17218666,1,17160504
17217608,1,17160454
17217596,1,17160442
17217594,1,17160440
17234087,1,17369900
17218737,1,17161560
17235203,1,17267900
17234095,1,17267796
17233042,1,17267749
17233037,1,17267744
17230864,1,17267637
17230863,1,17267636
17230862,1,17267635
17232997,1,17266718
17231912,1,17266636
17219857,1,17161675
17220864,1,17160697
17220861,1,17160694
17218691,1,17160529
17218664,1,17160502
17219732,1,17159580
17218638,1,17159492
17218602,1,17159456
17212967,1,17152858
17212938,1,17152829
17221927,1,17152333
17211892,1,17151733
17211883,1,17151724
17211877,1,17151718
17210878,1,17151653
17211835,1,17150690
17215245,1,17157156
17214225,1,17157136
17214224,1,17157135
17214219,1,17157130
17214214,1,17157125
17214208,1,17157119
17214207,3,17157118
17214203,1,17157114
17214169,1,17157080
17221955,1,17156512
17215231,1,17156149
17215225,1,17156144
17215224,1,17156143
17215221,1,17156140
17215219,1,17156138
17215215,1,17156134
17215214,1,17156133
17215212,1,17156131
17215211,1,17156130
17215209,1,17156128
17214164,1,17156082
17214163,1,17156081
17214156,1,17156074
17214148,1,17156066
17214135,1,17156053
17214133,1,17156051
17214121,1,17156039
17213110,1,17155960
17213104,1,17155954
17214095,1,17155023
17214094,3,17155022
17214089,1,17155017
17214086,1,17155014
17214078,1,17155006
17213101,1,17154960
17213086,1,17154946
17213082,1,17154942
17213065,1,17154925
17213052,1,17154912
17213045,1,17154905
17213036,1,17153910
17213018,1,17153893
17213010,1,17153885
17213007,1,17153882
17213001,1,17153876
17212987,1,17153862
17212002,1,17153810
17211977,1,17153785
17211976,1,17153784
17211972,1,17153780
17222080,1,17153336
17218735,1,17161558
17217567,1,17159429
17218592,1,17158461
17217521,1,17158397
17216381,1,17158270
17215362,1,17158262
17221999,1,17157544
17217450,1,17157339
17215247,1,17157158
17215182,1,17156101
17214098,1,17155026
17213089,1,17154949
17213085,1,17154945
17212988,1,17153863
17211954,1,17152779
17211948,1,17152773
17211906,1,17152731
17218567,1,17158437
17217490,1,17158367
17217477,1,17158354
17216438,1,17158327
17215337,1,17158237
17217453,1,17157341
17216349,1,17157249
17221967,1,17156524
17215205,1,17156124
17215183,1,17156102
17214112,1,17156030
17213113,1,17155963
17213111,1,17155961
17213073,1,17154933
17212945,1,17152836
17211862,1,17151703
17230745,1,17282348
17230742,1,17282345
17230741,1,17282344
17230736,1,17282339
17229658,1,17282259
17229640,1,17282241
17229634,1,17282235
17228573,1,17282177
17228565,1,17282169
17227526,1,17282136
17228520,1,17281145
17231862,1,17283449
17231861,1,17283448
17231860,1,17283447
17231859,1,17283446
17231846,1,17283433
17231845,1,17283432
17231844,1,17283431
17231843,1,17283430
17231842,1,17283429
17231830,1,17283417
17230799,1,17283383
17230787,1,17283371
17230786,1,17283370
17230778,1,17283362
17230777,1,17283361
17230762,1,17283346
17229706,1,17283287
17229705,1,17283286
17222093,1,17153349
17211968,1,17152792
17211947,1,17152772
17211942,1,17152767
17211888,1,17151729
17220863,1,17160696
17220858,1,17160691
17220839,1,17160672
17219753,1,17160586
17219745,1,17160578
17218702,1,17160540
17219716,1,17159565
17218640,1,17159494
17216383,1,17158272
17215361,1,17158261
17215324,1,17158224
17216369,1,17157269
17216368,1,17157268
17216367,1,17157267
17216338,1,17157238
17215292,1,17157203
17221994,1,17156550
17221945,1,17156502
17227486,1,17282096
17234142,1,17267843
17228592,1,17282196
17214065,1,17154993
17213083,1,17154943
17213074,1,17154934
17213066,1,17154926
17235200,1,17267897
17235199,1,17267896
17234107,1,17267808
17234094,1,17267795
17234092,1,17267793
17232001,1,17267711
17231973,1,17267683
17231953,1,17267663
17230874,1,17267647
17230859,1,17267632
17230845,1,17267618
17230844,1,17267617
17230826,1,17267599
17229780,1,17267550
17234248,1,17269924
17234238,1,17269914
17235271,1,17268955
17234215,1,17268902
17234191,1,17268878
17233105,1,17268798
17233098,1,17268791
17215208,1,17156127
17215197,1,17156116
17214152,1,17156070
17235310,1,17269983
17215222,1,17156141
17218642,1,17159496
17216461,1,17159335
17216409,1,17158298
17228585,1,17282189
17224026,1,17277712
17235344,1,17270017
17230828,1,17267601
17226247,1,17278916
17222091,1,17153347
17214113,1,17156031
17211887,1,17151728
17225194,1,17278866
17224129,1,17278803
17220918,1,17161737
17220875,1,17161694
17219864,1,17161681
17219845,1,17161663
17229613,1,17281234
17228512,1,17281137
17227445,1,17281076
17227444,1,17281075
17227426,1,17281057
17226380,1,17281018
17226354,1,17280992
17225284,1,17280925
17223142,1,17280790
17220976,1,17162780
17220952,1,17162756
17227415,1,17280064
17227365,1,17280015
17226303,1,17279960
17226302,1,17279959
17226295,1,17279952
17226288,1,17279945
17226283,1,17279940
17226277,1,17279934
17225249,1,17279909
17225245,1,17279905
17225209,1,17279869
17224145,1,17279807
17224144,1,17279806
17223118,1,17279784
17223077,1,17279743
17221928,1,17152334
17211891,1,17151732
17211890,1,17151731
17211866,1,17151707
17211860,1,17151701
17211841,1,17151682
17218743,1,17161566
17217476,1,17158353
17213121,1,17155971
17222107,1,17153363
17222089,1,17153345
17212949,1,17152840
17212948,1,17152839
17233008,1,17266729
17232990,1,17266711
17232988,1,17266709
17232977,1,17266698
17211998,1,17153806
17229629,1,17282230
17227359,1,17280009
17227358,1,17280008
17224082,1,17278756
17234122,1,17267823
17233021,1,17267728
17231980,1,17267690
17231949,1,17266672
17235316,1,17269989
17235314,1,17269987
17233022,1,17267729
17227531,1,17282141
17229605,1,17281226
17226382,1,17281020
17223104,1,17279770
17226261,1,17278930
17225205,1,17278876
17224106,1,17278780
17225122,1,17277805
17225106,1,17277789
17231835,1,17283422
17228638,1,17283222
17228637,1,17283221
17230801,1,17283385
17229736,1,17283317
17227433,1,17281064
