property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
66373375,22,0,,66310096
66373376,25,5,,66310097
66373377,63,0,,66310098
66377649,10,0,,66321181
66378679,29,1000,,66317654
66378680,36,80,,66317655
66378681,63,1020,,66317656
66380563,3,480,,66444918
66380505,9,0,,66443719
66380506,20,100,,66443720
66380507,63,0,,66443721
66382555,3,19,,66457144
66377616,7,800,,66320014
66377621,17,1900,,66320019
66382557,9,0,,66457146
66382558,20,3339,,66457147
66385174,38,600,,66441548
66377624,63,0,,66320022
66380576,63,1,,66444931
66380577,20,292,,66444932
66382421,26,100,,66455877
66382422,38,100,,66455878
66369426,68,,,66303816
66367365,30,200,,66306142
66369427,34,200,,66303817
66371491,29,200,,66318396
66371492,13,300,,66318397
66371316,3,1000,,66315938
66367366,37,10,,66306143
66363253,16,25,,66317851
66363254,63,488,,66317852
66369428,8,16,,66303818
66363255,29,100,,66317853
66363256,6,125,,66317854
66363257,7,1079,,66317855
66363258,17,600,,66317856
66363259,23,150,,66317857
66363260,26,220,,66317858
66363261,27,35,,66317859
66363262,38,300,,66317860
66363263,8,41,,66317861
66371278,22,0,2011-01-15 00:00:00,66314773
66371279,20,180,,66314774
66371280,22,0,,66314775
66369429,16,100,,66303819
66369430,3,300,,66303820
66369431,7,1500,,66303821
66369432,63,400,,66303822
66363264,16,20,,66317862
66369433,3,1000,2011-01-20 00:00:00,66303823
66369434,3,1000,,66303824
66369435,19,550,2011-01-15 00:00:00,66303825
66369436,19,550,,66303826
66363265,26,118,,66317863
66363266,68,,,66317864
66365607,29,100,,66316798
66369437,63,186,2011-01-19 00:00:00,66303827
66369438,63,186,,66303828
66371493,10,0,,66318398
66371317,3,1,,66315939
66371318,29,100,,66315940
66363267,63,15,,66317865
66365608,10,0,,66316799
66371319,38,200,,66315941
66371320,3,1000,2011-01-16 00:00:00,66315942
66371321,3,1000,,66315943
66371281,29,100,,66314776
66371282,7,225,,66314777
66371283,17,325,,66314778
66371284,26,1986,,66314779
66366411,2,16,,66310827
66363268,3,1150,,66317866
66365609,9,0,,66316800
66365610,20,580,,66316801
66371322,8,66,,66315944
66366412,3,1000,,66310828
66371285,68,,,66314780
66363269,7,60,,66317867
66363270,17,3600,,66317868
66363271,20,30,,66317869
66363272,38,2,,66317870
66366413,25,10,2011-01-16 00:00:00,66310829
66366414,25,11,,66310830
66363273,63,50,,66317871
66366415,9,0,,66310831
66366416,25,30,,66310832
66366417,63,1,,66310833
66365611,3,75,,66316802
66365612,20,40,,66316803
66365613,63,120,,66316804
66367367,68,,,66306144
66369439,23,140,,66303829
66371323,29,40,,66315945
66369440,20,25,,66303830
66369441,23,54,,66303831
66371286,30,100,,66314781
66371287,7,1520,,66314782
66371288,20,317,,66314783
66363274,19,50,,66317872
66369442,20,20,,66303832
66369443,25,16,,66303833
66369444,63,0,,66303834
69763248,3,15000,2012-06-19 00:00:00,69717053
69763249,3,15000,,69717054
69764171,31,1427,,69712261
69764172,51,0,,69712262
69764173,51,0,,69712263
69772504,51,0,,69714035
69765104,3,2000,,69707525
66382363,19,107,2011-01-31 00:00:00,66454679
66382364,19,107,,66454680
66382533,26,350,,66457122
66382534,30,500,,66457123
66376645,63,1,,66304341
66380544,23,1,,66444899
66366505,7,1710,,66312054
66367469,17,50,,66308490
66367470,20,200,,66308491
66367471,26,1000,,66308492
66372348,31,400,,66312461
66372349,6,400,2011-01-31 00:00:00,66312462
66372350,6,400,,66312463
66369520,23,50,,66305050
66382365,68,,,66454681
66382366,31,400,,66454682
66382535,68,,,66457124
66382536,63,50,,66457125
66377609,63,1000,,66320007
66382367,7,500,,66454683
66377610,10,0,,66320008
66380545,19,79,2011-01-31 00:00:00,66444900
66380546,19,79,,66444901
66380547,3,3500,,66444902
66382368,63,5000,,66454684
66382369,63,700,,66454685
66377611,20,895,,66320009
66372351,29,400,,66312464
66372352,16,300,,66312465
66376646,63,150,,66304342
66376647,16,300,,66304343
66382370,3,7000,2011-02-01 00:00:00,66454686
66382371,3,7000,,66454687
66372353,10,72,,66312466
66367472,20,676,,66308493
66380481,9,0,,66443695
66380482,20,158,,66443696
66382373,7,230,,66454689
66382374,20,6,,66454690
66382375,23,429,,66454691
66382376,26,1078,,66454692
66382377,63,50,,66454693
66380548,36,1500,,66444903
66372359,20,674,,66312472
66372366,29,200,,66313598
66372367,26,800,,66313599
66372368,36,500,,66313600
69763244,16,1500,,69717049
69763246,21,15000,,69717051
69750195,68,,,69758243
66373369,17,2650,,66310090
66385193,63,0,,66441567
66377641,26,570,,66321173
66377642,29,10,,66321174
66377643,63,100,,66321175
66380484,63,7400,,66443698
66380486,20,50,,66443700
66378601,17,2000,,66316436
66372308,9,0,,66312421
66372309,20,272,,66312422
66372310,22,0,,66312423
66372311,25,7,,66312424
66372312,63,135,,66312425
66371366,13,50,,66315988
66371367,38,450,2011-01-28 00:00:00,66315989
66371368,38,450,,66315990
66379554,3,500,,66320124
66369502,68,,,66303892
66371369,29,300,,66315991
66371370,20,100,,66315992
66376611,3,100,,66304307
66376612,17,3,2011-02-04 00:00:00,66304308
66376613,26,250,2011-02-04 00:00:00,66304309
66376614,38,1360,2011-02-04 00:00:00,66304310
66376615,63,185,2011-02-04 00:00:00,66304311
66376616,17,3,,66304312
66376617,26,400,,66304313
66376618,38,2560,,66304314
66376619,63,185,,66304315
66372313,68,,,66312426
66372314,3,200,,66312427
66372315,20,6,,66312428
66372316,21,1,,66312429
66372317,20,377,,66312430
66371371,21,1,,66315993
66371372,20,476,,66315994
66372318,21,1,,66312431
66372319,20,476,,66312432
66376620,21,1,,66304316
66376621,20,415,,66304317
66382513,29,100,,66457102
66372320,3,3500,,66312433
66382514,3,8000,2011-01-29 00:00:00,66457103
66382515,16,1,2011-02-04 00:00:00,66457104
66382516,3,8000,,66457105
66382517,16,1,,66457106
66372321,8,47,,66312434
66376622,8,40,,66304318
66366491,33,30,,66312040
66371373,8,6,,66315995
66363320,22,0,,66319057
66363321,23,180,,66319058
66363322,25,60,,66319059
66363323,63,0,,66319060
66363324,10,0,,66319061
66363325,20,17,,66319062
66376623,38,200,,66304319
66372322,50,25,,66312435
66366492,20,36,,66312041
66363326,68,,,66319063
66371374,17,12600,,66315996
66376624,7,300,,66304320
66376625,16,180,,66304321
66376626,26,500,,66304322
66376627,63,30,,66304323
66376628,10,0,,66304324
66376629,20,1786,,66304325
66376630,61,1,,66304326
66371375,3,160,,66315997
66369503,68,,,66305033
66371376,26,20,,66315998
66371377,29,5,,66315999
66366493,19,123,2011-01-28 00:00:00,66312042
66366494,19,123,,66312043
66371378,3,1000,,66316000
66382518,30,1,,66457107
66382519,9,0,,66457108
66382520,20,300,,66457109
66376631,23,500,,66304327
66369504,16,1,2011-01-28 00:00:00,66305034
66369505,26,396,2011-01-28 00:00:00,66305035
66369506,16,1,,66305036
66369507,26,396,,66305037
66379555,10,0,,66320125
66379556,23,1,,66320126
66372323,3,4000,2011-01-29 00:00:00,66312436
66372324,3,4000,,66312437
66372325,9,0,,66312438
66372326,20,3,,66312439
66372327,25,20,,66312440
66372328,63,100,,66312441
66369508,20,52,,66305038
66369509,26,200,,66305039
66369510,27,35,,66305040
66369511,63,170,,66305041
66379557,9,0,,66320127
66379558,20,40,,66320128
66379559,25,10,,66320129
66379560,63,0,,66320130
66372329,10,1,,66312442
66372330,25,20,,66312443
66369512,3,130,,66305042
66372331,10,10,,66312444
66372332,63,0,,66312445
66376632,8,15,,66304328
66382521,50,54,,66457110
66371379,63,30,2011-01-29 00:00:00,66316001
66371380,63,30,,66316002
66369513,30,50,,66305043
66369514,63,1300,,66305044
66382522,6,2200,,66457111
66382523,16,2930,,66457112
66382524,17,1500,,66457113
66382525,26,1300,,66457114
66363327,29,50,,66319064
66363328,16,1000,,66319065
66366495,7,845,,66312044
66363329,19,98,2011-01-29 00:00:00,66319066
66363330,19,98,,66319067
69749213,10,0,,69761818
69749214,11,3,,69761819
69771462,29,500,,69715207
69765078,20,300,,69707499
69764135,29,100,,69711096
69765082,68,,,69707503
69758745,63,0,,69758807
69749226,7,350,,69761831
69765083,68,,,69707504
69765084,63,100,,69707505
69750222,19,13,2012-01-13 00:00:00,69758270
69750223,19,13,,69758271
69763232,23,200,,69717037
69749227,8,41,,69761832
69763233,8,34,,69717038
69771489,19,80,,69716378
69764146,63,700,,69711107
69750229,29,100,,69758277
69750230,16,1000,,69759422
69750231,36,2000,,69759423
69750232,63,350,,69759424
69764147,20,400,,69711108
69764148,22,0,,69711109
69764149,63,30,,69712239
69750233,10,0,,69759425
69763240,21,529,,69717045
69763241,22,0,,69717046
66383675,63,1500,,66455989
66369494,26,1000,,66303884
66376609,3,3500,,66304305
66382511,20,50,,66457100
66366487,20,498,,66312036
66366488,63,0,,66312037
66372303,20,38,,66312416
66371364,20,1400,,66315986
66366489,63,298,,66312038
66371365,10,0,,66315987
66372304,7,20,,66312417
66372305,16,170,,66312418
66379546,63,50,,66320116
66379547,6,2645,,66320117
66379548,7,300,,66320118
66379549,17,5167,,66320119
66379550,19,100,,66320120
66379551,20,85,,66320121
66379552,25,1261,,66320122
66379553,63,351,,66320123
66382512,20,20,,66457101
66369495,7,198,2011-01-27 00:00:00,66303885
66369496,7,209,,66303886
66372306,63,50,,66312419
66376610,68,,,66304306
66363318,3,1000,2011-02-06 00:00:00,66319055
66363319,3,1000,,66319056
66369497,16,30,,66303887
66369498,63,300,,66303888
66369499,7,60,2011-01-27 00:00:00,66303889
66369500,6,80,,66303890
66369501,7,420,,66303891
66372307,63,1,,66312420
66366490,29,100,,66312039
66372333,8,15,,66312446
66366496,29,10,,66312045
66376633,7,200,,66304329
66363331,3,650,,66319068
66363332,38,300,,66319069
66363333,16,70,,66319070
66363334,63,20,,66319071
66369515,29,200,,66305045
66366497,23,250,,66312046
66382526,20,250,,66457115
66371381,20,3,,66316003
66369516,29,200,,66305046
66372334,8,30,,66312447
66384444,9,0,,66448799
66381659,63,0,,66442578
66379706,20,5000,,66305654
66381612,20,6,,66442531
66381613,25,10,,66442532
66381614,63,40,,66442533
66409677,20,170,,66404159
66425577,22,0,,66424576
66425578,20,5300,,66424577
66366378,29,100,,66309663
66366361,20,15,,66309646
66371464,7,400,,66318369
66371465,16,30,,66318370
66371466,26,600,,66318371
66370325,20,3345,,66317141
66362440,10,0,,66304613
66366379,3,1000,2011-01-09 00:00:00,66309664
66366380,3,1000,,66309665
66362441,3,500,,66304614
66371467,3,400,,66318372
66370326,7,400,,66317142
66370327,26,3600,,66317143
66370328,29,100,,66318289
66370329,26,200,,66318290
66363222,8,26,,66316680
66366381,25,30,2011-01-08 00:00:00,66309666
66366382,25,30,,66309667
66368415,38,650,,66305007
66362442,3,80,,66304615
66367333,25,20,,66306110
66367334,63,0,,66306111
66366362,9,0,,66309647
66366363,20,200,,66309648
66371468,16,20,,66318373
66362443,19,370,2011-01-08 00:00:00,66304616
66362444,19,370,,66304617
66363223,3,700,,66316681
66362445,3,10000,2011-01-08 00:00:00,66304618
66362446,3,10000,,66304619
66362447,20,14,,66304620
66362448,25,90,,66304621
66362449,63,212,,66304622
66365558,6,500,,66315611
66365559,7,900,,66315612
66365560,26,900,,66315613
66367335,3,200,,66306112
66370473,3,1000,,66319575
66365388,68,,,66313193
66368382,68,,,66304974
66362223,3,21,,66320227
66362395,63,150,,66303429
66370477,3,100,,66320715
66370478,10,0,,66320716
66392351,9,0,,66439549
66392352,20,9732,,66439550
66371469,3,200,,66318374
66368416,16,250,,66305008
66362450,3,200,,66304623
66362451,10,0,,66304624
66365561,23,7200,,66315614
66365562,7,1000,,66315615
66365563,20,195,,66315616
66368417,29,50,,66305009
66368418,26,2950,,66305010
66366383,8,20,,66309668
66365564,63,0,,66315617
66363224,3,1000,2011-01-10 00:00:00,66316682
66363225,3,1000,,66316683
66363226,38,100,,66316684
66371470,20,10,,66318375
66367336,30,100,,66306113
66367337,17,50,,66306114
66367338,51,0,,66306115
66371471,3,2000,2011-01-11 00:00:00,66318376
66371472,3,2000,,66318377
66362452,29,200,,66304625
66370330,37,500,,66318291
66370331,20,20,,66318292
66362453,8,15,2011-01-09 00:00:00,66304626
66362454,8,15,,66304627
66368419,16,35,,66305011
66368420,7,750,,66305012
66368421,17,180,,66305013
66368422,26,300,,66305014
66370332,20,300,,66318293
66363227,3,600,,66316685
66363228,29,200,,66316686
66368423,3,2500,,66305015
66370333,63,40,,66318294
66365565,10,0,,66315618
66367339,3,1000,,66306116
66371473,10,200,,66318378
66362455,68,,,66304628
66370334,63,200,,66318295
66370335,3,300,,66318296
66370336,33,2500,,66318297
66368424,68,,,66305016
66368425,29,200,,66305017
66362456,38,170,,66304629
66367340,3,1000,2011-01-12 00:00:00,66306117
66367341,3,1000,,66306118
66371256,10,0,,66314751
66371257,7,90,,66314752
66371258,19,410,,66314753
66370337,16,100,,66318298
66368426,7,365,,66305018
66368427,20,600,,66305019
66368428,26,450,,66305020
66368429,63,200,,66305021
66363232,27,45,,66317830
66363233,36,400,,66317831
66363234,38,1050,,66317832
66363235,63,220,,66317833
66363229,3,500,,66316687
66363230,63,70,,66316688
66363231,20,31,,66316689
66371474,23,549,2011-01-10 00:00:00,66318379
66371475,23,549,,66318380
66370338,36,82,,66318299
66368430,8,32,,66305022
66366384,16,5,,66309669
66365566,68,,,66315619
66371259,68,,,66314754
66366385,3,3000,2011-01-11 00:00:00,66309670
66366386,3,3000,,66309671
66368431,8,58,,66305023
66363236,16,2000,,66317834
66371260,3,100,,66314755
66365567,3,100,,66315620
