victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,agency_data_year,ff_line_number,age_range_low_num,age_range_high_num
84184997,77319586,1,4,,,,5,52,M,1,2,R,,,,
84184998,77319587,1,4,,,,5,15,F,2,2,R,,,,
84185012,77319597,1,1,,,,,,,,,,,,,
84184019,77319514,1,4,,,,5,28,F,2,3,N,,,,
84184025,77319520,1,4,,,,5,60,F,0,3,U,,,,
84184026,77319520,2,4,,,,5,20,F,1,2,R,,,,
84184934,77319535,1,4,,,,5,40,F,1,2,R,,,,
84184983,77319576,1,8,,,,,,,,,,,,,
84132500,77280528,1,4,,,,5,36,F,2,2,R,,,,
84117710,77270025,1,4,,,,5,69,M,1,2,N,,,,
84148614,77293512,1,1,,,,,,,,,,,,,
84185018,77320297,1,8,,,,,,,,,,,,,
84185028,77320306,1,4,,,,5,55,F,0,1,R,,,,
84185029,77320307,1,4,,,,5,17,M,2,2,R,,,,
84185030,77320308,1,1,,,,,,,,,,,,,
84185033,77320311,1,4,,,,5,25,F,1,2,R,,,,
84185034,77320312,1,4,,,,5,18,M,2,2,R,,,,
84185042,77320318,1,1,,,,,,,,,,,,,
84185047,77320323,1,4,,,,5,32,F,1,2,R,,,,
84185052,77320328,1,4,,,,5,28,M,1,2,R,,,,
84185053,77320328,2,4,,,,5,26,F,1,2,R,,,,
84185056,77320331,1,4,,,,5,38,F,2,2,R,,,,
84185057,77320332,1,1,,,,,,,,,,,,,
84185059,77320334,1,4,,,,5,41,F,1,2,R,,,,
84185073,77320347,1,8,,,,,,,,,,,,,
84185074,77320348,1,4,,,,5,34,F,2,2,R,,,,
84186073,77320441,1,8,,,,,,,,,,,,,
84178574,77315180,1,4,,,,5,38,F,1,2,R,,,,
84185087,77320358,1,4,,,,5,54,M,1,2,R,,,,
84117642,77269968,1,1,,,,,,,,,,,,,
84129341,77278678,1,4,,,,5,50,F,1,2,R,,,,
84146620,77291782,1,4,,,,5,43,M,2,2,R,,,,
84186120,77321192,1,4,,,,5,18,F,1,2,R,,,,
84186124,77321194,1,4,,,,5,31,M,1,1,R,,,,
84118669,77270800,1,4,,,,5,38,F,1,2,R,,,,
84121924,77273447,1,4,,,,5,68,M,1,1,R,,,,
84182921,77318649,1,4,,,,5,33,M,4,2,R,,,,
84097419,77254366,1,4,,,,5,21,F,2,2,R,,,,
84108362,77262979,1,1,,,,,,,,,,,,,
84087807,77247474,1,1,,,,,,,,,,,,,
84101879,77257914,1,4,,,,5,28,F,2,2,R,,,,
84087828,77247490,1,4,,,,5,55,M,1,2,R,,,,
84087699,77247382,1,4,,,,5,18,F,1,2,R,,,,
84087713,77247394,1,4,,,,5,61,F,1,2,R,,,,
84087716,77247397,1,4,,,,5,87,M,1,2,R,,,,
84087721,77247401,1,4,,,,4,,F,1,2,R,,,,
84087744,77247422,1,4,,,,5,30,M,1,2,R,,,,
84087746,77247424,1,4,,,,5,37,M,2,2,R,,,,
84087749,77247426,1,4,,,,5,33,F,2,2,R,,,,
84087752,77247429,1,8,,,,,,,,,,,,,
84087760,77247432,1,1,,,,,,,,,,,,,
