weapon_id,offense_id,nibrs_weapon_id
20,83550284,16729137
12,83535096,16728608
18,83550287,16729140
12,83536331,16728974
3,83528644,16736328
12,83540631,16728657
21,83538199,16727791
12,83536339,16728976
12,83536767,16726977
12,83429581,16715237
12,83440058,16716758
20,83440029,16716505
12,83431682,16714705
12,83440030,16716506
20,83435010,16714762
12,83426211,16715174
12,83429547,16714963
12,83429548,16714964
12,83440032,16716507
9,83426212,16715175
9,83427382,16715212
12,83433685,16718271
12,83426214,16715176
12,83427385,16715213
2,83429552,16714965
12,83431139,16716895
10,83431140,16716896
12,83425370,16725965
12,83431143,16716897
12,83425372,16725967
12,83432830,16714743
22,83432832,16714744
12,83430833,16715777
12,83430834,16715778
12,83427370,16715208
9,83440014,16716501
12,83433662,16718012
22,83431662,16714700
3,83426196,16714925
12,83429533,16714958
21,83433663,16718013
12,83440015,16716502
12,83431667,16714701
9,83426198,16714926
12,83440016,16716503
20,83427374,16715209
9,83426199,16714927
12,83431671,16714702
18,83427377,16715210
20,83427378,16715211
12,83429540,16714959
12,83429541,16714960
12,83440023,16716504
12,83429544,16714961
20,83429545,16714962
12,83444409,16720367
11,83423473,16725421
12,83432807,16714737
12,83432808,16714738
22,83430822,16715772
12,83431124,16716889
12,83430823,16715773
12,83431125,16716890
12,83425357,16725704
12,83423478,16725422
12,83430825,16715774
11,83420255,16725858
12,83430827,16715775
9,83425358,16725705
20,83425360,16725706
12,83420257,16725859
12,83432813,16714739
12,83431128,16716891
12,83420260,16725860
9,83420261,16725861
12,83431129,16716892
12,83425364,16725962
12,83431130,16716893
20,83432819,16714740
12,83420263,16725862
24,83433654,16718009
12,83426186,16714922
3,83439233,16717827
22,83426188,16714923
12,83439234,16717828
12,83429525,16714956
22,83431679,16714703
20,83426209,16715173
12,83431681,16714704
12,83418311,16722853
12,83418312,16722854
12,83423465,16725418
12,83430819,16715769
12,83429461,16714674
12,83423467,16725419
12,83432801,16714732
12,83423469,16725420
12,83418317,16722855
12,83430820,16715770
12,83425350,16725702
12,83430821,16715771
12,83432802,16714733
12,83431116,16716888
12,83425366,16725963
12,83425367,16725964
