victim_id,circumstances_id,justifiable_force_id
85253834,1,
85254727,1,
85254732,1,
85256933,10,
85256936,10,
85256931,10,
85256932,10,
85256934,10,
85256935,10,
85256937,1,
85203731,1,
85203740,6,
85203749,1,
91047416,1,
91047418,1,
91047414,1,
91047415,1,
91047419,1,
91047417,1,
91048017,10,
91047450,10,
85213240,1,
85213241,9,
85213251,10,
85213252,1,
85202644,6,
85202672,1,
85202675,1,
85202699,1,
85252674,10,
85252675,9,
85252680,1,
85252685,10,
85252705,1,
85252722,1,
85252736,10,
85252737,10,
85252738,10,
85252739,10,
85252740,10,
85252748,1,
85251561,10,
85237768,1,
85237770,1,
85238680,10,
85234423,10,
85253766,10,
91047585,10,
91047582,10,
91047584,10,
85251619,10,
85251638,9,
85251639,9,
85251640,9,
85251641,9,
85251642,9,
85251665,1,
85251669,1,
85251670,1,
85251671,1,
85251672,1,
85251673,1,
85202550,10,
85202553,10,
85202581,1,
85204715,9,
85213370,1,
85213378,9,
85213382,10,
85213387,1,
85214280,10,
85214281,10,
85213388,10,
85213389,10,
85213390,10,
85213391,10,
85214285,1,
85214295,10,
85232367,10,
85232368,10,
85232369,10,
85232373,10,
85232374,10,
85232375,10,
85232376,10,
85232377,10,
85232378,10,
85232379,10,
85232380,10,
85232381,10,
85232382,10,
85232383,10,
85232384,10,
85232408,9,
85232415,1,
85232416,10,
85232417,10,
85232418,10,
85232445,1,
85232446,1,
85232450,1,
85232451,10,
85232452,10,
85232454,1,
85233408,1,
85233413,4,
85233426,1,
85233435,1,
85233442,10,
85233443,10,
85233447,10,
85233455,1,
85244117,10,
85244126,1,
85244127,1,
85244128,9,
85246266,10,
85246267,1,
85246273,10,
85246275,10,
85246284,10,
85244141,1,
85244142,1,
85244151,1,
85244152,1,
85244172,10,
85234511,9,
85234512,9,
85234514,10,
85234515,1,
85233368,10,
85233379,1,
85233384,1,
85233385,1,
85233474,6,
85231399,10,
85231400,10,
85232308,10,
85232309,10,
85232322,10,
85192995,1,
85245261,1,
85245262,10,
85245263,10,
85245264,10,
85246180,1,
85246187,9,
85244174,6,
85244180,1,
85245105,1,
85245108,1,
85245115,1,
85245122,1,
85242991,10,
95081474,10,
85198182,10,
85198183,10,
85198184,10,
85198190,6,
85198212,1,
85200403,1,
85200404,1,
85200405,1,
85214376,1,
85214377,6,
85214378,10,
85214380,10,
85214381,10,
85214397,1,
94484084,10,
95570017,6,
95570019,10,
95570013,10,
95570012,6,
95570016,6,
95570014,10,
95081799,1,
95082018,6,
96884342,1,
96885711,9,
85293317,9,
85293318,9,
85293337,1,
85293383,10,
85293384,10,
85293385,10,
85293386,10,
85215412,6,
85215415,9,
85215417,10,
85215428,10,
85215432,1,
85272048,9,
85216569,6,
85216570,1,
85216574,1,
85217483,9,
85217484,9,
85217488,1,
85214432,1,
85215393,10,
85215394,10,
91536580,10,
91046512,1,
91046657,10,
91046651,10,
91046656,10,
91046655,10,
91046646,10,
91046652,10,
91046642,10,
91047003,9,
85205913,10,
85205916,6,
85205929,9,
85205936,1,
85206852,10,
85206853,10,
85206855,1,
85204742,1,
85204782,1,
85204787,10,
85204788,10,
85241966,9,
85211203,10,
85211204,10,
85209079,6,
85209081,1,
85292302,10,
85288002,10,
85292329,10,
85293269,1,
85290103,1,
85290109,1,
85290110,1,
85249446,10,
85259050,1,
85259145,1,
85259154,1,
85259171,1,
85241982,10,
85250584,4,
85291163,9,
85291165,10,
85200532,10,
85200536,1,
85215355,1,
85215358,1,
85215370,6,
