year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2013,Indiana,IN,5685,IN0010000,Adams,21127,8C,"Non-MSA counties from 10,000 thru 24,999",0,0,0,0,0,0,0
2013,Indiana,IN,5873,IN0570300,Albion,2344,7,"Cities under 2,500",1,12,0,0,0,1,0
2013,Indiana,IN,5840,IN0480100,Alexandria,5060,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2013,Indiana,IN,5688,IN0020000,Allen,92528,9B,"MSA counties from 25,000 thru 99,999",1,12,0,0,0,1,0
2013,Indiana,IN,5841,IN0480200,Anderson,55367,3,"Cities from 50,000 thru 99,000",1,12,0,0,0,1,0
2013,Indiana,IN,5926,IN0760100,Angola,8587,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2013,Indiana,IN,5745,IN0230100,Attica,3206,6,"Cities from 2,500 thru 9,999",0,0,0,0,0,0,0
2013,Indiana,IN,5725,IN0170100,Auburn,12802,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2013,Indiana,IN,5719,IN0150100,Aurora,3721,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2013,Indiana,IN,5918,IN0720200,Austin,4169,6,"Cities from 2,500 thru 9,999",0,0,0,0,0,0,0
2013,Indiana,IN,5774,IN0321100,Avon,13561,5,"Cities from 10,000 thru 24,999",0,0,0,0,0,0,0
2013,Indiana,IN,5730,IN0180500,Ball State University,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2013,Indiana,IN,5800,IN0410800,Bargersville,6341,6,"Cities from 2,500 thru 9,999",0,4,0,0,0,0,0
2013,Indiana,IN,5691,IN0030000,Bartholomew,33839,9B,"MSA counties from 25,000 thru 99,999",1,12,0,0,0,1,0
2013,Indiana,IN,5905,IN0690100,Batesville,6489,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2013,Indiana,IN,5837,IN0470100,Bedford,13400,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2013,Indiana,IN,5845,IN0490100,Beech Grove,14384,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2013,Indiana,IN,5693,IN0040000,Benton,6510,9D,"MSA counties under 10,000",0,0,0,0,0,0,0
2013,Indiana,IN,5686,IN0010100,Berne,3964,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2013,Indiana,IN,5802,IN0420100,Bicknell,2885,6,"Cities from 2,500 thru 9,999",0,0,0,0,0,0,0
2013,Indiana,IN,5695,IN0050000,Blackford,6261,8D,"Non-MSA counties under 10,000",1,12,0,0,0,1,0
2013,Indiana,IN,5861,IN0530100,Bloomington,82415,3,"Cities from 50,000 thru 99,000",1,12,0,0,0,1,0
2013,Indiana,IN,5959,IN0900100,Bluffton,9896,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2013,Indiana,IN,5697,IN0060000,Boone,15936,9C,"MSA counties from 10,000 thru 24,999",0,6,0,0,0,0,0
2013,Indiana,IN,5951,IN0870100,Boonville,6197,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2013,Indiana,IN,5712,IN0110100,Brazil,8183,6,"Cities from 2,500 thru 9,999",0,8,0,0,0,0,0
2013,Indiana,IN,5853,IN0500100,Bremen,4597,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2013,Indiana,IN,5748,IN0240100,Brookville,2575,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
