criminal_act_id,offense_id
2,85801076
2,85799027
6,91631251
5,91631251
2,91631251
2,85804745
2,85803916
9,99779114
9,85803215
3,90689828
6,90689830
9,92084079
9,92084419
6,85797905
8,85804128
8,85797392
6,85797392
9,99779146
9,85797397
9,91632185
6,85805501
9,85805504
6,85803926
6,85803927
9,99778492
8,85801080
6,85803923
6,85803924
9,85803925
9,90690216
9,85804136
9,85803934
9,85799051
7,99779155
3,99779155
9,99779154
9,85803207
6,99779139
6,99779143
9,90689869
6,90690197
6,99778467
6,90690161
6,90689779
6,90689786
9,85804137
9,85803218
1,85807005
3,85807005
2,85807005
9,85801097
2,92084397
2,85805507
2,85803940
8,85803940
5,85803940
9,85801095
9,99779128
3,85803217
2,85803217
1,85803217
6,85799053
3,91632232
1,91632232
2,91632232
6,100949466
8,85804151
7,85804151
6,85804151
6,85804152
6,85803945
8,85803945
7,85803945
6,85803946
8,85803946
7,85803946
6,85799069
6,92085170
9,92084494
6,92085183
3,92085183
1,92085183
7,92085184
6,92085184
9,91632551
1,85801099
7,85801100
6,85801100
7,85801101
6,85801101
9,85803222
9,85803223
9,90689822
6,92085234
9,85807010
9,85807012
9,85803948
9,85803949
9,91631547
8,85804143
7,85804143
6,85804143
8,85804144
7,85804144
6,85804144
9,85803944
8,85803228
6,85803228
8,85799059
7,85799059
6,85799059
7,85799060
6,85799060
8,85799060
8,92085186
6,92085186
6,92085187
6,92085172
8,92085161
7,92085161
6,92085161
8,92084486
7,92084486
6,92084486
8,91632492
7,91632492
6,91632492
8,91632493
7,91632493
6,91632493
9,85807020
1,85801120
9,85803958
9,91631599
6,92085177
9,85799056
9,85803227
9,91631423
6,85803954
8,85803954
7,85803954
1,85803955
8,85803955
8,85805522
7,85805522
6,85805522
6,85804166
3,85803243
9,85804167
6,85799078
6,85803245
9,85805529
9,91632447
6,85803951
2,85807017
9,85804157
9,85803950
6,91631536
6,91632431
9,92085176
9,91632370
8,91631468
7,91631468
6,91631468
6,91631467
3,91631467
1,91631467
9,85805513
7,85803231
6,85803231
1,85803231
7,85803232
6,85803232
1,85803232
6,92085225
6,92085227
8,91631465
7,91631465
6,91631465
9,90689782
6,91631478
9,85799080
6,85805523
6,85803957
3,85799081
7,85803249
6,85803249
9,92085289
9,91631625
9,85804518
9,85804519
8,85804520
9,85804521
6,91631640
9,92085250
9,85807018
9,85801114
8,85804161
6,85804161
7,85804161
8,85807021
6,91632465
9,91632303
9,85807029
9,92084096
9,90689034
6,91632293
3,91632304
9,91631412
2,85805530
9,85803962
9,91631530
6,85804525
6,85804526
8,85805532
1,85805532
8,85804175
6,85804175
3,85804175
8,85804176
3,85804176
6,85804176
7,85803964
3,91631447
6,85805537
6,85804002
2,85804185
6,85804185
6,85804186
6,85804004
6,85807035
6,85799093
2,85799093
8,85799093
6,85799094
6,85804005
8,85804005
6,85805538
6,85805539
6,92085395
3,92085395
1,92085395
6,90689967
3,90689970
2,90689970
1,90689970
6,85805534
8,85804184
6,85804184
1,85804184
6,92085386
6,92085383
6,92085373
6,92085376
8,91632349
1,91632349
1,91632347
9,91632365
9,92085491
8,93034205
9,91632539
6,85799103
6,85804191
6,85805548
6,85804194
3,85804194
1,85804012
5,85804012
3,85804012
3,85804541
2,85804541
1,85804541
8,85805549
6,85805549
8,85805550
6,85805550
6,85805551
1,85805551
6,85805552
6,99779222
5,99779222
1,99779222
6,99778539
7,99778536
6,99778536
9,92084775
6,90690362
8,85804527
6,85804527
6,85804528
8,85804528
3,85804178
6,85804180
7,85804180
8,85807032
7,85807032
6,85807032
2,85805533
7,92085379
6,92085379
3,92085379
6,92507645
6,92085385
8,92084689
7,92084689
6,92084689
6,85807033
7,85807033
8,85807033
8,85807034
6,85807034
9,85803257
6,85803258
7,90689951
6,90689951
3,90689951
7,92507642
6,92507642
3,92507642
7,85804524
8,92085418
7,92085418
6,92085418
7,92085416
6,92085416
1,92085416
8,85804174
6,85804174
7,85804174
6,85799086
4,85804016
9,85805553
6,85808706
6,85799110
7,92085544
6,92085544
7,92085543
6,92085543
6,91631619
6,91631618
6,91632519
6,91632518
6,92084827
6,92085559
6,91631632
6,91632523
8,92084742
6,92084742
2,92084742
8,92085454
6,92085454
6,90689980
6,85805540
7,90689982
6,90689982
7,91632410
6,91632410
1,91632410
3,91631509
2,91631509
1,91631509
8,92085512
6,92085512
8,92085509
6,92085509
6,91632480
6,91632481
8,99779221
6,99779221
3,99779220
2,99779220
1,99779220
2,85807049
6,85804197
6,85804198
6,85799107
6,85799108
6,91632478
6,93034209
8,99779225
8,99779224
1,99779224
6,85799097
6,85799098
6,85799099
6,85799101
6,85807042
6,85804010
6,85804537
3,85804537
1,85799102
6,85799102
6,85807043
6,85807044
4,85805547
6,85803971
8,91631519
6,91631519
6,92085492
2,85805543
6,85799096
8,85799096
6,85803970
6,85807041
1,91632419
6,91631531
6,91631528
9,91632674
9,85804019
3,99778556
3,91631569
1,91631570
1,91631571
5,99778591
9,99779258
9,91631626
6,91631624
6,91631622
6,92085336
3,92085327
9,85804208
9,85808712
6,85803980
3,90690397
6,99778575
6,99779243
6,99779242
6,91631623
9,90689945
3,92084662
6,85804026
9,85804028
3,91631572
8,100948914
6,100948914
9,99779241
9,99779240
9,85815177
9,92085448
6,92085450
8,92085450
9,92085444
9,85804037
9,85804214
6,85804215
9,85808715
5,85803986
6,93033371
6,93034197
6,92085387
9,85803989
6,91632618
8,92085422
6,92085422
8,92085421
6,92085421
8,91632436
6,91632436
8,91631543
6,91631543
1,91631543
6,91632404
3,91632404
1,91632404
8,91632405
6,85805557
9,85808709
9,85805559
9,90690038
6,91631505
6,91632472
3,91632472
1,91632472
2,85807064
6,85807064
3,85807064
3,85807065
8,85807065
6,85807065
3,99778566
3,92085337
6,91632572
6,91632560
6,91632559
6,90690462
3,91631631
9,85804567
6,99778555
6,90690412
3,92085344
6,91632562
6,91632563
9,90690016
3,92085325
6,92084646
8,91632393
6,91632393
8,91632392
6,91632392
9,90690479
3,92084655
1,91632403
6,91632403
8,91632403
6,91631504
8,91631504
9,85807058
8,85804200
6,85804200
6,99779235
9,99778557
8,91632348
6,91632348
3,100949681
2,100949681
1,100949681
6,85804221
6,91632338
6,85815178
7,91632333
3,91632333
9,85804045
9,85815179
6,85815180
4,85815180
3,85815180
9,85815182
6,91632342
9,85804568
7,85808720
6,91632341
6,91632353
8,91632345
6,91632345
6,91632343
1,91632343
8,91632343
2,91632351
9,85803999
6,92085432
9,91632400
6,85804572
7,91631596
6,91631596
9,90690309
6,100948876
6,100948875
2,100948875
6,91632452
6,91631562
8,91631496
6,91631496
6,99778538
2,85804225
2,85804054
2,85804575
9,85804226
6,91632458
3,91632458
2,91632458
8,91632459
6,91632459
3,85808724
9,85804570
6,92085426
7,92085426
2,92085426
9,85804577
8,85804229
6,85804229
1,85804229
8,85804230
6,85804230
1,85804230
6,99779217
9,85808732
9,90690335
9,90689917
6,93034199
3,93034199
9,85804062
8,91631483
6,91631483
6,90690253
3,90690253
8,91632451
6,91632451
9,90689922
9,85804573
6,90689907
6,90689906
6,91632396
7,91632396
6,91631499
7,91631499
6,91632383
6,91631488
9,85807073
2,85815184
6,85815185
9,90689881
7,85804064
6,92085572
2,92085572
6,92084833
2,92084833
8,92085581
6,92085581
2,92085581
6,91631420
6,99779226
2,99779226
2,85808734
2,85804750
2,85804063
9,85804580
2,85807078
2,85807081
2,85804583
9,85815192
2,85807082
9,90690168
6,85808733
2,85804749
9,85804748
9,91631414
6,85804067
8,85804067
2,85807083
5,85804584
2,85804584
6,85804584
6,90690026
6,90690027
2,85804073
9,85804591
2,85807088
7,85807088
5,85807088
6,85804592
5,85804592
2,85804592
2,85804066
6,85804066
5,85804066
9,93033380
6,85804240
6,85804241
2,85815202
6,85809502
8,91632427
6,91632427
3,91632427
6,99779269
6,99779268
2,99779268
3,99779268
6,92084979
2,85807084
9,85804068
6,92509036
7,92084924
6,92084924
1,92084924
9,92084928
6,92085684
6,92085685
6,93033378
2,85804069
2,85808738
9,85808739
2,85807089
6,85807089
5,85807089
9,99778592
6,99779261
6,92084978
6,92084977
8,85804594
6,85804594
3,85804594
6,85815200
3,85815200
7,85815200
2,85807090
9,85815201
3,85813613
6,85804075
8,85804075
3,85804075
9,92509037
6,92084969
8,91631544
6,91631544
3,91631544
6,93034220
5,93034220
2,93034220
6,93034219
5,93034219
2,93034219
9,99778594
6,92085681
6,92085679
9,85815196
6,85813609
6,93034214
5,93034214
2,93034214
6,90690515
9,85804077
9,92085674
8,92085683
6,92085683
6,92085682
6,92085678
6,92084932
9,85809513
2,85809517
9,85809518
8,91631539
3,91631539
1,91631539
8,85815209
7,85815209
6,85815209
6,85804596
6,85804082
2,85815218
2,85807100
9,85815213
9,85809511
9,85815219
9,91631538
6,99779324
9,85804602
6,85814384
9,85809510
4,100951416
9,100951417
8,85804242
2,85804080
6,85804081
2,85809522
9,85811225
6,99779321
6,99779322
6,85807098
6,85807099
9,85804605
9,92086930
1,91632434
6,99779319
6,90690028
6,85807095
9,85807097
9,85805000
6,85807092
3,85813621
6,85813622
2,85813623
6,85804600
6,85804601
6,90690011
9,85807103
2,85807104
2,85804096
9,85804616
9,90690570
9,85815222
9,85804610
6,92085768
6,92085767
9,85809531
3,92085769
6,92085766
5,85807865
2,85807865
6,91631685
9,85815224
8,92085781
6,92085781
3,92085781
6,92085782
3,92085782
8,92085782
2,85815229
6,85811239
6,85811240
9,85804620
6,90691352
6,90691351
3,90691351
7,91631745
6,91631745
6,85815237
7,85815238
6,85815238
1,85815238
6,85814404
6,85814405
6,85804106
2,85809544
6,85804117
4,85804117
3,85804117
6,92086157
2,91631949
9,92085995
7,92086153
6,92086153
