offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
85801076,78305989,16,C,25,,,
85799027,78305987,16,C,13,,,
91631251,83897825,16,C,25,,,
85804745,78305986,16,C,13,,,
85803916,78305985,16,C,13,,,
92086845,84295051,45,C,11,,,
99779114,91061034,56,C,20,,,
91632181,83896827,45,C,24,,,
85803215,78306078,51,C,20,,,
85803936,78306081,46,C,20,,,
90689828,83079045,16,C,20,,,
90689830,83079045,35,C,20,,,
85803206,78306051,45,C,20,,,
92084079,84292605,29,C,40,,,
92084419,84292605,51,C,40,,,
85801083,78306064,47,C,20,,,
85797403,78306066,14,C,20,,,
85797396,78306021,2,C,20,,,
85797905,78306017,39,C,13,,,
85804128,78306018,11,C,20,,,
85801079,78306020,45,C,20,,,
91632183,83896828,2,C,14,,,
85797391,78305992,23,C,12,,,
85797897,78305994,45,C,25,,,
85801077,78305995,45,C,29,,,
85797392,78305997,16,C,13,,,
85797394,78306009,45,C,36,,,
85797395,78306011,45,C,20,,,
99779146,91061064,56,C,20,,,
85797397,78306022,51,C,20,,,
90690202,83078400,49,C,20,,N,
91632185,83896830,56,C,20,,,
85805501,78306085,16,C,13,,,
85805504,78306087,51,C,20,,,
85797400,78306037,2,C,6,,,
85803926,78306041,16,C,13,,,
85803927,78306041,35,C,13,,,
99778492,91060191,27,C,14,,,
85801080,78306029,16,C,13,,,
85803923,78306030,16,C,13,,,
85803924,78306030,35,C,13,,,
85804131,78306031,45,C,20,,,
85803925,78306032,27,C,13,,,
85799037,78306035,46,C,13,,,
85799038,78306036,45,C,19,,,
92084260,84292048,2,C,2,,,
90690216,83079049,56,C,20,,,
85804136,78306069,44,C,38,,,
85803934,78306072,29,A,13,,,
85799051,78306073,44,C,20,,,
85803214,78306077,45,C,16,,,
99779155,91060173,16,C,25,,,
85801086,78306089,45,C,13,,,
85801087,78306089,2,C,13,,,
85801088,78306089,46,C,13,,,
99779154,91060172,36,C,20,,,
85799046,78306060,21,C,20,,,
85803207,78306061,27,C,20,,,
91632191,83896836,45,C,11,,,
99779139,91060162,16,C,13,,,
99779143,91060166,16,C,13,,,
91632182,83897881,45,C,25,,,
90689869,83079085,27,C,20,,,
90690197,83079022,16,C,13,,,
85797901,78306000,21,C,20,,,
85797902,78306000,46,C,13,,,
99778467,91061062,16,C,13,,,
90690161,83078993,16,C,13,,,
90689779,83078376,16,C,13,,,
90689786,83079008,16,C,13,,,
85804137,78306096,56,A,20,,,
85803218,78306098,56,A,20,,,
85804139,78306109,45,C,20,,,
85801096,78306110,2,A,25,,,
85801098,78306113,45,C,20,,,
85803220,78306114,45,C,20,,,
85807005,78306111,16,C,13,,,
85801097,78306112,44,C,20,,,
92084397,84292163,16,C,20,,,
92084396,84292163,23,C,8,,,
85805507,78306104,16,C,20,,,
85803940,78306105,16,C,20,,,
85801095,78306107,51,C,20,,,
85805506,78306103,49,C,20,0,F,
92084379,84292543,45,C,25,,,
99779128,91061054,32,C,20,,,
85803217,78306094,16,A,10,,,
85799053,78306095,11,C,4,,,
85801094,78306100,45,C,18,,,
91632232,83896873,16,C,20,,,
100949466,92072049,39,C,20,,,
85804151,78307038,16,C,13,,,
85804152,78307038,35,C,13,,,
85803945,78307042,16,C,13,,,
85803946,78307042,35,C,13,,,
85804153,78307043,49,C,20,0,N,
85799069,78307044,11,A,25,,,
90689792,83078385,21,C,20,,,
92085235,84292715,2,C,46,,,
92085170,84292659,16,C,25,,,
85803225,78307009,49,C,20,0,N,
85803226,78307009,45,C,20,,,
92084494,84292663,56,C,20,,,
92085183,84292674,16,C,13,,,
92085184,84292674,35,C,13,,,
91632551,83897134,56,A,20,,,
85801099,78306117,16,C,20,,,
85801100,78306119,16,C,13,,,
85801101,78306119,35,C,13,,,
85801102,78306120,45,C,20,,,
85801103,78306121,45,C,24,,,
85805508,78306122,45,C,31,,,
85803222,78306123,29,C,20,,,
85803223,78306123,51,C,20,,,
90690200,83078398,45,C,20,,,
90689822,83079038,27,C,31,,,
92085234,84292714,35,C,20,,,
85807010,78307045,44,C,20,,,
85804154,78307046,21,C,20,,,
