victim_id,offender_id,relationship_id,nibrs_victim_offender_id
99669904,102838449,18,30147609
85330693,88283223,23,26055615
91989204,95039923,16,27789552
91989204,95039926,16,27789554
91989204,95040433,16,27789553
91990191,95039923,16,27789561
91990191,95040433,16,27789562
91990191,95039926,16,27789563
91989230,95039926,16,27789570
91989230,95039923,16,27789569
91989230,95040433,16,27789082
91989214,95039926,16,27789075
91989214,95040433,16,27789560
91989214,95039923,16,27789559
91989228,95039926,16,27789568
91989228,95040433,16,27789567
91989228,95039923,16,27789081
91990196,95039923,16,27789076
91990196,95040433,16,27789077
91990196,95039926,16,27789566
91989208,95039926,16,27789558
91989208,95040433,16,27789557
91989208,95039923,16,27789556
91989223,95039923,16,27789078
91989223,95040433,16,27789079
91989223,95039926,16,27789080
91990187,95040433,16,27789073
91990187,95039926,16,27789074
91990187,95039923,16,27789555
99669944,102838473,15,30147615
85329725,88283153,21,26055591
91538778,94583672,10,27651657
85330702,88283238,22,26055616
99670836,102839450,25,30148464
99670836,102839452,16,30148465
99670836,102838505,16,30148466
99670840,102839450,16,30148467
99670840,102839452,16,30147618
99670840,102838505,25,30148468
85329735,88283165,3,26055592
90604200,93631067,18,27353730
85329784,88283214,16,26055612
85329787,88283217,18,25695308
85329788,88283218,15,26055614
85329789,88283218,15,26055613
99670818,102838485,18,30148461
85329775,88283204,21,26055610
90604255,93630284,3,27354545
85330712,88283252,18,25695309
85330714,88283254,23,26086815
85330728,88283276,9,26470662
85330723,88283267,20,27023878
85330723,88283266,5,26086817
99669931,102838463,16,30148457
91990252,95040024,18,27789101
85330739,88283288,3,26086819
90604188,93630223,3,27354514
85330792,88283340,18,26086831
85330793,88283340,18,26086830
85330791,88283340,21,26086832
85330805,88283352,5,26086834
85330807,88283353,7,26086835
85330806,88283353,7,26086836
85330808,88283354,19,26254285
85330809,88283354,19,26254284
91539015,94584254,25,27651701
91539015,94583933,12,27652820
91540000,94583933,25,27652823
91540000,94584254,12,27652821
85330756,88283308,5,26086825
85330852,88284927,1,26839584
85331794,88284971,18,26086845
85331793,88284971,20,26086846
91540045,94583990,17,27652843
91540047,94583990,1,27652844
85330742,88283292,1,26086821
85330743,88283292,1,26086820
85330751,88283302,22,26086824
91538904,94584125,21,27651690
85331775,88284954,2,26086839
85331817,88284993,10,26086851
91540003,94584267,1,27651703
85330828,88283371,25,26855931
85330828,88283373,17,27215856
85330828,88283372,19,27157119
85330830,88283371,5,26855355
85330830,88283373,25,27215854
85330830,88283372,15,27157117
85330829,88283371,19,26855356
85330829,88283373,15,27215855
85330829,88283372,25,27157118
85330831,88283374,18,26119571
91539985,94583926,5,27652812
91990254,95040026,3,27789602
91539932,94583862,18,27652799
91538945,94583862,18,27651695
85330771,88283320,1,26254283
90604150,93630183,1,27354502
85331783,88284961,15,26086841
91990363,95040626,4,27789144
91990363,95040628,5,27789145
91990362,95040628,5,27789143
91990362,95040626,4,27789142
91539085,94584014,10,27652850
85331810,88284986,26,26086847
85331809,88284986,5,26086848
85331808,88284986,5,26086849
85331814,88284990,15,26086850
91989384,95041091,9,27789614
85330837,88284913,3,26055625
85330840,88284916,18,26055628
85330841,88284916,18,26055627
91538891,94584110,1,27651687
85331823,88285001,18,26542716
91990193,95040437,5,27789564
90604777,93629869,1,27353689
85331821,88284998,23,27023881
85331821,88284997,22,26086852
91539975,94583921,8,27652808
91539977,94583921,8,27651698
91538938,94584173,18,27651694
91989606,95041321,1,27789664
91540085,94584362,4,27651720
85331860,88285042,9,27029626
85331860,88285041,25,26119574
85331861,88285042,25,27029625
85331861,88285041,9,26119573
85332854,88285170,25,27029627
85332854,88285169,6,26119579
85332853,88285170,6,27029628
85332853,88285169,25,26119580
91539240,94584510,5,27651741
85332884,88286756,16,26470661
99670055,102839551,22,30147645
91540067,94584015,17,27652851
91540069,94584015,19,27652852
85332904,88286783,5,26086803
90604334,93630384,16,27354583
90604334,93631215,16,27354579
90604334,93630381,16,27354578
90604334,93630380,16,27354577
90604334,93630382,16,27354580
90604334,93630383,16,27354582
85332901,88286775,25,27023874
85332901,88286774,3,26839564
85332900,88286775,3,27023875
85332900,88286774,25,26839565
99670899,102838573,9,30147637
85332972,88286866,5,26023019
91990498,95040760,18,27789172
91990498,95040754,18,27789657
91990498,95040759,18,27789654
91990498,95040750,18,27789655
91990498,95040748,18,27789656
91990498,95040755,18,27789173
85332943,88286828,5,27010544
85332943,88286827,20,26023013
85332946,88286832,3,26679261
85332949,88286840,5,26023015
85332959,88286849,20,26679262
85332880,88286748,18,26055629
85332889,88286761,19,26055631
90605195,93630476,15,27353834
85332978,88286873,9,26023021
90604402,93630454,13,27354596
90605178,93630462,9,27353830
85332866,88285187,9,26470666
99670029,102838563,15,30148482
85332984,88286882,16,26023022
85332989,88286885,18,26023023
85332995,88286891,2,26023024
85332990,88286886,3,26679263
85333915,88286926,15,26679274
91538966,94584207,16,27651696
90605017,93631148,17,27353777
85333923,88286934,16,26055643
85333010,88286909,21,26307375
85333934,88286947,1,26055644
85333944,88286957,21,26055645
90605050,93630342,3,27353790
85333946,88286960,5,27017359
85333946,88286959,4,26055646
90604305,93630347,19,27354565
90604305,93630348,5,27354566
85333913,88286924,5,27017358
85333913,88286923,5,26023027
85333005,88286902,16,26958526
85333005,88286901,16,25735527
90604266,93630301,1,27354547
85333950,88286963,5,26055649
85333968,88286980,16,26490981
85333967,88286980,16,26490982
90604895,93630020,5,27353722
85333949,88286962,16,26055647
85333948,88286962,16,26055648
91538895,94584115,15,27652787
