"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2016,89973134,84499253,6,,
2016,93027279,82879105,6,,
2016,92414858,82880362,7,,
2016,89973410,82881324,8,,
2016,91805117,85388050,6,,
2016,92415067,82888922,1,,
2016,93639022,82888972,6,,
2016,91195449,83323424,6,,
2016,90584560,85975005,6,,
2016,93639144,83324595,6,,
2016,93027666,84032255,5,,1
2016,93638402,87448100,6,,
2016,93638541,83380260,6,,
2016,89973237,84591796,5,,
2016,93638680,85903654,6,,
2016,91682821,84591752,7,1,
2016,92415178,83324615,5,,0
2016,92414943,84064557,6,,
2016,92414977,83381233,6,,
2016,93638555,86954236,7,,
2016,93638708,85209800,7,,
2016,93638877,84064519,6,,
2016,93638929,87248262,6,,
2016,89973709,85243867,7,1,
2016,89973111,83380292,6,,
2016,89973592,85824010,6,,
2016,89972935,83913711,6,,
2016,91805037,82882415,7,0,
2016,91805317,83324521,6,,
2016,92414862,82881340,7,,
2016,93027627,83324527,1,,
2016,92321276,87750990,7,,
2016,91195474,86987267,1,,
2016,92415202,87248332,6,,
2016,93638391,83912761,7,1,
2016,93026921,84710718,6,,
2016,93027157,84511675,7,,
2016,90471336,83343640,6,,
2016,92414462,87448134,6,,
2016,92414545,83320379,6,,
2016,93638376,86467287,7,,
2016,93638420,87448156,6,,
2016,93638461,84560938,6,,
2016,93026938,87449075,6,,
2016,93027119,84894984,6,,
2016,93027160,84511707,7,,
2016,93027215,85209802,6,,
2016,93027540,83323425,7,,
2016,91804888,85208876,6,,
2016,92414743,85208884,7,1,
2016,89362740,82887817,8,,
2016,93638742,82876791,1,,
2016,93027245,82876831,1,,
2016,91804973,82879102,6,,
2016,91195331,87041364,7,1,
2016,91195355,84379909,6,,
2016,93027586,87450263,1,,
2016,92414480,87449084,7,1,
2016,91701973,85388023,6,,
2016,90584151,87568976,3,,
2016,89362875,82881457,7,1,
2016,89362889,82882509,6,,
2016,89362576,83380262,6,,
2016,89362636,85387182,7,1,
2016,89362491,87449173,5,,1
2016,91804857,85903665,6,,
2016,91805026,82881425,6,,
2016,91805058,83825310,6,,
2016,91805059,83825312,6,,
2016,91805208,82887865,7,,
2016,91195118,85208902,8,,
2016,89973330,82876826,8,,
2016,89973350,82877917,6,,
2016,93027280,82879108,7,1,
2016,89362826,82879198,7,,
2016,93638821,82881334,7,1,
2016,90584400,87040410,5,,
2016,91195352,83381308,5,,
2016,93638959,82882969,6,,
2016,93638991,83322394,6,,
2016,91195436,82888957,7,,
2016,92415084,83323421,6,,
2016,91805242,83323495,7,0,
2016,91805244,83990228,6,,
2016,91805263,85974978,6,,
2016,89973729,83324534,5,,1
2016,93027656,84592667,7,,
2016,90583886,83913716,6,,
2016,91194805,85798795,6,,
2016,90584024,86987180,6,,
2016,89362681,83390557,6,,
2016,93638741,82876783,5,,1
2016,89973071,83321340,7,,
2016,93027031,83990214,6,,
2016,93638524,86987209,6,,
2016,92414589,86987249,6,,
2016,89362595,86955140,1,,
2016,91804782,83342636,6,,
2016,89363122,87451158,7,0,
2016,93638628,83342603,6,,
2016,91804530,85242919,5,,
2016,91711437,83322450,1,,
2016,91701976,82888885,7,,
2016,90584113,84894989,7,,
2016,90584219,82876823,7,1,
2016,90584293,82880271,7,,
2016,90584310,82881319,7,1,
2016,90584505,82888891,5,,
2016,93544834,83324455,6,,
2016,93027294,82879189,7,1,
2016,89363003,84711597,6,,
2016,90584519,83322511,6,,
2016,93638506,82864594,6,,
2016,91804875,85208787,5,,1
2016,89362758,87283631,1,,
2016,89362772,82876817,7,1,
2016,89363096,86955190,5,,0
2016,91805330,83325520,7,,
2016,91195564,86469000,6,,
2016,90583921,87448159,6,,
2016,93638425,87449057,5,,0
2016,91804744,84997884,1,,
2016,91195057,83390551,6,,
2016,91804839,87568981,6,,
2016,91195381,82882962,6,,
2016,94126954,86586061,5,,
2016,89973280,85208806,7,1,
2016,89973458,82882513,7,1,
2016,93638960,82882977,6,,
2016,93639177,84711664,5,,
2016,89973574,86467310,7,0,
2016,91805255,86256955,7,,
2016,91194779,83912743,6,,
2016,90583913,85798792,7,,
2016,89362488,87449161,6,,
2016,92414535,82944928,1,,
2016,91081944,85823990,6,,
2016,91711425,84591693,6,,
2016,89362459,87448051,6,,
2016,89973551,87248232,5,,
2016,92415201,87248329,6,,
2016,91194834,86585978,6,,
2016,91194882,82944954,7,,
2016,93638735,87283618,5,,
2016,93638804,82880200,7,1,
2016,92293122,85208793,6,,
2016,89973057,83320370,6,,
2016,93638450,86670473,6,,
2016,93026904,87448049,6,,
2016,93027175,84591788,7,2,
2016,93027297,82879204,6,,
2016,93027421,87040360,6,,
2016,93027448,87248239,6,,
