"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2016,11,92311887,0,,7069199
2016,12,91091593,0,,7069200
2016,16,91195474,0,,7069365
2016,12,93639076,0,,7069366
2016,12,91195476,0,,7069367
2016,16,90584570,0,,7069368
2016,12,91805347,0,,7069372
2016,5,91805349,11,10,7069373
2016,5,91805351,42,10,7069374
2016,16,91805360,0,,7069375
2016,5,89972934,0,,7069384
2016,12,93638399,0,,7069394
2016,2,89972997,0,,7069397
2016,12,93026976,0,,7069398
2016,12,93638469,0,,7069399
2016,12,91194871,0,,7069400
2016,5,92414528,35,10,7069401
2016,12,91194874,0,,7069402
2016,5,91804729,0,,7069412
2016,5,91804740,11,10,7069413
2016,12,90584118,0,,7069414
2016,12,91804776,0,,7069415
2016,12,93027134,0,,7069416
2016,1,90584168,0,,7069431
2016,5,89362720,0,,7069432
2016,5,91804897,0,,7069433
2016,5,93027352,0,,7069445
2016,5,93638845,18,10,7069446
2016,4,93027366,0,,7069447
2016,5,93027410,0,,7069451
2016,12,89362949,0,,7069452
2016,12,93027449,0,,7069458
2016,12,92414993,0,,7069459
2016,12,89973553,0,,7069460
2016,16,91805168,0,,7069461
2016,5,90584473,0,,7069462
2016,12,93027523,0,,7069469
2016,5,91805214,0,,7069470
2016,5,89973630,40,10,7069471
2016,4,89973640,0,,7069472
2016,5,91195453,0,,7069473
2016,5,90584525,5,10,7069474
2016,5,93638535,0.352,3,7109759
2016,5,93638540,0.176,3,7109760
2016,2,93638543,0.001,3,7109761
2016,5,93638545,0.141,3,7109762
2016,5,93638548,0.035,3,7109763
2016,4,93638550,0.07,3,7109764
2016,12,93638554,0.035,3,7109765
2016,12,93638556,2,9,7109766
2016,12,93638558,0.052,3,7109767
2016,5,93638562,0.035,3,7109768
2016,5,93638570,1,3,7109769
2016,5,93638580,3200,3,7109770
2016,12,93638587,0.001,3,7109771
2016,5,93638604,3.707,3,7109772
2016,5,93638607,1.828,3,7109773
2016,5,93638610,0.035,3,7109774
2016,5,93638619,0.105,3,7109775
2016,5,93638627,0.105,3,7109776
2016,5,93638628,0.141,3,7109777
2016,12,93638629,1.481,3,7109778
2016,5,93638636,0.035,3,7109779
2016,5,93638640,0.035,3,7109780
2016,5,93638644,0.423,3,7109781
2016,5,93638645,0.07,3,7109782
2016,5,93638647,0.529,3,7109783
2016,5,93638658,0.035,3,7109784
2016,5,93638659,0.035,3,7109785
2016,12,93638662,0.035,3,7109786
2016,5,93638670,0.014,3,7109796
2016,5,93638672,0.035,3,7109797
2016,5,93638692,0.246,3,7109798
2016,5,93638698,0.141,3,7109799
2016,5,93638709,0.176,3,7109814
2016,5,93638712,16,3,7109815
2016,2,93638723,0.035,3,7109816
2016,5,93638727,0.07,3,7109817
2016,12,93638732,0.001,3,7109818
