"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
57002016,5700,2016,"IN0060500","IN0060500","","N","N",,"S","WHITESTOWN","TOWN MARSHAL WHITESTOWN","Whitestown","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",6850,27128,"INUCR0001","Indiana State Police","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",12,0,12,0,1,1,0,0,01-JAN-13,01-JUL-17,01-JUL-17,01-NOV-17,,01-NOV-17,"N","BOONE","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57662016,5766,2016,"IN0300000","IN0300000","","Y","N",,"I","HANCOCK","HANCOCK CO SO GREENFIELD","Hancock","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",48436,24253,"IN0300000","Hancock","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",36,20,56,3,14,17,0,0,01-JAN-13,01-MAR-15,01-MAR-15,01-FEB-18,,01-FEB-18,"N","HANCOCK","Indianapolis-Carmel-Anderson, IN","Y","N","Y"
57662016,5766,2016,"IN0300000","IN0300000","","Y","N",,"I","HANCOCK","HANCOCK CO SO GREENFIELD","Hancock","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",48436,24253,"IN0300000","Hancock","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",36,20,56,3,14,17,0,0,01-JAN-13,01-MAR-15,01-MAR-15,01-FEB-18,,01-FEB-18,"N","HANCOCK","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57702016,5770,2016,"IN0320000","IN0320000","","Y","N",,"I","HENDRICKS","HENDRICKS CO SO DANVILLE","Hendricks","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",76796,24257,"IN0320000","Hendricks","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","N",43,42,85,2,16,18,0,0,01-JAN-13,01-APR-15,01-APR-15,01-AUG-17,,01-AUG-17,"N","HENDRICKS","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57702016,5770,2016,"IN0320000","IN0320000","","Y","N",,"I","HENDRICKS","HENDRICKS CO SO DANVILLE","Hendricks","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",76796,24257,"IN0320000","Hendricks","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","N",43,42,85,2,16,18,0,0,01-JAN-13,01-APR-15,01-APR-15,01-AUG-17,,01-AUG-17,"N","HENDRICKS","Indianapolis-Carmel-Anderson, IN","Y","N","Y"
58272016,5827,2016,"IN0460000","IN0460000","","N","N",,"I","LA PORTE","LA PORTE CO SO LA PORTE","La Porte","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",46950,27128,"INUCR0001","Indiana State Police","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","N",51,35,86,0,23,23,0,0,01-JAN-13,01-APR-16,01-APR-16,01-FEB-17,,01-FEB-17,"N","LAPORTE","Michigan City-La Porte, IN","Y","Y","Y"
58282016,5828,2016,"IN0460100","IN0460100","","N","N",,"S","LA PORTE","LA PORTE PD","La Porte","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",21891,27128,"INUCR0001","Indiana State Police","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",41,3,44,2,3,5,0,0,01-JAN-13,01-JUL-17,01-JUL-17,01-SEP-17,,01-SEP-17,"N","LAPORTE","Michigan City-La Porte, IN","Y","Y","Y"
58292016,5829,2016,"IN0460200","IN0460200","","N","N",,"S","MICHIGAN CITY","MICHIGAN CITY PD","Michigan City","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",31459,27128,"INUCR0001","Indiana State Police","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","N",81,4,85,7,5,12,0,0,01-JAN-13,01-JAN-17,01-JAN-17,01-AUG-17,,01-AUG-17,"N","LAPORTE","Michigan City-La Porte, IN","Y","Y","Y"
58332016,5833,2016,"IN0460600","IN0460600","","N","N",,"S","WESTVILLE","WESTVILLE PD","Westville","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",5641,27128,"INUCR0001","Indiana State Police","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"L","N",0,0,0,0,0,0,0,0,01-JAN-13,01-MAY-17,01-MAY-17,01-JUL-17,01-JUL-17,01-JUL-17,"N","LAPORTE","Michigan City-La Porte, IN","Y","Y","Y"
58332016,5833,2016,"IN0460600","IN0460600","","N","N",,"S","WESTVILLE","WESTVILLE PD","Westville","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",5641,27128,"INUCR0001","Indiana State Police","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"L","N",0,0,0,0,0,0,0,0,01-JAN-13,01-MAY-17,01-MAY-17,01-JUL-17,01-JUL-17,01-JUL-17,"N","LAPORTE","Michigan City-La Porte, IN","Y","N","Y"
