"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2017,103485783,9,
2017,106235767,10,
2017,106247093,1,
2017,106234869,1,
2017,106248554,10,
2017,103385507,1,
2017,98465289,1,
2017,106236202,1,
2017,96542603,1,
2017,111923439,1,
2017,106660853,1,
2017,106662176,10,
2017,106234697,1,
2017,106236678,9,
2017,103044674,6,
2017,97061873,1,
2017,96542633,1,
2017,98465434,1,
2017,106234642,1,
2017,107063166,8,
2017,103045265,1,
2017,103045258,1,
2017,106661995,10,
2017,106664982,3,
2017,103382135,10,
2017,106241912,1,
2017,106234631,1,
2017,106235356,1,
2017,106660827,1,
2017,106660837,1,
2017,107062669,1,
2017,111932908,1,
2017,103486456,10,
2017,103044576,1,
2017,106660834,1,
2017,106662177,10,
2017,106670455,1,
2017,106234581,10,
2017,106241905,1,
2017,106248551,10,
2017,103385755,9,
2017,106235557,1,
2017,106660840,1,
2017,103382687,1,
2017,106234585,17,
2017,96542587,9,
2017,103045267,1,
2017,106241907,6,
2017,106249570,1,
2017,98465439,1,
2017,96542660,9,
2017,103485252,1,
2017,103485800,1,
2017,103382159,1,
2017,106254258,9,
2017,103486388,10,
2017,107063169,8,
2017,107067290,1,
2017,96542615,6,
2017,103045260,9,
2017,111927604,10,
2017,103484651,2,
2017,106241904,1,
2017,103383402,6,
2017,106662173,10,
2017,106254791,9,
2017,106241915,1,
2017,106241990,1,
2017,107063168,8,
2017,103045353,1,
2017,106254253,10,
2017,107063223,1,
2017,106660849,1,
2017,103484653,2,
2017,106664611,4,
2017,103045269,1,
2017,107068004,1,
2017,104587137,1,
2017,98810161,10,
2017,106249009,1,
2017,107062345,10,
2017,106659241,2,
2017,97703954,2,
2017,98810554,9,
2017,98810209,6,
2017,104568901,10,
2017,98810550,1,
2017,103485123,9,
2017,106251375,1,
2017,105257022,1,
2017,98464894,1,
2017,98465366,1,
2017,107060112,10,
2017,107061972,1,
2017,104584005,1,
2017,106241911,1,
2017,106652122,6,
2017,98810227,6,
2017,106663961,1,
2017,104580718,1,
2017,103486376,6,
2017,106249006,1,
2017,104586409,1,
2017,98810580,1,
2017,107064973,1,
2017,103045379,1,
2017,107066644,1,
2017,97703987,1,
2017,98810327,1,
2017,107063173,1,
2017,98810455,1,
2017,106254169,10,
2017,98810552,9,
2017,98810634,1,
2017,98810635,1,
2017,107066631,1,
2017,106241965,1,
2017,104567621,10,
2017,98810282,9,
