victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,agency_data_year,ff_line_number,age_range_low_num,age_range_high_num
925025,906117,1,4,,,,4,,M,1,2,R,,,,
925017,906109,1,4,,,,4,,M,1,2,R,,,,
925015,906107,1,1,,,,,,,,,,,,,
925014,906106,1,4,,,,4,,M,1,2,R,,,,
925013,906105,1,4,,,,4,,M,1,2,R,,,,
925012,906104,1,4,,,,5,27,F,1,2,R,,,,
925011,906103,1,4,,,,5,46,M,1,2,R,,,,
925010,906102,1,4,,,,5,17,F,1,2,R,,,,
925009,906101,1,4,,,,5,32,F,1,2,R,,,,
925008,906100,1,4,,,,4,,M,1,2,R,,,,
925007,906099,1,3,,,,,,,,,,,,,
925029,906121,1,4,,,,4,,M,1,2,R,,,,
925026,906118,1,4,,,,5,34,M,1,2,N,,,,
925022,906114,1,6,,,,,,,,,,,,,
925021,906113,1,4,,,,5,48,M,1,2,R,,,,
925020,906112,1,4,,,,5,78,M,1,2,R,,,,
925019,906111,1,4,,,,5,29,M,1,2,R,,,,
925018,906110,1,4,,,,5,59,M,1,2,R,,,,
925016,906108,1,4,,,,5,26,M,1,2,N,,,,
925027,906119,1,4,,,,5,30,F,1,2,R,,,,
925024,906116,1,4,,,,5,25,F,1,2,R,,,,
925023,906115,1,4,,,,5,30,F,1,2,R,,,,
925035,906127,1,4,,,,5,51,M,1,2,R,,,,
925034,906126,1,1,,,,,,,,,,,,,
925033,906125,1,1,,,,,,,,,,,,,
925032,906124,1,4,,,,5,27,M,1,2,R,,,,
925031,906123,1,4,,,,4,,F,1,2,R,,,,
925030,906122,1,4,,,,5,51,M,1,2,R,,,,
925028,906120,1,4,,,,5,30,F,1,2,R,,,,
925115,906207,1,8,,,,,,,,,,,,,
925048,906140,1,4,,,,4,,M,1,2,R,,,,
925047,906139,1,4,,,,4,,M,1,2,R,,,,
925046,906138,1,4,,,,5,56,M,1,2,R,,,,
925045,906137,1,4,,,,5,35,M,1,2,N,,,,
925044,906136,1,4,,,,5,35,F,1,2,N,,,,
925043,906135,1,4,,,,5,36,M,1,2,R,,,,
925042,906134,1,4,,,,4,,M,1,2,R,,,,
925041,906133,1,4,,,,4,,M,1,2,N,,,,
925040,906132,1,4,,,,4,,F,1,2,R,,,,
925039,906131,1,4,,,,5,35,M,1,2,R,,,,
925038,906130,1,4,,,,4,,F,1,2,N,,,,
925037,906129,1,1,,,,,,,,,,,,,
925036,906128,1,4,,,,5,37,M,1,2,R,,,,
925058,906150,1,4,,,,4,,F,1,2,R,,,,
925054,906146,1,4,,,,4,,M,1,2,R,,,,
925053,906145,1,4,,,,4,,M,1,2,R,,,,
925052,906144,1,6,,,,,,,,,,,,,
925051,906143,1,4,,,,5,25,M,1,2,R,,,,
925050,906142,1,4,,,,4,,F,1,2,R,,,,
925049,906141,1,1,,,,,,,,,,,,,
925116,906208,1,8,,,,,,,,,,,,,
925073,906165,1,4,,,,4,,F,1,2,R,,,,
925070,906162,1,1,,,,,,,,,,,,,
925065,906157,1,4,,,,5,39,M,1,2,R,,,,
925064,906156,1,4,,,,4,,F,1,2,N,,,,
925063,906155,1,4,,,,4,,F,1,2,R,,,,
925062,906154,1,4,,,,4,,M,1,2,R,,,,
925061,906153,1,4,,,,4,,M,1,2,R,,,,
925060,906152,1,4,,,,4,,M,1,2,R,,,,
925059,906151,1,4,,,,5,29,M,1,2,R,,,,
925057,906149,1,4,,,,4,,M,1,2,R,,,,
925056,906148,1,4,,,,5,83,M,1,2,R,,,,
925055,906147,1,4,,,,4,,M,1,2,R,,,,
925078,906170,1,4,,,,4,,M,1,2,R,,,,
925077,906169,1,4,,,,4,,M,1,2,R,,,,
925076,906168,1,4,,,,4,,M,1,2,R,,,,
925075,906167,1,4,,,,4,,F,1,2,N,,,,
925074,906166,1,4,,,,5,40,M,1,2,R,,,,
925072,906164,1,4,,,,4,,F,1,2,R,,,,
