nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
453938,4439,1,1993,I,,,N,F,,C,1993_01_IA0680000_NIBRS,
472312,4439,2,1993,I,,,N,F,,C,1993_02_IA0680000_NIBRS,
490686,4439,3,1993,I,,,N,F,,C,1993_03_IA0680000_NIBRS,
509060,4439,4,1993,I,,,N,F,,C,1993_04_IA0680000_NIBRS,
527434,4439,5,1993,I,,,N,F,,C,1993_05_IA0680000_NIBRS,
545808,4439,6,1993,I,,,N,F,,C,1993_06_IA0680000_NIBRS,
564182,4439,7,1993,I,,,N,F,,C,1993_07_IA0680000_NIBRS,
582556,4439,8,1993,I,,,N,F,,C,1993_08_IA0680000_NIBRS,
600930,4439,9,1993,I,,,N,F,,C,1993_09_IA0680000_NIBRS,
619304,4439,10,1993,I,,,N,F,,C,1993_10_IA0680000_NIBRS,
637678,4439,11,1993,I,,,N,F,,C,1993_11_IA0680000_NIBRS,
656052,4439,12,1993,I,,,N,F,,C,1993_12_IA0680000_NIBRS,
453939,4440,1,1993,I,,,N,F,,C,1993_01_IA0680100_NIBRS,
472313,4440,2,1993,I,,,N,F,,C,1993_02_IA0680100_NIBRS,
490687,4440,3,1993,I,,,N,F,,C,1993_03_IA0680100_NIBRS,
509061,4440,4,1993,I,,,N,F,,C,1993_04_IA0680100_NIBRS,
527435,4440,5,1993,U,,,N,F,,C,1993_05_IA0680100_NIBRS,
545809,4440,6,1993,U,,,N,F,,C,1993_06_IA0680100_NIBRS,
564183,4440,7,1993,U,,,N,F,,C,1993_07_IA0680100_NIBRS,
582557,4440,8,1993,I,,,N,F,,C,1993_08_IA0680100_NIBRS,
600931,4440,9,1993,U,,,N,F,,C,1993_09_IA0680100_NIBRS,
619305,4440,10,1993,I,,,N,F,,C,1993_10_IA0680100_NIBRS,
637679,4440,11,1993,I,,,N,F,,C,1993_11_IA0680100_NIBRS,
656053,4440,12,1993,I,,,N,F,,C,1993_12_IA0680100_NIBRS,
453925,4423,1,1993,I,,,N,F,,C,1993_01_IA0620000_NIBRS,
472299,4423,2,1993,I,,,N,F,,C,1993_02_IA0620000_NIBRS,
490673,4423,3,1993,I,,,N,F,,C,1993_03_IA0620000_NIBRS,
509047,4423,4,1993,I,,,N,F,,C,1993_04_IA0620000_NIBRS,
527421,4423,5,1993,I,,,N,F,,C,1993_05_IA0620000_NIBRS,
545795,4423,6,1993,I,,,N,F,,C,1993_06_IA0620000_NIBRS,
564169,4423,7,1993,I,,,N,F,,C,1993_07_IA0620000_NIBRS,
582543,4423,8,1993,I,,,N,F,,C,1993_08_IA0620000_NIBRS,
600917,4423,9,1993,I,,,N,F,,C,1993_09_IA0620000_NIBRS,
619291,4423,10,1993,I,,,N,F,,C,1993_10_IA0620000_NIBRS,
637665,4423,11,1993,I,,,N,F,,C,1993_11_IA0620000_NIBRS,
656039,4423,12,1993,I,,,N,F,,C,1993_12_IA0620000_NIBRS,
453926,4424,1,1993,I,,,N,F,,C,1993_01_IA0620100_NIBRS,
472300,4424,2,1993,I,,,N,F,,C,1993_02_IA0620100_NIBRS,
490674,4424,3,1993,I,,,N,F,,C,1993_03_IA0620100_NIBRS,
509048,4424,4,1993,I,,,N,F,,C,1993_04_IA0620100_NIBRS,
