offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
3022623,2655488,0,,,,,,,,
3022622,2655487,0,,,,,,,,
3022621,2655486,0,,,,,,,,
3022620,2655485,1,5,29,M,1,,,,
3022619,2655484,1,5,54,M,1,,,,
3022618,2655483,0,,,,,,,,
3022617,2655482,1,5,43,M,1,,,,
3022616,2655481,0,,,,,,,,
3022615,2655480,0,,,,,,,,
3022614,2655479,1,5,26,M,1,,,,
3022626,2655491,1,5,26,F,1,,,,
3022625,2655490,0,,,,,,,,
3022624,2655489,0,,,,,,,,
3022632,2655496,1,5,32,M,1,,,,
3022631,2655495,0,,,,,,,,
3022630,2655494,0,,,,,,,,
3022629,2655493,2,5,15,M,1,,,,
3022628,2655493,1,5,34,M,1,,,,
3022627,2655492,1,5,29,M,1,,,,
3022649,2655511,0,,,,,,,,
3022633,2655497,1,5,39,M,1,,,,
3022642,2655505,0,,,,,,,,
3022638,2655501,0,,,,,,,,
3022636,2655500,1,5,19,M,1,,,,
3022637,2655500,2,5,17,M,1,,,,
3022635,2655499,0,,,,,,,,
3022634,2655498,0,,,,,,,,
3022650,2655512,0,,,,,,,,
3022648,2655510,0,,,,,,,,
3022647,2655509,0,,,,,,,,
3022646,2655508,0,,,,,,,,
3022645,2655507,2,5,23,M,1,,,,
3022644,2655507,1,5,26,F,1,,,,
3022643,2655506,1,5,27,M,1,,,,
3022641,2655504,0,,,,,,,,
3022640,2655503,0,,,,,,,,
3022639,2655502,0,,,,,,,,
3022660,2655522,0,,,,,,,,
3022659,2655521,0,,,,,,,,
3022658,2655520,0,,,,,,,,
3022655,2655517,0,,,,,,,,
3022654,2655516,0,,,,,,,,
3022653,2655515,0,,,,,,,,
3022652,2655514,0,,,,,,,,
3022651,2655513,0,,,,,,,,
3022664,2655526,0,,,,,,,,
3022663,2655525,0,,,,,,,,
3022662,2655524,0,,,,,,,,
3022661,2655523,0,,,,,,,,
3022657,2655519,0,,,,,,,,
3022656,2655518,1,4,,M,1,,,,
