victim_id,offense_id
3421175,3479556
3421174,3479555
3421176,3479557
3421177,3479558
3421173,3479554
3421172,3479553
3421178,3479559
3421180,3479561
3421179,3479560
3421196,3479575
3421183,3479564
3421184,3479564
3421185,3479564
3421215,3479593
3421214,3479592
3421213,3479591
3421212,3479590
3421211,3479589
3421208,3479587
3421208,3479588
3421209,3479587
3421209,3479588
3421210,3479587
3421210,3479588
3421207,3479586
3421206,3479585
3421205,3479583
3421205,3479584
3421204,3479582
3421203,3479581
3421202,3479581
3421201,3479580
3421200,3479579
3421199,3479578
3421198,3479577
3421197,3479576
3421195,3479574
3421194,3479573
3421193,3479572
3421192,3479571
3421191,3479570
3421190,3479569
3421189,3479568
3421188,3479567
3421187,3479566
3421186,3479565
3421182,3479563
3421181,3479562
3415779,3474075
3415778,3474074
3415775,3474073
3415776,3474073
3415777,3474073
3415774,3474072
3415773,3474070
3415773,3474071
3415772,3474068
3415772,3474069
3415771,3474067
3415770,3474066
3415769,3474065
3415761,3474056
3415761,3474057
3415760,3474055
3415828,3474104
3415814,3474093
3415813,3474092
3415812,3474091
3415811,3474090
3415810,3474089
3415809,3474088
3415808,3474087
3415807,3474086
3415806,3474085
3415805,3474084
3415804,3474083
3415803,3474082
3415799,3474081
3415800,3474081
3415801,3474081
3415802,3474081
3415798,3474080
3415797,3474079
3415796,3474078
3415795,3474077
3415780,3474076
3415781,3474076
3415782,3474076
3415783,3474076
3415784,3474076
3415785,3474076
3415786,3474076
3415787,3474076
3415788,3474076
3415789,3474076
3415790,3474076
3415791,3474076
3415792,3474076
3415793,3474076
3415794,3474076
3415842,3474119
3415841,3474118
3415840,3474117
3415839,3474116
3415838,3474115
3415837,3474114
3415836,3474113
3415835,3474112
3415834,3474110
3415834,3474111
3415833,3474109
3415832,3474108
3415831,3474107
3415830,3474106
3415829,3474105
3415827,3474103
3415826,3474101
3415826,3474102
3415825,3474100
3415824,3474099
3415823,3474098
3415822,3474097
3415821,3474096
3415818,3474095
3415819,3474095
3415820,3474095
3415816,3474095
3415817,3474095
3415815,3474094
3415768,3474064
3415767,3474063
3415766,3474062
3415991,3474270
3415905,3474182
3415902,3474179
3415893,3474170
3415873,3474150
3415871,3474147
3415862,3474140
3415861,3474139
3415860,3474138
3415859,3474137
3415858,3474136
3415857,3474135
3415856,3474133
3415856,3474134
3415855,3474131
3415855,3474132
3415853,3474130
3415854,3474130
3415852,3474129
3415851,3474128
3415850,3474127
3415849,3474126
3415848,3474125
3415847,3474124
3415846,3474123
3415845,3474122
3415844,3474121
3415843,3474120
3415763,3474059
3415762,3474058
3415891,3474168
3415885,3474162
3415884,3474161
3415883,3474160
3415882,3474159
3415881,3474158
3415880,3474157
3415879,3474156
3415878,3474155
3415877,3474154
3415876,3474153
3415875,3474152
3415874,3474151
3415872,3474148
3415872,3474149
3415868,3474146
3415869,3474146
3415870,3474146
3415867,3474145
3415866,3474144
3415865,3474143
3415864,3474142
3415863,3474141
3415764,3474060
3415997,3474276
3415907,3474184
3415906,3474183
3415904,3474181
3415903,3474180
3415901,3474178
3415900,3474177
3415899,3474176
3415898,3474175
3415897,3474174
3415896,3474173
3415895,3474172
3415894,3474171
3415892,3474169
3415890,3474167
3415889,3474166
3415888,3474165
3415887,3474164
3415886,3474163
3415936,3474213
3415924,3474201
3415923,3474200
3415922,3474199
3415921,3474198
3415920,3474197
3415919,3474196
3415918,3474195
3415917,3474194
3415916,3474193
3415915,3474192
3415914,3474191
3415913,3474190
3415912,3474189
3415911,3474188
3415910,3474187
3415909,3474186
3415908,3474185
3415973,3474251
3415968,3474246
3415941,3474218
3415940,3474217
3415939,3474216
3415938,3474215
3415937,3474214
3415935,3474212
3415934,3474211
3415933,3474210
3415932,3474209
3415931,3474208
3415930,3474207
3415929,3474206
3415928,3474205
3415927,3474204
3415926,3474203
3415925,3474202
3415961,3474238
3415961,3474239
3415960,3474237
3415959,3474236
3415958,3474235
3415957,3474234
3415956,3474233
3415955,3474232
3415954,3474230
3415954,3474231
3415953,3474229
3415952,3474228
3415951,3474227
3415950,3474226
3415949,3474225
3415948,3474224
3415947,3474223
3415945,3474222
3415946,3474222
3415944,3474221
3415943,3474220
3415942,3474219
3415765,3474061
3415972,3474250
3415971,3474249
3415970,3474248
3415965,3474243
3415964,3474242
3415963,3474241
3415962,3474240
3416006,3474285
3416001,3474280
3415998,3474277
3415996,3474275
3415995,3474274
3415994,3474273
3415993,3474272
3415992,3474271
3415990,3474269
3415989,3474267
3415989,3474268
3415988,3474266
3415987,3474265
3415986,3474264
3415985,3474263
3415984,3474262
3415983,3474261
3415982,3474260
3415981,3474259
3415980,3474258
3415979,3474257
3415978,3474256
3415977,3474255
3415976,3474254
3415975,3474253
3415974,3474252
3415969,3474247
3415967,3474245
3415966,3474244
3416008,3474287
3416007,3474286
3416005,3474284
3416004,3474283
3416003,3474282
3416002,3474281
3416000,3474279
3415999,3474278
3416012,3474291
3416011,3474290
3416010,3474289
3416009,3474288
3416340,3474612
3416069,3474342
3416068,3474341
3416067,3474340
3416066,3474339
3416065,3474338
3416064,3474336
3416060,3474336
3416060,3474337
