weapon_id,offense_id,nibrs_weapon_id
12,4372528,957279
20,4372547,957310
20,4372546,957309
20,4372545,957308
12,4372577,957314
12,4372575,957313
12,4372565,957312
12,4372557,957311
12,4372619,957348
3,4372618,957347
12,4372617,957346
12,4372611,957345
12,4372600,957316
12,4372597,957315
12,4372689,957389
19,4372670,957354
12,4372669,957353
10,4372666,957352
12,4372665,957351
12,4372664,957350
12,4372663,957349
9,4372690,957390
12,4372750,956835
4,4372737,957395
5,4372737,1162785
12,4372735,957394
20,4372734,957393
12,4372732,957392
12,4372723,957391
12,4372770,956837
12,4372764,956836
10,4372796,956839
12,4372792,956838
10,4372831,956871
12,4372822,956870
12,4372814,956841
11,4372806,956840
9,4373531,957085
12,4372876,956878
12,4372873,956877
20,4372859,956876
12,4372855,956875
12,4372853,956874
12,4372844,956873
12,4372842,956872
12,4372937,956917
12,4372929,956916
12,4372926,956915
18,4372924,956914
12,4372923,956913
11,4372918,956912
12,4372916,956911
12,4372915,956910
12,4372905,956909
12,4372902,956908
9,4372901,956907
12,4372900,956906
12,4372899,956905
12,4372893,956904
18,4372891,956903
12,4372882,956880
12,4372880,956879
10,4372994,956955
12,4372990,956954
12,4372988,956953
12,4372986,956952
12,4372985,956951
12,4372979,956950
12,4372968,956949
10,4372965,956948
12,4372963,956947
12,4372947,956920
12,4372944,956919
12,4372943,956918
12,4373049,956992
12,4373048,956991
12,4373047,956990
12,4373046,956989
12,4373040,956988
12,4373039,956987
12,4373036,956986
3,4373034,956985
9,4373029,956960
12,4373027,956959
12,4373009,956958
10,4373005,956957
12,4372998,956956
12,4373116,957114
12,4373112,957113
12,4373111,957112
12,4373110,957111
12,4373107,957110
12,4373105,956999
12,4373104,956998
12,4373084,956997
12,4373082,956996
12,4373075,956995
12,4373072,956994
12,4373069,956993
12,4373180,957243
19,4373177,957124
12,4373171,957123
12,4373164,957122
12,4373163,957121
12,4373162,957120
12,4373158,957119
12,4373152,957118
12,4373140,957117
20,4373135,957116
12,4373125,957115
12,4373259,957053
12,4373252,957052
12,4373250,957051
12,4373249,957256
12,4373247,957255
12,4373244,957254
12,4373235,957253
12,4373234,957252
12,4373233,957251
9,4373231,957250
12,4373222,957249
12,4373220,957248
12,4373212,957247
2,4373202,957246
12,4373195,957245
12,4373192,957244
12,4373332,957163
12,4373329,957162
12,4373328,957161
12,4373322,957160
20,4373319,957063
12,4373301,957062
22,4373297,957060
22,4373298,957061
12,4373283,957059
12,4373282,957058
22,4373272,957057
9,4373272,1162783
12,4373267,957056
12,4373266,957055
12,4373263,957054
12,4373390,957175
12,4373387,957174
12,4373386,957173
3,4373377,957172
12,4373370,957171
9,4373370,1162784
11,4373369,957170
12,4373362,957168
12,4373363,957169
9,4373352,957167
18,4373348,957166
12,4373345,957165
18,4373338,957164
20,4373534,957087
12,4373474,957079
20,4373473,957078
12,4373468,957077
12,4373457,957291
12,4373449,957290
12,4373443,957289
12,4373442,957288
12,4373434,957287
12,4373426,957286
12,4373420,957285
12,4373418,957284
18,4373417,957283
12,4373415,957282
12,4373414,957281
12,4373413,957280
12,4373532,957086
12,4373510,957084
12,4373502,957083
12,4373495,957082
12,4373488,957081
12,4373487,957080
12,4373599,957210
12,4373598,957209
12,4373576,957204
12,4373566,957203
12,4373559,957202
12,4373557,957201
12,4373555,957200
12,4373606,957212
12,4373592,957207
12,4373591,957206
12,4373589,957205
12,4373609,957317
12,4373601,957211
12,4373597,957208
12,4373659,957323
5,4373658,957322
12,4373653,957321
