victim_id,injury_id
14663723,5
14663724,5
14663752,4
14663753,4
14663770,4
14663781,4
14663782,4
14663788,4
14663806,4
14663807,4
14663817,4
14663828,4
14663830,3
14663830,4
14663853,4
14663854,4
14663861,4
14663845,4
14663870,4
14663873,5
14663876,3
14663890,4
14663891,5
14663900,4
14663907,4
14663913,4
14663914,4
14663919,4
14663924,5
14663939,4
14657983,4
14658005,4
14657989,5
14657990,4
14657999,5
14658000,5
14658007,4
14658008,4
14658009,5
14658013,5
14658014,5
14658019,5
14658021,5
14658035,4
14658040,5
14658027,4
14658046,4
14658053,5
14658055,4
14658061,4
14658068,4
14658070,4
14658071,4
14658077,4
14658081,4
14658082,4
14658084,4
14658088,4
14658090,4
14658091,5
14658097,4
14658104,5
14658111,5
14658121,4
14658122,5
14658123,5
14658124,4
14658130,4
14658137,4
14658149,5
14658155,4
14658161,4
14658164,5
14658168,5
14658169,4
14658172,5
14658183,4
14658184,4
14658203,5
14658205,5
14658206,4
14658209,4
14658213,4
14658214,4
14658215,4
14658217,4
14658224,5
14658225,5
14658226,4
14658228,5
14658443,4
14658235,3
14658235,4
14658237,4
14658240,5
14658241,4
14658243,4
14658244,4
14658252,5
14658255,4
14658255,8
14658256,4
14658257,5
14658262,5
14658263,4
14658878,5
14658280,4
14658285,5
14658287,5
14658290,4
14658293,5
14658297,5
14658307,5
14658308,4
14658315,5
14658321,4
14658342,4
14658343,4
14658344,4
14658348,5
14658350,4
14658356,5
14658357,5
14658359,5
14658369,5
14658371,5
14658377,4
14658386,4
14658394,4
14658395,4
14658401,4
14658448,4
14658489,5
14658406,5
14658410,5
14658411,5
14658413,5
14658414,5
14658416,4
14658424,1
14658426,4
14658427,5
14658429,4
14658464,4
14658470,4
14658471,4
14658474,4
14658479,5
14658480,5
14658490,4
14658499,5
14658500,5
14658523,4
14658524,4
14658526,5
14658534,4
14658539,4
14658546,1
14658546,4
14658546,8
14658555,4
14658559,4
14658560,4
14658562,4
14658566,5
14658575,4
14658578,5
14658583,4
14658588,4
14658597,5
14658650,5
14658651,5
14658652,5
14658653,5
14658709,5
14658607,5
14658612,5
14658615,5
14658626,5
14658636,4
14658644,4
14658648,5
14658671,4
14658672,4
14658684,5
14659014,5
14658696,5
14658697,5
14658701,4
14658710,5
14658712,4
14658714,4
14658720,4
14658721,5
14658731,3
14658733,5
14658745,4
14658749,4
14658750,4
14658758,4
14658763,4
14658768,4
14658780,5
14658799,4
14658801,4
14658804,5
14658807,4
14658808,5
14658811,4
14658812,4
14658813,4
14658814,5
14658827,4
14658829,5
14658833,4
14658835,5
14658836,5
14658840,4
14658848,5
14658852,4
14658883,5
14658912,5
14658919,5
14658920,5
14658921,5
14658922,5
14658857,5
14658858,4
14658865,5
14658928,5
14658986,5
14658940,5
14658954,4
14658955,5
14658976,5
14658984,4
14659049,4
14659054,4
14659055,4
14659056,4
14659082,4
14659093,6
14659096,4
14659098,4
14659105,4
14659110,4
14659114,4
14659116,4
14659118,4
14659119,4
14659122,4
14659123,4
14659130,5
14659131,5
14659162,4
14659151,4
14659156,4
14659166,4
14659167,4
14659168,4
14659177,4
14659178,4
14659185,4
14659187,4
14659188,4
14659196,7
14659198,3
14659200,4
14659203,4
14659212,4
14659214,4
14659216,4
14659217,4
14659241,4
14659244,4
14659249,4
14659258,3
14659258,6
14659268,4
14659272,4
14659275,4
14659280,4
14659283,4
14659295,4
14659296,4
14659297,4
14659298,5
14659339,5
14659340,5
14659342,4
14659343,4
14659345,6
14659347,4
14659351,4
14659358,4
14659375,5
14659377,5
14659388,4
14659390,4
14659391,5
14659396,3
14659400,4
14659432,4
14659401,5
14659402,5
14659403,5
14659404,5
14659407,4
14659413,5
14659420,4
14659421,5
14659424,4
14659425,4
14659428,4
14659434,4
14659439,4
14659444,4
14659448,4
14659450,4
14659461,5
14659464,5
14659484,8
14659485,5
14659488,4
14659491,4
14659628,4
14659666,4
14659610,4
14659529,4
14659531,4
14659517,4
14659541,4
14659542,4
14659546,4
14659559,4
14659562,4
14659563,4
14659564,4
14659566,4
14659575,8
14659597,4
14659612,5
14659613,5
14659634,4
14659636,4
14659640,4
14659644,4
14659657,4
14659658,4
14659667,4
14659672,4
14659682,4
14659686,4
14659690,5
14659692,4
14659895,4
14659700,4
14659710,4
14659718,4
14659747,4
14659757,4
14659762,4
14659763,4
14659766,4
14659782,4
14659790,4
14659791,4
14659800,4
14659803,4
14659813,4
14659823,4
14659842,4
14659869,4
14659871,4
14659872,4
14659876,4
14659925,4
14659941,4
14659952,4
14659961,4
14659964,4
14659975,5
14659995,4
14660002,4
14660054,4
14660019,5
14660018,5
14660027,4
14660032,4
14660038,4
14660048,5
14660058,4
14660064,4
14660067,5
14660085,4
14660087,4
14660088,4
14660094,5
14660103,4
14660108,4
14660109,4
14660109,6
14660110,6
14660114,4
14660117,4
14660133,4
14660134,4
14660138,3
14660139,5
14660150,4
14660153,5
14660164,5
14660173,5
14660174,5
14660180,5
14660185,4
14660205,5
14660204,5
14660207,4
14660233,5
14660227,4
14660231,5
14660241,5
14660320,5
14660321,5
14661767,5
14661088,4
14661807,5
14661819,5
14662490,4
14662515,4
14662563,1
14662563,4
14660409,4
14660423,5
14660431,5
14661827,4
14661903,4
14662628,4
14661531,4
14661969,4
14662321,4
14662329,5
14662330,5
14662713,4
14662716,4
14661636,4
14662026,4
14661724,4
14661402,5
14660770,5
14661446,4
14661447,4
14661455,5
14661465,4
14661467,1
14661470,5
14661471,5
14661472,4
14661474,4
14661476,4
14661504,4
14661505,5
14661524,4
14660886,5
14660526,4
14661608,5
14660593,4
14661527,5
14661535,4
14661543,4
14661546,5
14661550,5
14661551,5
14661554,4
14661556,5
14661561,5
14661560,5
14661564,5
14661565,4
14661568,5
14661581,4
14661582,5
14661595,4
14661605,4
14661615,5
14661621,5
14661624,4
14661626,5
14661637,4
14661639,5
14661640,5
14661641,5
14661653,5
14661659,5
14661660,4
14661678,4
14661681,5
14661680,5
14661682,5
14661693,5
14661694,5
14661698,4
14661711,4
14661711,8
14661718,4
14661730,4
14661734,4
14661741,5
14661765,4
14661786,4
14661788,6
14661795,3
14661795,4
14661818,4
14661820,5
14661821,5
14661831,5
14661833,4
14661833,6
14661843,5
14661846,4
14661863,5
14661866,5
14661867,5
14661868,5
14661872,4
14661882,5
14661886,4
14661888,4
14661889,4
14661891,5
14661893,5
14661895,4
14661896,7
14661897,4
14661905,5
14661907,4
14661719,4
14662120,5
14662121,5
14661916,4
14661936,4
14661945,4
14661949,4
14661956,5
14661957,5
14661976,4
14661984,5
14661985,4
14661990,4
14662007,4
14662008,5
14662010,5
14662014,4
14662028,4
14662045,5
14662047,5
14662049,5
14662050,4
14662079,5
14662082,4
14662138,4
14662195,5
14662196,5
14662198,5
14662211,4
14662220,4
14662233,4
14662240,4
14662242,5
14662247,4
14662253,4
14662255,5
14662268,4
14662272,5
14662274,5
14662281,4
14662290,4
14662295,5
14662302,4
14662309,4
14662319,4
14662322,4
14662337,4
14662340,4
14662346,5
14662350,4
14662352,5
14662369,1
14662489,5
14662494,5
14662495,4
14662497,4
14662509,4
14662512,4
14662521,5
14662522,4
14662530,4
14662539,5
14662544,5
14662550,5
14662555,4
14662559,4
14662579,4
14662588,5
14662593,5
14662596,4
14662602,4
14662608,4
14662611,4
14662619,4
14662359,5
14662365,4
14662372,5
14662387,5
14662394,4
14662404,5
14662411,4
14662414,2
14662414,3
14662414,4
14662418,4
14662427,5
14662438,4
14662444,4
14662455,4
14662461,5
14662464,1
14662468,4
14662469,4
14662478,3
14662481,4
14660284,5
14660286,5
14660288,5
14660291,5
14660294,5
14660318,4
14660347,5
14660349,4
14660355,5
14660375,5
14660382,5
14660386,4
14660388,3
14660392,5
14660398,5
14660402,5
14660411,4
14660413,4
14660424,4
14660425,4
14660426,5
14660429,4
14660433,5
14660443,4
14662675,5
14662677,5
14662693,4
14662700,5
14662701,4
14660704,5
14660703,4
14660438,4
14660461,5
14660462,4
14660463,4
14660466,4
14660468,5
14660469,4
14660471,4
14660496,5
14660510,6
14660511,5
14660513,5
14660515,4
14660516,4
14660520,4
14660537,5
14660545,4
14660554,4
14660565,5
14660570,5
14660605,4
14660612,5
14660616,5
14660618,4
14660622,4
14660640,5
14660648,6
14660652,5
14660654,5
14660668,5
14660679,5
14660680,5
14660685,4
14660691,4
14660693,4
14660697,5
14660700,4
14660701,4
14660728,4
14660734,4
14660738,4
14660745,4
14660758,4
14660764,5
14660769,5
14660771,4
14660773,4
14660774,5
14660779,1
14660782,4
14660799,5
14660823,5
14660842,4
14660850,5
14660890,5
14660895,4
14660897,5
14660902,4
14660905,5
14660913,5
14660919,4
14660922,5
14660939,5
14660940,5
14660948,2
14660986,5
14660992,5
14661097,5
14661098,4
14661105,4
14661107,5
14661126,5
14661132,4
14661144,4
14661146,4
14661159,5
14661177,4
14661202,5
14661203,4
14661204,4
14661205,4
14661210,5
14661213,4
14661002,5
14661006,5
14661010,5
14661045,5
14661050,5
14661052,4
14661068,5
14661073,5
14661346,4
14661349,4
14661351,4
14661372,4
14661373,5
14661375,4
14661380,5
14661390,5
14661396,4
14661397,4
14661416,5
14661423,4
14661424,5
14661430,4
14661432,5
14661440,4
14661242,5
14661245,5
14661259,5
14661261,4
14661280,4
14661286,5
14661293,5
14661295,4
14661303,5
14661312,5
14661322,4
14662726,4
14662730,4
14662731,4
14662732,4
14662736,5
14662738,4
14662785,5
14662744,4
14662746,5
14662748,5
14662749,5
14662750,5
14662751,5
14662752,4
14662756,5
14662757,4
14662770,5
14662773,4
14662775,4
14662776,5
14662777,5
14662782,5
14662783,5
14662784,5
14662790,5
14662791,5
14662799,5
14662803,4
14662826,5
14662827,5
14662829,5
14662832,5
14662833,5
14662834,5
14662835,4
14662838,5
14662840,4
14662844,4
14662845,5
14662846,5
14662849,4
14662852,4
14662855,5
14662856,5
14662857,5
14662858,4
14662870,5
14662876,4
14662881,4
14662885,4
14662887,4
14662894,4
14662893,4
14662904,4
14662910,4
14662922,4
14662931,4
14662941,4
14662946,6
14662953,4
14662954,4
14662957,4
14662959,4
14662987,5
14662989,4
14663187,5
14662998,5
14663005,4
14663007,5
14663052,4
14663061,4
14663074,4
14663076,5
14663078,5
14663086,4
14663087,5
14663089,4
14663099,4
14663137,4
14663158,4
14663159,4
14663162,4
14663234,4
14663259,5
14663209,4
14663212,4
14663215,5
14663219,4
14663224,4
14663334,5
14663336,4
14663337,4
14663293,4
14663350,4
14663298,5
14663299,4
14663302,5
14663307,4
14663308,4
14663310,4
14663313,4
14663314,4
14663393,4
14663423,4
14663440,4
14663451,4
14663455,4
14663463,4
14663465,4
14663371,5
14663468,3
14663471,5
14663358,8
14663354,4
14663355,4
14663356,4
14663357,4
14663478,3
14663480,4
14663487,4
14663490,4
14663505,4
14663506,4
14663512,4
14663515,4
14663566,4
14663567,4
14663579,4
14663584,4
14663594,4
14663608,4
14663618,4
14663632,4
14663637,4
14663638,4
14663639,4
14663652,4
14663664,4
14663668,4
14663682,4
14663685,4
14663686,4
14663687,4
14663688,4
14663696,4
14663998,5
14664003,4
14664006,4
14664008,4
14664015,5
14664022,5
14664023,5
14664024,4
14664025,5
14664033,5
14664040,5
14664045,4
14664046,4
14664047,4
14664077,5
14664076,4
14664079,5
14664106,4
14664111,4
14664120,5
14664125,4
14664127,4
14664129,4
14664131,5
14664138,4
14664143,5
14664157,4
14664163,4
14664164,4
14664165,4
14664168,4
14664170,4
14664179,4
14664212,3
14664214,4
14664225,4
14664226,4
14664227,5
14664237,4
14664238,4
14664242,5
14664247,5
14664248,4
14664253,4
14664254,4
14664274,4
14664290,4
14664295,4
14664298,4
14664300,4
14664302,5
14664305,4
14664309,5
14664312,4
14664277,4
14664322,4
14664325,5
14664328,4
14664331,4
14664342,5
14664344,4
14664350,4
14664353,5
14664355,4
14664358,4
14664369,4
14664371,5
14664373,4
14664390,5
14664392,5
14664399,4
14664402,5
14664406,4
14664417,4
14664423,5
14664436,4
14664440,5
14664442,4
14664443,4
14664450,4
14664451,5
14664456,4
14664457,5
14664471,4
14664473,4
14664478,4
14664503,5
14664504,4
14664521,4
14664523,4
14664529,4
14664541,4
14664545,4
14664557,3
14664582,4
14664585,5
14664587,4
14664593,4
14664600,3
14664600,7
14664600,8
14664606,3
14664610,5
14664613,4
14664617,4
14664633,4
14664647,4
14664651,5
14664652,4
14664660,4
14664661,1
14664661,4
14664671,4
14664674,4
14664686,4
14664695,4
14664697,4
14664707,5
14664713,4
14664714,4
14664715,5
14664716,5
14664720,5
14664726,4
14664730,5
14664731,4
14664732,5
14664733,5
14664734,5
14664748,4
14664775,4
14664780,4
14664781,4
14664791,4
14664797,4
14664799,5
14664800,5
14664802,5
14664803,5
14664804,4
14664805,5
14664806,4
14664807,5
14664809,4
14664811,4
14664814,4
14664816,4
14664817,5
14664818,5
14664819,5
14664824,5
14664831,5
14664836,2
14664836,4
14664841,5
14664843,4
14664853,5
14664854,4
14664862,5
14664864,4
14664866,4
14664869,4
14664870,4
14664873,4
14664877,4
14664880,4
14664886,4
14664887,4
14664894,4
14664908,5
14664913,4
14664918,4
14664923,4
14664975,5
14664976,5
14664987,4
14664945,5
14664946,4
14664955,5
14664966,5
14664982,4
14664988,5
14665010,5
14665012,4
14665016,5
14665017,5
14665020,4
14665022,4
14665028,4
14665033,4
14665038,4
14665049,4
14665050,4
14665059,4
14665069,5
14665084,4
14665085,2
14665089,4
14665099,4
14665102,5
14665103,5
14665116,4
14665118,4
14665121,4
14665123,5
14665126,4
14665129,4
14665132,4
14665133,4
14665135,4
14665137,4
14665147,4
14665148,4
14665152,5
14665155,5
14665156,4
14665157,4
14665160,5
14665169,5
14665171,5
14665172,5
14665173,4
14665174,3
14665175,3
14665176,5
14665178,5
14665180,5
14665181,5
14665183,5
14665203,5
14665207,3
14665208,2
14665208,3
14665211,5
14665217,4
14665234,4
14665243,4
14665244,3
14665252,4
14665255,4
14665267,5
14665268,5
14665270,4
14665348,4
14665350,5
14665352,5
14665364,4
14665365,5
14665371,4
14665377,4
14665395,4
14665399,4
14665417,5
14665423,4
14665428,4
14665429,4
14665283,5
14665287,4
14665290,5
14665292,4
14665293,4
14665299,5
14665304,5
14665303,5
14665313,4
14665318,4
14665322,4
14665323,4
14665324,4
14665328,4
14665332,5
14665334,2
14665334,4
14665607,5
14665609,4
14665614,4
14665615,4
14665616,4
14665434,4
14665435,5
14665436,4
14665444,4
14665448,5
14665449,4
14665450,4
14665454,4
14665455,4
14665456,4
14665459,5
14665464,4
14665466,5
14665474,5
14665479,4
14665480,4
14665482,5
14665483,4
14665491,5
14665492,5
14665504,5
14665509,4
14665517,5
14665519,5
14665528,5
14665548,5
14665551,4
14665552,4
14665555,4
14665557,4
14665563,4
14665564,4
14665567,4
14665568,4
14665572,4
14665575,4
14665576,4
14665581,4
14665583,4
14665588,5
14665591,4
14665595,5
14665605,5
14665619,4
14665625,1
14665627,4
14665633,4
14665637,4
14665640,2
14665644,5
14665647,4
14665660,4
14665663,5
14665668,5
14665669,4
14665671,7
14665675,4
14665676,5
14665677,4
14665690,5
14665691,5
14665697,4
14665707,4
14665708,1
14665711,5
14665712,5
14665721,4
14665724,4
14665739,4
14665745,4
14665746,4
14665748,4
14665759,4
14665760,4
14665763,4
14665764,5
14665768,4
14665773,5
14665774,4
14665780,4
14665788,5
14665790,4
14665809,2
14665809,4
14665811,4
14665813,5
14665816,4
14665818,4
14665823,5
14665827,4
14665836,4
14665845,4
14665848,4
14665849,4
14665850,3
14665852,5
14665857,1
14665874,4
14665877,4
14665880,4
14665889,4
14665894,4
14665902,4
14665906,4
14665909,7
14665911,5
14665912,5
14665917,4
14665918,5
14665919,4
14665970,4
14665979,5
14665980,5
14665983,4
14665985,5
14665987,5
14665988,5
14665991,4
14666002,4
14666003,5
14666005,4
14666011,4
14666015,4
14666016,4
14666019,5
14666021,5
14666027,5
14666029,5
14666030,4
14666031,4
14666048,4
14666056,5
14666068,5
14666069,4
14666077,5
14666080,4
14666082,5
14666083,4
14666098,4
14666100,5
14666101,4
14666102,4
14665933,5
14665935,5
14665937,4
14665944,4
14665948,4
14665959,5
14665962,4
14665964,5
14666112,5
14666115,5
14666118,4
14666134,5
14666139,4
14666151,5
14666153,4
14666175,5
14666181,5
14666186,5
14666189,4
14666193,5
14666196,5
14666202,4
14666208,5
14666211,3
14666213,4
14666215,5
14666222,4
14666225,4
14666227,4
14666241,4
14666243,5
14666247,4
14666250,4
14666257,4
14666259,4
14666265,5
14666276,5
14666281,5
14666287,5
14666294,4
14666295,4
14666338,5
14666341,4
14666342,4
14666345,2
14666347,4
14666352,4
14666358,5
14666360,5
14666363,4
14666367,4
14666368,4
14666369,5
14666377,4
14666378,4
14666383,4
14666388,5
14666390,5
14666391,5
14666393,4
14666397,4
14666398,5
14666401,5
14666406,4
14666406,6
14666407,4
14666414,5
14666415,4
14666416,4
14666417,4
14666427,4
14666431,5
14666433,4
14666438,5
14666440,3
14666441,4
14666445,3
14666446,4
14666452,5
14666453,4
14666298,4
14666300,4
14666302,5
14666306,4
14666305,4
14666308,4
14666310,4
14666311,4
14666312,4
14666307,3
14666309,1
14666330,4
14666331,5
14666333,5
14666334,5
14666456,5
14666459,5
14666461,4
14666463,5
14666472,5
14666477,5
14666487,4
14666496,4
14666497,4
14666499,4
14666502,4
14666504,4
14666507,4
14666510,5
14666520,5
14666532,5
14666541,4
14666546,5
14666548,5
14666550,5
14666563,4
14666565,4
14666571,4
14666584,4
14666585,4
14666588,5
14666596,4
14666597,4
14666598,4
14666599,5
14666604,5
14666607,4
14666619,4
14666620,5
14666629,6
14666630,1
14666630,2
14666630,3
14666630,6
14666630,8
14666631,2
14666631,6
14666633,4
14666638,5
14666644,5
14666643,4
14666704,5
14666710,5
14666717,4
14666724,5
14666727,4
14666728,5
14666732,8
14666733,4
14666750,4
14666753,4
14666754,4
14666772,5
14666776,4
14666777,5
14666781,4
14666789,4
14666790,4
14666793,5
14666795,4
14666809,5
14666653,5
14666656,7
14666657,4
14666659,4
14666663,4
14666666,5
14666673,4
14666680,5
14666692,2
14666692,4
14666692,7
14666702,4
14666703,5
14666811,3
14666817,5
14666818,4
14666822,4
14666824,4
14666827,5
14666832,5
14666841,4
14666844,5
14666845,5
14666867,4
14666873,5
14666876,4
14666891,4
14666901,5
14666902,4
14666903,4
14666914,4
14666931,4
14666932,4
14666939,4
14666986,5
14666987,5
14666954,4
14666974,4
14631397,5
14631398,4
14631403,4
14631404,4
14631401,4
14631413,4
14631417,4
14631420,5
14631428,4
14631434,4
14631436,4
14631438,5
14631440,5
14631448,4
14631459,5
14631341,4
14631383,5
14631345,4
14631362,5
14631371,4
14631714,5
14631743,4
14631747,5
14631765,4
14631807,4
14631825,4
14631826,4
14631869,5
14631873,4
14631874,5
14631876,5
14631883,4
14631835,5
14631836,5
14631841,5
14631843,5
14631894,5
14631899,4
14631907,4
14631911,4
14631923,4
14631948,4
14631954,5
14631955,4
14631960,4
14631972,4
14631934,4
14631977,5
14631995,5
14631996,4
14632009,4
14632023,4
14632035,4
14632049,5
14632057,4
14632060,5
14632078,5
14632085,4
14631481,4
14631482,5
14631485,5
14631487,5
14631620,4
14632063,5
14632096,5
14632104,4
14631708,5
14631495,4
14631498,5
14631500,5
14631503,4
14631527,5
14631533,4
14631551,4
14631559,4
14631565,4
14631577,4
14631592,4
14631591,4
14631599,5
14631604,4
14631607,4
14631610,4
14631611,4
14631612,5
14631616,5
14631618,4
14631625,5
14631630,5
14631638,4
14631640,5
14631645,5
14631650,5
14631679,5
14631680,5
14631687,4
14631688,4
14631695,4
14631696,4
14631697,4
14631656,5
14631668,4
14631669,5
14632307,5
14632140,4
14632143,4
14632146,4
14632149,4
14632150,5
14632154,4
14632157,4
14632160,4
14632170,4
14632173,4
14632175,4
14632176,5
14632177,5
14632178,4
14632179,8
14632180,5
14632185,4
14632186,5
14632187,5
14632188,4
14632192,4
14632193,4
14632194,5
14632207,5
14632208,4
14632210,5
14632212,5
14632225,5
14632226,4
14632232,5
14632240,5
14632241,5
14632242,5
14632200,4
14632257,5
14632259,5
14632260,5
14632263,5
14632264,5
14632269,2
14632269,6
14632270,4
14632273,4
14632276,4
14632277,4
14632278,5
14632281,5
14632280,5
14632282,5
14632288,4
14632290,4
14632293,4
14632299,4
14632305,5
14632313,5
14632314,5
14632319,4
14632321,5
14632322,4
14632337,5
14632370,6
14632374,4
14632375,4
14632387,5
14632324,4
14632328,4
14632329,5
14632330,4
14632334,4
14632340,5
14632343,5
14632345,4
14632348,4
14632351,4
14632352,5
14632354,4
14632358,5
14632360,4
14632402,4
14632405,5
14632413,4
14632414,4
14632416,4
14632429,4
14632437,4
14632438,4
14632390,4
14632394,4
14632395,4
14632396,5
14632441,3
14632442,4
14632445,4
14632446,5
14632456,4
14632457,5
14632458,5
14632460,5
14632461,5
14632462,5
