victim_id,circumstances_id,justifiable_force_id
21921104,1,
21921106,1,
21921107,1,
21921894,1,
21925098,10,
21925895,2,
21927495,6,
21927518,9,
21915456,10,
21916251,8,
21916252,8,
21917825,10,
21917826,1,
21917838,9,
21917852,1,
21917853,6,
21917860,6,
21917863,6,
21918642,1,
21918662,9,
21918685,9,
21921139,1,
21925128,1,
21925159,10,
21925160,10,
21925949,2,
21926728,1,
21927537,10,
21927561,1,
21915462,1,
21915470,1,
21917091,1,
21917101,1,
21917901,6,
21918696,9,
21918720,6,
21918721,6,
21918722,2,
21921179,1,
21921180,1,
21923584,1,
21924382,1,
21924384,1,
21924396,1,
21924398,6,
21915551,2,
21916339,9,
21917933,8,
21919578,6,
21920401,9,
21922822,1,
21922823,1,
21924421,1,
21924437,1,
21924443,9,
21924460,6,
21926834,1,
21915574,1,
21915575,1,
21915601,6,
21916404,1,
21917979,10,
21919630,1,
21919631,1,
21919632,1,
21919638,2,
21919640,2,
21920494,6,
21922055,6,
21924476,2,
21924477,2,
21924481,1,
21924490,6,
21926900,10,
21915645,1,
21917224,1,
21917225,1,
21917226,1,
21918038,6,
21919655,1,
21919664,1,
21919679,2,
21921342,1,
21922115,9,
21922117,9,
21923735,1,
21924523,6,
21924531,6,
21924542,1,
21924545,6,
21924552,9,
21924565,6,
21924566,6,
21926933,1,
21916475,9,
21916476,9,
21916478,9,
21916483,1,
21916484,1,
21916485,1,
21916486,1,
21916487,1,
21919729,1,
21922172,9,
21922173,9,
21922174,9,
21923779,1,
21923798,1,
21923799,1,
21924605,1,
21924609,1,
21925409,2,
21914951,10,
21917352,1,
21919773,1,
21919774,1,
21919775,1,
21919776,1,
21919777,1,
21919778,1,
21919779,1,
21919780,1,
21919781,1,
21919782,1,
21919787,1,
21919794,1,
21921428,1,
21921437,9,
21924627,1,
21924635,6,
21924649,6,
21924655,1,
21925424,1,
21919830,9,
21922273,1,
21922291,1,
21923883,1,
21924697,9,
21924711,10,
21915830,1,
21915855,6,
21916650,1,
21917438,6,
21921506,9,
21921551,1,
21922302,1,
21922311,1,
21922313,1,
21922333,1,
21922337,1,
21922341,1,
21923143,1,
21923144,1,
21923914,1,
21926339,6,
21927166,1,
21915061,1,
21915086,10,
21915099,1,
21915890,1,
21915909,1,
21918288,1,
21918308,1,
21919906,1,
21919910,6,
21919922,1,
21919932,6,
21919938,1,
21921552,1,
21921557,9,
21921562,1,
21923193,1,
21923195,1,
21923994,2,
21924003,6,
21924789,10,
21926374,1,
21927223,9,
21915151,1,
21915155,6,
21916730,1,
21917567,1,
21917568,1,
21918338,1,
21918353,1,
21918373,1,
21919950,9,
21919951,9,
21921630,1,
21921631,1,
21922405,1,
21922411,10,
21922442,1,
21924048,1,
21924827,10,
21924856,6,
21924857,1,
21915166,1,
21915207,10,
21915986,10,
21916776,10,
21918398,1,
21918404,1,
21918427,1,
21922478,1,
21924099,6,
21924116,10,
21925690,10,
21926489,1,
21915244,1,
21915250,9,
21916014,6,
21916020,10,
21916850,2,
21916857,10,
21916862,1,
21917625,10,
21918479,1,
21920087,1,
21920935,9,
21921730,6,
21924125,1,
21924138,6,
21924155,10,
21924156,10,
21915266,10,
21915267,10,
21916898,6,
21917690,1,
21920981,1,
21925003,1,
21915353,6,
21917749,10,
21922611,10,
21924225,9,
21924227,9,
21924252,10,
21924253,2,
21925037,6,
21925846,10,
21916185,1,
21916200,6,
21916203,1,
21916990,2,
21916991,2,
21907467,1,
21909089,1,
21909099,1,
21909103,1,
21909117,6,
21913136,1,
21914740,1,
21905856,1,
21905876,1,
21906662,1,
21906663,9,
21908319,1,
21908354,1,
21909141,1,
21909152,1,
21909166,1,
21909167,1,
21909962,1,
21909965,1,
21909966,2,
21909967,2,
21912362,10,
21913995,6,
21906699,9,
21908362,9,
21908405,9,
21908409,10,
21909195,1,
21909212,1,
21910027,9,
21910837,10,
21911633,1,
21911639,1,
21914019,1,
21914841,1,
21914848,1,
21907605,1,
21908410,10,
21908430,1,
21908443,2,
21908448,2,
21909230,1,
21909235,1,
21909245,10,
21910031,10,
21910032,10,
21910854,10,
21911655,1,
21912449,1,
21912450,1,
21912451,1,
21913279,6,
21906791,1,
21907657,1,
21908467,1,
21908478,1,
21908482,10,
21908496,9,
21909283,1,
21909284,1,
21909309,1,
21909314,9,
21909315,1,
21912521,1,
21913310,10,
21913323,1,
21913324,10,
21914127,2,
21914147,10,
21914149,6,
21914150,1,
21906083,9,
21906886,10,
21907704,1,
21908514,10,
21909336,9,
21909369,6,
21911750,2,
21911751,2,
21912587,10,
21906888,1,
21906929,10,
21907767,10,
21907768,1,
21907770,1,
21908563,1,
21908571,9,
21908575,1,
21908589,1,
21908602,1,
21909373,6,
21909407,1,
21910222,10,
21910990,1,
21911022,1,
21912619,10,
21914214,6,
21914215,1,
21914216,10,
21914217,10,
21914235,6,
21914236,1,
21914247,1,
21906178,9,
21906179,9,
21906946,9,
21906984,1,
21907804,1,
21908614,1,
21908630,1,
21908643,1,
21908653,1,
21909424,1,
21909434,1,
21909448,6,
21912658,6,
21914262,10,
21906214,1,
21907868,1,
21907892,9,
21908712,1,
21909477,6,
21909514,6,
21910297,6,
21910309,10,
21911090,1,
21911138,10,
21911938,10,
21912727,10,
21913507,1,
21913508,1,
21913509,1,
21914345,1,
21907057,1,
21907083,1,
21907086,1,
21907926,1,
21908713,1,
21908741,1,
21908754,1,
21909565,1,
21910337,10,
21910346,10,
21911154,10,
21911162,1,
21911165,10,
21911166,10,
21911942,10,
21911946,6,
21912768,1,
21912770,1,
21906291,1,
21907096,9,
21907964,1,
21907969,1,
21907992,1,
21908002,1,
21908789,2,
21909578,6,
21909579,2,
21910428,10,
21910429,10,
21911207,1,
21911993,10,
21911994,10,
21912009,1,
21912012,1,
21912031,6,
21912804,10,
21914442,10,
21914443,10,
21905566,6,
21905567,9,
