year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2006,Iowa,IA,4274,IA0010000,Adair,7901,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2006,Iowa,IA,4275,IA0020000,Adams,4287,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2006,Iowa,IA,4331,IA0250200,Adel,4067,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2006,Iowa,IA,4440,IA0680100,Albia,3699,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2006,Iowa,IA,4402,IA0550100,Algona,5534,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2006,Iowa,IA,4276,IA0030000,Allamakee,10753,8C,"Non-MSA counties from 10,000 thru 24,999",0,8,0,8,0,0,0
2006,Iowa,IA,4467,IA0770800,Altoona,13007,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2006,Iowa,IA,4491,IA0850100,Ames,52541,3,"Cities from 50,000 thru 99,000",1,12,1,12,0,1,1
2006,Iowa,IA,4398,IA0530100,Anamosa,5646,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2006,Iowa,IA,4460,IA0770100,Ankeny,36876,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2006,Iowa,IA,4278,IA0040000,Appanoose,7920,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2006,Iowa,IA,4305,IA0150100,Atlantic,6996,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2006,Iowa,IA,4280,IA0050000,Audubon,4222,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2006,Iowa,IA,4281,IA0050100,Audubon,2269,7,"Cities under 2,500",1,12,1,12,0,1,1
2006,Iowa,IA,4499,IA0870100,Bedford,1533,7,"Cities under 2,500",0,0,0,0,1,1,1
2006,Iowa,IA,4283,IA0060100,Belle Plaine,2934,6,"Cities from 2,500 thru 9,999",0,0,0,0,0,0,0
2006,Iowa,IA,4526,IA0990200,Belmond,2464,7,"Cities under 2,500",1,12,1,12,0,1,1
2006,Iowa,IA,4282,IA0060000,Benton,18962,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2006,Iowa,IA,4479,IA0820100,Bettendorf,32059,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2006,Iowa,IA,4285,IA0070000,Black Hawk,18449,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2006,Iowa,IA,4334,IA0260100,Bloomfield,2611,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2006,Iowa,IA,4290,IA0080000,Boone,11814,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2006,Iowa,IA,4291,IA0080100,Boone,12899,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2006,Iowa,IA,4294,IA0090000,Bremer,14456,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2006,Iowa,IA,4296,IA0100000,Buchanan,15045,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2006,Iowa,IA,4298,IA0110000,Buena Vista,10242,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
