arrestee_id,weapon_id,nibrs_arrestee_weapon_id
15243129,1,15238360
15242099,1,15238316
15242068,1,15238286
15242015,1,15237256
14488673,1,14503022
14488669,1,14503018
14487564,1,14502984
14487545,1,14502965
14487527,1,14502947
14487524,1,14502944
14490786,1,14502928
14488656,1,14502806
14488642,1,14502792
14476387,1,14479255
14476382,1,14479250
14476376,1,14479244
14476375,1,14479243
14476374,1,14479242
14476368,1,14479236
14476360,1,14479228
14476357,1,14479225
14476356,1,14479224
14476355,1,14479223
14476347,1,14479215
14476331,1,14479008
14476320,1,14478997
14476305,1,14478982
14475264,1,14478945
14475241,1,14478922
14475222,1,14478903
14477316,1,14478800
14477312,1,14478796
14477311,1,14478795
14477303,1,14478787
14477298,1,14478782
14477293,1,14478777
14477276,1,14478760
14475190,1,14478675
14475171,1,14478656
14475168,1,14478653
14475161,1,14478646
14475160,1,14478645
14475154,1,14478639
14475153,1,14478638
14475146,1,14478631
14478264,1,14478615
14478262,1,14478613
14478259,1,14478610
14477267,7,14478552
14477253,1,14478538
14477218,1,14478503
14475133,1,14478419
14475132,1,14478418
14475120,1,14478406
14475115,1,14478401
14475112,1,14478398
14475108,1,14478394
14475107,1,14478393
14475102,1,14478388
14475101,1,14478387
14475085,1,14478371
14428539,1,14443700
14428525,1,14443686
14428485,7,14443455
14429562,1,14443289
14423079,1,14434068
14423078,1,14434067
14423077,1,14434066
14423076,1,14434065
14421998,1,14433981
15199513,1,15249235
15199504,1,15249226
15199499,1,15249221
15199497,1,15249219
15199496,1,15249218
15198473,1,15249176
15198472,1,15249175
15198463,1,15249166
15198446,1,15249149
15198442,1,15249145
15198430,1,15249133
15198429,1,15249132
15198425,1,15249128
15198422,1,15249125
15198418,1,15249121
15197404,1,15249099
15197402,1,15249097
15197400,1,15249095
15197399,1,15249094
15197392,1,15249087
15197389,1,15249084
15197388,1,15249083
15197387,1,15249082
15197383,1,15249078
15197381,1,15249076
15197378,1,15249073
15197377,1,15249072
15197376,1,15249071
15197373,1,15249068
15197365,1,15249060
15197364,1,15249059
15197359,1,15249054
15196357,1,15249043
15196353,1,15249039
15196347,1,15249033
15196343,1,15249029
15196342,1,15249028
15196340,1,15249026
15196328,1,15249014
15196327,1,15249013
15196326,1,15249012
15196321,1,15249007
15196317,1,15249003
15196312,1,15248998
15196311,1,15248997
15196310,1,15248996
15196308,1,15248994
15196304,1,15248990
15196302,1,15248988
15196301,1,15248987
15195243,1,15248923
15195242,1,15248922
15195241,1,15248921
15210389,1,15248842
15210376,1,15248829
15210365,1,15248818
15198403,1,15248121
15197351,1,15248061
15197348,1,15248058
15197346,1,15248056
15197344,1,15248054
15197338,1,15248048
15197334,1,15248044
15197328,1,15248038
15197327,1,15248037
14893813,1,14907764
14893797,1,14907748
14893787,1,14907738
14893783,1,14907734
14892755,1,14907702
14892743,1,14907690
14892733,1,14907680
14894822,1,14906781
14894811,1,14906770
14893759,1,14906719
14893732,1,14906692
14893727,1,14906687
14893724,1,14906684
14892708,1,14906665
14892707,1,14906664
14892683,1,14906640
14891625,1,14906576
14891616,1,14906567
14891591,1,14906542
14891590,1,14906541
14893706,1,14905675
14893705,1,14905674
14892597,1,14905564
14892589,1,14905556
14892582,1,14905549
14891577,1,14905538
14891564,1,14905525
14891558,1,14905519
14891556,1,14905517
14891550,1,14905511
14891548,1,14905509
14891547,1,14905508
14891545,1,14905506
14421994,1,14433781
14419764,1,14433610
14421865,1,14433265
14420752,7,14433148
14420741,1,14433137
14419639,1,14433099
14420740,1,14432942
14426372,1,14430749
14463310,1,14477351
14435236,1,14437208
14435232,1,14437204
14436210,1,14437064
14436179,1,14437033
14436178,1,14437032
14435227,1,14437006
14435190,1,14436969
14435184,1,14436963
14435179,1,14436958
14435175,1,14436954
14434124,1,14436887
15197313,1,15248023
15197308,1,15248018
15197303,1,15248013
15197299,1,15248009
15197296,1,15248006
15196297,1,15247998
15196293,1,15247994
15196282,1,15247983
15196276,1,15247977
15196271,1,15247972
15196262,1,15247963
15196259,1,15247960
15196257,1,15247958
15196253,1,15247954
15196244,1,15247945
15196238,1,15247939
15195230,1,15247927
15195223,1,15247920
15195218,1,15247915
15195214,1,15247911
15195202,1,15247899
15248644,1,15194282
14891541,1,14905502
14891533,1,14905494
14891531,1,14905492
14891529,1,14905490
14890516,1,14905475
14890513,1,14905472
14890509,1,14905468
14890472,1,14905431
14890470,1,14905429
14488636,1,14502786
14488627,1,14502777
14488613,1,14502763
14488597,1,14502747
14487523,1,14502745
14487510,1,14502733
14487508,1,14502731
14487499,1,14502722
14487494,1,14502717
14487493,1,14502716
14487488,1,14502711
14487458,1,14502681
14489646,1,14502595
14489645,1,14502594
14489644,1,14502593
14489643,1,14502592
14488587,1,14502539
14488567,1,14502519
14488558,1,14502510
14488557,1,14502509
14488553,1,14502505
14488552,1,14502504
14488545,1,14502497
14488543,1,14502495
14488542,1,14502494
14488541,1,14502493
14488538,1,14502490
14488537,1,14502489
14487449,1,14502474
14487448,1,14502473
14487443,1,14502468
14487440,1,14502465
14487438,1,14502463
14487433,1,14502458
14487430,1,14502455
14487422,1,14502447
14487420,1,14502445
14487416,1,14502441
14487401,1,14502426
14487400,1,14502425
14487399,1,14502424
14488527,1,14502280
14488517,1,14502271
14488509,1,14502263
14488508,1,14502262
14375929,1,14379849
14375928,1,14379848
14375924,1,14379844
14375919,1,14379839
14375889,1,14379809
14375888,1,14379808
14375884,1,14379804
14375882,1,14379802
14375875,1,14379795
14374838,1,14379757
14374837,1,14379756
14374822,1,14379741
14374807,1,14379726
14376876,1,14379603
14375862,1,14379585
14375859,1,14379582
14375852,1,14379575
14375851,1,14379574
14375835,1,14379558
14375832,1,14379555
14375820,1,14379543
14375800,1,14379523
14374795,1,14379517
14374790,1,14379512
14374767,1,14379489
14374753,1,14379475
14374748,1,14379470
14373719,1,14379439
14373694,1,14379414
14373680,1,14379400
14376841,1,14379373
14376825,1,14379357
14376806,1,14379338
14376802,1,14379334
14376801,1,14379333
14375797,1,14379326
14375794,1,14379323
14375786,1,14379315
14375785,1,14379314
14375781,1,14379310
14375772,1,14379301
14374699,1,14379226
14374678,1,14379205
14374677,1,14379204
14376793,1,14379130
14376790,1,14379127
14376783,1,14379120
14376772,1,14379109
14376768,1,14379105
14376765,1,14379102
14376751,1,14379088
14376749,1,14379086
14376745,1,14379082
14376744,1,14379081
14374668,1,14379001
14463274,1,14477315
14462185,1,14477290
14462184,1,14477289
14462181,1,14477286
14462180,1,14477285
14462174,1,14477279
14462173,1,14477278
14462140,1,14477245
14465356,1,14477207
14465351,1,14477202
14463251,1,14477097
14463250,1,14477096
14463232,1,14477078
14463230,1,14477076
14463225,1,14477071
14463211,1,14477057
14463206,1,14477052
14463203,1,14477049
14463202,1,14477048
14465292,1,14476947
14465283,1,14476938
14463197,1,14476846
14463195,1,14476844
14463183,1,14476832
14463179,1,14476828
14463178,1,14476827
14463176,1,14476825
14463160,1,14476809
14463154,1,14476803
14463153,1,14476802
14463151,1,14476800
14463150,1,14476799
14463139,1,14476788
14463137,1,14476786
14463136,1,14476785
14462021,1,14476734
14465194,1,14476651
14464138,1,14476592
14464129,1,14476387
14464115,1,14476373
14465343,1,14477194
14465330,1,14477181
14463264,1,14477110
14463263,1,14477109
14463231,1,14477077
14463228,1,14477074
14463214,1,14477060
14463213,1,14477059
14463212,1,14477058
14463207,1,14477053
14463200,1,14477046
14462109,1,14477019
14462107,1,14477017
14462077,1,14476987
14465324,1,14476979
