victim_id,offender_id,relationship_id,nibrs_victim_offender_id
60334453,62639231,19,18305922
60334456,62639234,1,18305921
60334457,62639235,9,18305920
60334457,62639236,9,18732987
60334466,62640744,20,17868181
60334467,62640745,25,17868180
60334467,62640746,3,18638318
60334468,62640745,3,17868179
60334468,62640746,25,18638317
60334470,62640748,21,17868178
60335366,62640765,9,17868176
60334483,62640763,21,17868177
60335367,62640766,24,17868175
60335368,62640767,21,17868174
60335383,62640783,21,17868173
60335384,62640784,15,17868172
60335386,62640786,15,17868171
60335390,62640790,1,17868170
60335392,62640792,17,18445660
60335393,62640793,1,17868169
60335397,62640797,1,17868168
60335400,62640800,21,17868167
60335401,62640801,16,17868166
60335402,62640802,1,18445659
60335402,62640803,1,18638316
60335407,62640809,3,17868165
60335410,62640815,21,17868164
60335410,62640816,25,18638315
60335411,62640815,25,17868163
60335411,62640816,21,18638314
60335412,62640817,1,17868162
60335412,62640818,1,18734566
60335413,62640819,3,17769914
60335416,62640822,3,17769913
60335429,62640836,1,17769911
60335429,62640837,1,18623198
60335431,62640839,1,17769910
60335435,62640843,21,17769909
60335437,62640845,21,17769908
60335453,62640864,26,17769907
60335455,62640866,1,17769906
60335464,62640877,21,17720700
60335465,62640878,17,17720699
60335471,62640884,9,17720698
60335483,62640894,21,17720696
60335425,62640833,3,17769912
60335475,62640888,3,17720697
60335484,62640895,1,17720695
60335500,62640911,3,17720694
60335524,62640937,3,18305050
60308634,62613427,1,17833814
60308635,62613428,21,17833813
60308643,62613436,1,17833812
60308645,62613438,3,17833811
60308648,62613442,3,17833810
60308649,62613443,24,17833809
60308652,62613446,3,17833808
60308653,62613447,1,17833807
60308660,62613454,13,17833806
60308661,62613455,24,17833805
60308664,62613458,1,17833804
60308666,62613460,21,17833803
60308668,62613462,1,17833802
60308669,62613463,16,17833801
60308679,62613471,24,17833800
60309692,62615090,5,17982328
60308693,62613484,14,17833799
60308694,62613485,3,17234641
60308701,62613490,24,17234640
60308701,62613491,24,18632392
60309598,62613493,1,17833798
60309603,62613498,3,17833797
60309608,62613503,16,17202339
60309613,62613509,3,17833796
60309615,62613511,3,17833795
60309619,62613515,3,17733649
60309630,62613526,24,17733648
60309631,62613526,24,17733647
60309634,62613529,16,17733646
60309645,62615043,24,18122579
60309647,62615045,3,18122578
60309665,62615063,21,17982335
60309670,62615068,21,17982334
60309677,62615077,1,17982333
60309686,62615086,24,17982332
60309687,62615086,24,17982331
60309688,62615086,24,17982330
60309689,62615086,24,17982329
60309699,62615095,24,17982326
60309701,62615096,22,17982325
60309704,62615099,1,17982324
60309705,62615100,1,17982323
60309706,62615101,21,17982322
