suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2,81502955,1,1,5646710
5,81502974,3,1,5646711
5,81502985,2,1,5646712
5,81502986,1,1,5646713
5,81502997,1,1,5646714
5,81512578,1,1,5646788
12,81512584,1,1,5646789
5,81512587,2,1,5646790
5,81512588,1,1,5646791
12,81512596,1,1,5646792
5,81513817,9,1,5646793
5,81513820,1,1,5646794
5,81499449,35.2,1,5646811
5,81499467,1,1,5646812
5,81499476,3,1,5646813
5,81499486,1,1,5646814
5,81501871,1,1,5646821
5,81501872,1,1,5646822
12,81515041,7,1,5646890
5,81515047,1,1,5646891
5,81515052,3,1,5646892
5,81515055,1,1,5646893
5,81499491,1,1,5646904
5,81499511,1,1,5646905
5,81499536,1,1,5646906
5,81499538,1,1,5646907
5,81499541,1,1,5646908
5,81501887,1,1,5646914
12,81501910,1,1,5646915
5,81501911,32.02,1,5646916
5,81501916,1,1,5646917
8,81501961,1,9,5646918
12,81524593,3,1,5646939
8,81524597,2,9,5646940
5,81524602,1,1,5646941
5,81524604,1,1,5646942
2,81524605,1,1,5646943
8,81524606,1,9,5646944
12,81524620,1,1,5646945
12,81524623,2,1,5646946
5,81558155,2.1,1,5651256
5,81564249,3.8,1,5651283
5,81564269,14.3,1,5651284
12,81564271,114.2,1,5651285
5,81564272,1,1,5651286
5,81564364,1,1,5651406
5,81564367,4.3,1,5651407
2,81697607,3,9,5655583
5,81697610,1.1,1,5655584
12,81697614,1,9,5655585
5,81697625,3,1,5655586
5,81697627,672.75,1,5655587
12,81702506,1,9,5655615
5,81690681,1,9,5655649
5,81690694,2.39,1,5655650
5,81690703,49.74,1,5655651
5,81690720,7,3,5655652
5,81690723,2.3,1,5655653
5,81690741,7.77,1,5655654
5,81696544,0.25,1,5655687
5,81697680,1,1,5655688
5,81697688,2.5,1,5655689
5,81697710,3.1,1,5655690
5,81697734,28.16,1,5655692
5,81697748,1.66,1,5655693
16,81702518,12,9,5655718
5,81702535,8.96,1,5655719
5,81702548,0.43,1,5655720
5,81696555,3.55,1,5655796
5,81696570,1.7,1,5655797
5,81696574,11970.85,1,5655798
5,81696605,3.4,1,5655799
5,81696614,4,1,5655800
5,81696620,0.45,1,5655801
5,81697762,1,9,5655802
5,81697763,8,1,5655803
5,81697764,0.54,1,5655804
5,81697767,8,4,5655805
5,81697768,8.65,1,5655806
5,81697778,2.9,1,5655807
5,81697784,5,1,5655808
5,81697792,0.75,1,5655809
12,81697793,0.85,1,5655810
16,81697805,21,9,5655811
5,81697812,0.01,1,5655812
5,81697814,2.1,1,5655813
5,81706249,7,1,5655854
12,81706250,1.1,1,5655855
12,81671319,7.6,1,5660008
5,81671328,31,1,5660009
12,81671340,6.5,1,5660010
5,81674946,1.3,1,5660020
5,81674949,10,1,5660021
5,81674974,1,1,5660022
5,81682289,1.82,1,5660042
5,81682295,3,4,5660043
2,81682312,1.01,1,5660044
16,81682315,47,9,5660045
5,81682317,3.15,1,5660046
5,81682318,1.24,1,5660047
5,81682321,7.09,1,5660048
5,81682325,25,1,5660049
5,81682328,4,1,5660050
5,81682344,18.81,1,5660051
5,81682348,3.59,1,5660052
12,81671371,0.5,1,5660076
5,81673814,5,10,5660089
5,81673817,0.5,1,5660090
17,81677463,23,9,5660108
5,81677490,21,1,5660109
5,81677502,0.001,1,5660110
5,81677504,0.001,1,5660111
5,81677506,1,3,5660112
5,81682360,0.88,1,5660130
17,81673853,8,9,5660178
5,81677509,21,1,5660192
17,81677527,1,9,5660193
8,81677530,2,9,5660194
5,81677532,4,1,5660195
5,81677534,1,9,5660196
5,81681221,1,11,5660209
12,81681233,1,1,5660210
5,81681242,1,1,5660211
5,81681246,5.9,1,5660212
5,81681254,0.001,1,5660213
5,81681259,2,3,5660214
3,81681292,0.2,1,5660215
16,81681295,8,9,5660216
12,81688547,1.86,1,5660248
5,81689651,8,1,5660250
5,81689653,51,1,5660251
1,81689658,0.2,1,5660252
5,81689659,29.5,1,5660253
16,81672766,9,9,5660263
5,81672768,3.9,1,5660264
5,81672770,197,1,5660265
5,81672771,2,1,5660266
1,81672774,0.4,1,5660267
16,81672779,6,9,5660268
5,81672783,3.1,1,5660269
1,81672785,2,9,5660270
5,81672790,1,1,5660271
5,81672792,1,9,5660272
5,81676424,0.001,1,5660279
12,81676439,0.002,1,5660280
5,81732993,2.6,1,5664421
5,81732998,0.15,1,5664422
5,81733034,1,9,5664423
5,81733066,2.75,1,5664424
2,81739176,1.4,1,5664436
5,81739208,0.5,1,5664437
5,81739228,12.5,1,5664438
5,81739239,7.25,1,5664439
5,81739241,28,1,5664440
5,81728252,1.6,1,5664488
17,81728279,23,9,5664489
5,81728297,19.85,1,5664490
5,81728306,2.2,1,5664491
5,81728307,4.22,1,5664492
1,81728315,1,1,5664493
1,81731913,0.75,1,5664501
5,81731915,4.55,1,5664502
5,81733068,0.55,1,5664507
5,81733087,0.01,1,5664508
5,81733117,4,1,5664509
5,81733119,0.9,1,5664510
4,81733128,0.01,1,5664511
5,81733130,1,9,5664512
5,81733131,0.8,1,5664513
5,81739247,0.35,1,5664530
5,81738148,18.45,1,5664625
5,81738157,10.75,1,5664626
5,81732028,2.4,1,5664683
5,81732046,0.01,1,5664684
5,81732055,2,9,5664685
5,81792382,35,1,5668858
5,81792384,5,1,5668859
5,81802223,3.4,1,5668886
5,81802226,11,1,5668887
5,81802242,2.98,4,5668888
9,81802246,120,9,5668889
5,81804612,41.2,1,5668894
5,81791274,1.5,1,5668927
5,81791276,1,1,5668928
5,81791280,1,1,5668929
5,81791312,6.4,1,5668930
8,81791318,5,9,5668931
5,81791326,5.1,1,5668932
5,81802255,0.1,1,5668959
5,81802262,1,1,5668960
5,81802271,974.2,1,5668961
5,81802274,1.2,1,5668962
5,81802279,7,1,5668963
16,81802282,1,4,5668964
5,81802303,9,1,5668965
5,81802306,0.01,1,5668966
5,81802308,8,1,5668967
5,81803465,119.5,1,5668968
5,81803474,2.8,1,5668969
5,81803480,2.4,1,5668970
5,81803490,3.5,1,5668971
5,81803502,3.5,1,5668972
5,81803522,0.8,1,5668973
5,81787713,0.8,1,5668982
5,81787728,1.7,1,5668983
4,81787732,0.5,1,5668984
5,81787735,16.6,1,5668985
17,81787742,7,9,5668986
5,81788927,1,1,5668990
5,81788931,30,1,5668991
5,81788939,2,1,5668992
5,81788942,15,1,5668993
5,81788948,28,1,5668994
5,81788949,1,1,5668995
5,81788951,5,1,5668996
12,81791333,0.001,1,5669005
12,81791337,0.5,1,5669006
12,81791342,0.9,1,5669007
5,81791358,8,1,5669008
5,81791366,0.006,1,5669009
5,81791379,2,1,5669010
5,81791381,141,1,5669011
5,81791389,33,1,5669012
12,81801196,2.9,1,5669053
5,81801197,1,1,5669054
5,81802335,5.3,1,5669055
5,81803574,0.8,1,5669062
5,81803577,3,1,5669063
12,81803582,1.3,1,5669064
2,81803592,3.6,1,5669065
5,81803596,0.5,1,5669066
5,81786600,2,10,5669075
5,81786632,1,1,5669076
12,81786639,8.08,1,5669077
8,81786640,2,3,5669078
5,81786641,1,1,5669079
5,81786645,20,1,5669080
5,81786651,42.5,1,5669081
