property_id,incident_id,prop_loss_id,stolen_count,recovered_count,ff_line_number
90874480,81560540,7,,,
90865111,81560541,7,,,
90865112,81560543,7,1,,
90877132,81560544,7,,,
90870189,81560545,7,,,
90870190,81560545,7,,,
90877462,81560546,1,,,
90877133,81560552,6,,,
90877134,81560552,6,,,
90866861,81560553,7,1,,
90876103,81560508,7,,,
90865105,81560509,6,,,
90865106,81560509,6,,,
90861892,81560510,6,,,
90874474,81560511,7,,,
90866026,81560525,7,,,
90876106,81560527,4,,,
90876107,81560528,7,,,
90877126,81560501,3,,,
90877127,81560501,7,,,
90877128,81560502,7,,,
90870185,81560504,1,,,
90877130,81560529,1,,,
90877131,81560530,7,,,
90874477,81560531,7,,,
90874478,81560532,7,,,
90870187,81560533,7,,,
90877460,81560534,7,,,
90870191,81560548,7,,,
90876108,81560550,7,0,,
90876109,81560550,7,,,
90876110,81560551,7,,,
96508175,83146194,5,,,
90865108,81560521,4,,,
90874476,81560522,7,,,
90877129,81560523,7,,,
90861895,81560524,6,,,
90861896,81560524,6,,,
90877461,81560535,4,,,
90865109,81560536,6,,,
90870188,81560537,7,,,
90865110,81560538,7,,,
90874479,81560539,1,,,
90870192,81560559,6,,,
90866025,81560512,7,,,
90876104,81560513,7,,,
90876111,81560554,7,,,
90876112,81560555,7,1,,
90874481,81560556,7,1,,
90865114,81560557,6,,,
90865115,81560557,6,,,
90874482,81560558,4,,,
90870186,81560515,7,,,
90865107,81560516,7,,,
90861893,81560517,6,,,
90876105,81560518,7,,,
90874475,81560519,4,,,
90861894,81560520,4,,,
90877138,81560600,4,,,
90876119,81560602,4,,,
90877139,81560603,7,,,
90865121,81560605,6,,,
90865122,81560606,4,,,
90870200,81560608,7,,,
90870201,81560608,7,,,
90870202,81560608,7,,,
90866868,81560609,6,,,
90866869,81560609,6,,,
90866870,81560610,4,,,
90866871,81560611,7,,,
90865123,81560612,6,,,
90876120,81560613,6,,,
90865124,81560614,4,,,
90877140,81560615,7,,,
90877141,81560616,7,,,
90874487,81560617,4,,,
90870203,81560618,7,,,
90870204,81560618,7,,,
90874488,81560619,7,,,
