offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
12278429,10887664,1,5,30,M,1,,,,
12278430,10887665,0,,,,,,,,
12278431,10887666,1,5,43,M,1,,,,
12278432,10887667,1,5,25,M,1,,,,
12278433,10887668,0,,,,,,,,
12278434,10887669,0,,,,,,,,
12278435,10887670,1,5,20,M,1,,,,
12278436,10887671,0,,,,,,,,
12278437,10887672,1,5,25,M,1,,,,
12278438,10887673,0,,,,,,,,
12278439,10887674,0,,,,,,,,
12278440,10887675,0,,,,,,,,
12278441,10887676,1,5,18,M,1,,,,
12278442,10887677,0,,,,,,,,
12278444,10887679,1,5,20,M,1,,,,
12278445,10887680,1,5,14,M,1,,,,
12278599,10887820,1,5,24,M,1,,,,
12278606,10887827,1,5,23,M,1,,,,
12278443,10887678,1,5,15,F,1,,,,
12278446,10887681,1,4,,F,1,,,,
12278447,10887682,0,,,,,,,,
12278448,10887683,0,,,,,,,,
12278449,10887684,1,5,65,M,1,,,,
12278450,10887685,1,5,32,M,1,,,,
12278451,10887686,0,,,,,,,,
12278452,10887687,1,4,,U,0,,,,
12278453,10887688,0,,,,,,,,
12278454,10887689,0,,,,,,,,
12278455,10887690,0,,,,,,,,
12278456,10887691,1,5,37,M,1,,,,
12278457,10887692,0,,,,,,,,
12278458,10887693,0,,,,,,,,
12278471,10887705,0,,,,,,,,
12278628,10887848,0,,,,,,,,
12278629,10887849,0,,,,,,,,
12278459,10887694,0,,,,,,,,
12278460,10887695,0,,,,,,,,
12278461,10887696,0,,,,,,,,
12278462,10887697,1,5,20,M,1,,,,
12278463,10887698,0,,,,,,,,
12278464,10887699,0,,,,,,,,
12278465,10887700,1,5,17,F,1,,,,
12278466,10887701,1,5,25,M,1,,,,
12278468,10887702,2,5,40,M,1,,,,
12278467,10887702,1,5,25,F,1,,,,
12278469,10887703,0,,,,,,,,
12278470,10887704,0,,,,,,,,
12278472,10887706,0,,,,,,,,
12278473,10887707,1,4,,U,0,,,,
12278474,10887708,0,,,,,,,,
12278475,10887709,0,,,,,,,,
12278476,10887710,0,,,,,,,,
12278477,10887711,0,,,,,,,,
