property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
19147321,63,0,,19151939
19147284,31,1,,19151902
19147285,8,19,,19151903
19147286,26,100,,19151904
19154860,63,550,,19158467
19155782,63,915,,19162131
19154861,37,275,,19158468
19154862,38,75,,19158469
19147287,26,55000,,19151905
19149719,13,1,,19147334
19149720,24,600,,19147335
19149721,63,30,,19147336
19154855,68,,,19158462
19154856,11,1,,19158463
19154857,63,500,,19158464
19155279,24,3500,,19160257
19149718,63,250,,19147333
19154858,68,,,19158465
19154859,11,1,,19158466
19155280,13,1,,19160258
19155783,27,400,,19162132
19149722,8,18,,19147337
19155784,63,650,,19162133
19154863,63,40,,19158470
19155785,37,50000,,19162134
19155786,63,60,,19162365
19154864,4,50,,19158471
19149723,68,,,19147338
19154865,63,25,,19158472
19155281,20,3000,,19160259
19155282,22,0,,19160260
19155283,23,50,,19160261
19155284,3,1,,19160262
19149724,63,70,,19147339
19149725,63,1500,,19147340
19155787,8,200,,19162366
19154866,63,269,,19158473
19154867,63,50,,19158474
19154868,63,700,,19158475
19155285,63,75,,19160263
19155286,12,350,,19160264
19154869,36,1300,,19158476
19155287,63,315,,19160265
19149726,63,25,,19147341
19154870,13,189,,19158477
19154871,26,375,,19158478
19147288,63,0,2002-03-30 00:00:00,19151906
19147289,11,1,,19151907
19155288,63,250,,19160266
19155790,63,45,,19162369
19155803,13,430,,19162382
19155289,8,32,,19160267
19155788,39,150,,19162367
19147290,29,1,,19151908
19154872,63,150,,19158706
19154873,24,500,,19158707
19155789,63,2380,,19162368
19147291,36,140,,19151909
19147292,63,300,,19151910
19147293,11,1,,19151911
19147294,68,,,19151912
19154874,68,,,19158708
19154875,11,1,,19158709
19147295,37,3000,,19151913
19147296,16,90,,19151914
19147297,36,240,,19151915
19155290,63,0,,19160268
19147298,39,700,,19151916
19147299,38,220,,19151917
19155791,29,1000,,19162370
19155792,63,32,,19162371
19155292,63,1389,,19160270
19155793,26,349,,19162372
19155291,29,5,,19160269
19155293,68,,,19160271
19155294,7,150,,19160272
19149728,6,500,,19147343
19149729,26,115,,19147344
19149730,11,1,,19147345
19147300,27,18,,19151918
19147301,63,50,,19151919
19149731,63,3,,19147346
19155794,63,1280,,19162373
19149727,63,100,,19147342
19154876,68,,,19158710
19154877,11,1,,19158711
19147302,26,205,,19151920
19147303,63,150,,19151921
19154878,12,415,,19158712
19154879,63,85,,19158713
19147304,17,150,,19151922
19147305,20,70,,19151923
19147306,63,150,,19151924
19147307,36,1,2002-06-10 00:00:00,19151925
19154880,68,,,19158714
19147308,63,6000,,19151926
19147309,4,68,,19151927
19155295,39,500,,19160273
19147310,29,1,,19151928
19147311,16,289,,19151929
19147312,26,100,,19151930
19149732,3,200,,19147347
19149733,26,50,,19147348
19149734,36,60,,19147349
19149735,38,80,,19147350
19155296,63,100,,19160274
19154881,63,100,,19158715
19154882,63,5,,19158716
19155795,11,1,,19162374
19154883,3,583,,19158717
19154884,30,5,,19158718
19149736,63,20,,19147351
19155297,63,29,,19160275
19155298,37,25000,,19160276
19154885,36,350,,19158719
19155299,3,2700,,19160277
19155300,3,1,,19160278
19147313,3,100,,19151931
19147314,4,60,,19151932
19154886,68,,,19158720
19147315,63,140,,19151933
19154887,63,25,,19158721
19147316,37,1000,2002-07-23 00:00:00,19151934
19147317,37,1000,,19151935
19149737,36,255,,19147352
19149738,38,36,,19147353
19155796,63,25,,19162375
19154888,24,2500,,19158722
19155301,63,550,,19160279
19149739,16,2125,,19147354
