suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
17,19145057,0,,1053640
2,19145058,70,1,1053641
2,19145060,5,1,1053642
17,19145061,0,,1053643
5,19145063,20,1,1053644
1,19145064,3.08,1,1053645
17,19145065,0,,1053646
5,19145067,1,3,1053652
2,19145068,3.01,1,1053653
5,19145069,10,4,1053654
17,19145070,0,,1053655
17,19145072,4,1,1053656
17,19145074,0.002,1,1053657
17,19158485,0,,1053686
17,19158490,0,,1053687
17,19158492,0,,1053688
5,19158498,0.001,1,1053689
17,19158517,0,,1053690
17,19162056,0,,1053704
5,19162058,0.001,1,1053705
5,19162063,0.001,1,1053706
17,19162067,0,,1053707
5,19159784,0.001,1,1053739
12,19161043,0.001,1,1053746
5,19162232,1.001,1,1053747
17,19162250,0,,1053748
5,19162254,0.001,1,1053749
12,19162255,1,3,1053750
16,19162259,0.001,1,1053751
17,19162265,0,,1053752
17,19161051,0,,1053760
17,19161054,0,,1053761
17,19161065,0,,1053762
5,19161074,0.001,1,1053763
5,19161089,0.25,9,1053764
17,19162327,0,,1053767
12,19162330,0.002,1,1053768
5,19162336,0.001,1,1053769
17,19162347,0,,1053770
1,19162363,0.002,1,1053785
5,19162365,0.001,1,1053786
5,19162374,0.002,1,1053787
17,19161340,0,,1053819
17,19161344,0,,1053820
5,19161366,0.001,1,1053834
5,19161369,0.001,1,1053835
12,19161370,0.002,1,1053836
17,19159099,0,,1053844
17,19159105,0,,1053845
17,19159107,0,,1053846
12,19159111,0.001,1,1053847
5,19159113,0.001,1,1053848
17,19159115,0,,1053849
17,19159126,0,,1053850
5,19159128,0.001,1,1053851
5,19159131,0.001,1,1053852
2,19161449,1.4,1,1053860
17,19161451,0,,1053861
5,19161454,27,1,1053862
17,19161456,0,,1053863
5,19161461,0.001,1,1053864
5,19160402,0.001,1,1053895
17,19160415,0,,1053896
5,19161635,0.002,1,1053900
17,19161664,0,,1053901
17,19160445,0,,1053910
17,19160468,0,,1053911
5,19161694,0.001,1,1053912
5,19161696,0.001,1,1053913
5,19161711,0.001,1,1053914
5,19161715,0.001,1,1053915
17,19161726,0,,1053916
5,19162908,0.001,1,1053917
5,19162914,0.001,1,1053918
5,19162920,0.001,1,1053919
17,19162924,0,,1053920
16,19162947,0.001,1,1053921
17,19161750,0,,1053924
5,19160730,0.001,1,1053944
5,19158417,0.002,1,1053953
5,19158419,0.001,1,1053954
2,19154799,12.5,4,1053967
5,19154801,2,1,1053968
12,19154807,18.4,1,1053969
5,19154814,0.5,4,1053970
5,19154821,2,1,1053971
5,19154823,3,1,1053972
12,19154825,90,9,1053973
2,19154830,2,1,1053974
5,19154837,44.7,1,1053975
5,19154838,5,1,1053976
