criminal_act_id,offense_id
6,22876235
6,22871711
1,22883944
6,22876066
6,22876067
6,22871716
6,22871717
1,22876242
6,22876247
6,22876248
2,22875520
1,22878448
6,22883955
6,22883956
6,22883957
6,22875527
6,22875528
2,22876261
3,22876261
6,22876261
2,22876262
6,22876262
3,22878467
3,22878468
8,22876267
6,22876270
6,22878469
8,22875547
8,22878473
6,22871720
6,22876275
6,22876276
1,22875554
1,22878493
6,22883982
6,22883983
6,22876290
6,22876291
1,22883988
6,22880441
6,22879056
1,22882906
6,22884583
6,22884584
1,22876334
6,22876117
1,22882889
6,22882891
6,22882892
6,22882899
1,22879501
1,22882901
1,22876152
1,22881036
6,22882893
1,22879492
3,22882895
6,22882895
3,22882896
6,22882896
1,22876148
1,22884577
6,22884577
1,22884578
6,22884578
6,22884581
6,22879504
6,22879505
1,22882907
1,22879506
6,22881039
1,22881042
1,22884587
6,22880487
6,22880488
1,22884002
1,22875581
1,22876315
6,22884591
6,22882909
6,22882910
1,22881054
3,22881056
6,22881056
6,22876162
6,22883423
6,22883424
6,22883429
8,22883430
6,22884604
6,22884605
1,22880030
1,22880031
1,22881064
1,22876176
1,22876177
1,22883435
1,22881065
1,22876178
1,22884608
1,22876179
1,22883439
1,22876314
1,22876110
1,22883999
1,22875578
1,22879013
1,22876316
6,22879016
6,22879017
1,22876118
6,22876329
6,22876330
8,22884013
1,22876335
1,22875597
1,22879036
1,22876111
8,22879058
8,22880496
8,22879475
6,22880475
6,22880476
1,22884021
8,22876120
8,22879051
8,22879052
8,22879053
8,22879054
6,22879454
6,22879455
6,22879456
6,22879458
6,22879459
6,22876123
8,22879467
8,22884034
6,22884024
8,22883997
8,22880515
8,22882873
8,22884037
1,22879472
1,22879474
8,22880502
6,22880504
8,22879478
6,22880507
6,22880508
8,22880510
8,22876137
8,22882882
6,22879479
6,22879480
8,22882883
8,22882884
8,22879483
3,22879489
6,22879489
3,22884612
1,22881071
3,22881075
6,22884625
6,22883457
6,22881076
6,22881077
1,22881083
2,22883465
3,22883465
6,22883465
2,22883466
3,22883466
6,22883466
6,22880058
6,22880059
6,22880528
8,22883472
3,22883478
6,22883478
6,22883479
3,22883480
6,22883480
3,22883481
6,22883481
6,22884639
7,22880077
7,22886125
7,22889005
7,22888480
3,22880126
7,22880555
3,22880558
6,22880559
6,22888478
8,22880564
5,22880089
6,22880095
6,22880096
8,22888999
8,22889000
5,22880104
5,22880106
6,22883530
7,22880588
6,22880124
7,22880119
1,22889022
3,23713348
6,23713348
7,23713348
6,23717751
6,23717752
6,23705792
6,23715398
1,23705794
1,23707448
6,23716042
6,23710436
6,23710437
6,23707450
6,23707451
6,23717758
6,23717759
6,23710441
6,23710442
1,23711884
6,23705798
6,23705799
6,23715412
2,23715413
3,23715413
6,23715413
6,23715414
8,23715417
6,23710449
6,23715420
6,23715421
6,23717770
6,23717771
8,23717772
6,23717773
6,23712782
6,23712783
3,23712784
6,23712785
6,23707461
6,23707462
6,23707463
6,23715425
8,23721625
6,23710453
6,23710454
6,23715428
6,23715429
6,23711298
6,23711299
4,23712790
6,23712791
6,23712792
6,23721626
6,23721627
6,23721628
6,23721629
6,23710457
6,23710458
2,23710459
6,23710459
6,23710460
6,23712797
6,23712798
6,23721631
6,23715443
6,23715444
6,23711826
6,23711817
6,23711818
6,23715445
6,23715446
6,23715447
6,23712811
6,23711821
6,23711822
6,23722141
6,23722142
3,23710471
6,23710471
6,23710472
6,23712813
6,23712814
6,23715453
6,23715454
6,23722150
6,23722151
2,23711829
6,23711829
6,23711830
6,23712826
1,23710461
6,23722218
6,23722219
6,23711886
6,23711887
6,23716044
6,23716045
8,23713384
2,23713385
6,23713385
6,23714357
6,23714358
6,23714359
4,23712815
2,23722152
3,23722152
6,23722152
6,23710475
6,23710476
6,23714313
8,23722156
8,23722157
6,23715458
7,23715458
6,23715459
7,23715459
6,23722159
6,23722160
7,23722160
6,23722161
7,23722161
8,23715461
8,23712824
6,23712825
6,23715471
6,23715472
6,23715473
6,23715474
6,23715475
6,23711844
6,23711845
6,23711849
6,23722173
6,23715477
6,23715478
2,23722175
6,23722175
2,23722176
6,23722176
6,23714322
6,23714323
6,23713350
8,23713351
6,23711863
6,23711864
8,23714332
2,23715487
2,23715488
6,23722186
8,23715491
8,23715492
6,23711868
6,23711869
6,23715495
6,23715496
6,23722187
6,23722188
6,23722190
8,23722192
6,23722193
6,23722195
6,23722196
6,23716020
6,23716021
6,23722201
6,23722202
6,23713364
6,23713366
6,23713367
6,23713368
3,23714346
6,23714346
7,23714346
6,23714347
6,23711879
6,23711880
6,23722207
6,23722208
8,23716030
8,23716031
6,23713375
6,23713376
6,23716035
6,23716036
6,23714354
6,23722212
6,23722213
3,23722216
6,23722216
3,23722231
6,23722232
6,23711891
6,23711892
6,23711893
6,23711894
3,23722257
6,23722257
6,23722258
6,23713402
6,23713401
6,23722784
6,23722785
1,23722787
6,23722801
8,23722802
6,23722808
6,23722809
6,23722810
6,23711921
6,23722793
8,23722794
6,23713429
8,23713430
6,23714926
6,23712469
7,23712469
6,23712470
7,23712470
1,23714929
6,23714930
6,23714931
6,23720502
6,23720503
6,23714956
6,23714957
6,23720504
6,23726713
1,23720506
6,23720506
8,23712482
6,23712493
6,23720508
6,23712494
6,23712495
6,23726716
8,23712499
6,23726718
6,23726719
1,23714958
6,23720491
6,23720492
6,23726700
1,23720509
6,23720513
6,23720514
6,23714947
6,23720500
6,23720501
3,23713472
6,23713472
2,23712490
6,23712490
6,23714952
6,23714953
2,23712506
3,23712506
2,23712507
2,23720517
2,23720518
2,23720519
2,23720520
2,23726726
3,23726726
2,23726727
2,23720521
3,23720521
2,23720522
5,23716361
2,23720542
3,23714968
6,23727249
6,23727250
6,23715913
6,23720537
6,23714975
3,23716372
3,23720551
6,23720551
6,23720552
6,23714978
6,23720545
8,23720546
6,23716385
6,23715917
6,23715918
6,23715919
6,23720548
3,23727262
6,23727262
6,23727263
6,23719370
2,23716922
6,23716922
6,23716923
6,23715951
6,23715952
2,23727286
6,23727287
6,23727292
6,23727293
6,23715508
