nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
3006664,6060,1,2003,I,,,N,F,,C,2003_01_KS0010000_NIBRS,
3027249,6060,2,2003,I,,,N,F,,C,2003_02_KS0010000_NIBRS,
3047834,6060,3,2003,I,,,N,F,,C,2003_03_KS0010000_NIBRS,
3068419,6060,4,2003,I,,,N,F,,C,2003_04_KS0010000_NIBRS,
3089004,6060,5,2003,I,,,N,F,,C,2003_05_KS0010000_NIBRS,
3109589,6060,6,2003,I,,,N,F,,C,2003_06_KS0010000_NIBRS,
3130174,6060,7,2003,I,,,N,F,,C,2003_07_KS0010000_NIBRS,
3150759,6060,8,2003,I,,,N,F,,C,2003_08_KS0010000_NIBRS,
3171344,6060,9,2003,I,,,N,F,,C,2003_09_KS0010000_NIBRS,
3191929,6060,10,2003,I,,,N,F,,C,2003_10_KS0010000_NIBRS,
3212514,6060,11,2003,I,,,N,F,,C,2003_11_KS0010000_NIBRS,
3233099,6060,12,2003,U,,,N,F,,C,2003_12_KS0010000_NIBRS,
3006665,6061,1,2003,I,,,N,F,,C,2003_01_KS0010100_NIBRS,
3027250,6061,2,2003,I,,,N,F,,C,2003_02_KS0010100_NIBRS,
3047835,6061,3,2003,I,,,N,F,,C,2003_03_KS0010100_NIBRS,
3068420,6061,4,2003,I,,,N,F,,C,2003_04_KS0010100_NIBRS,
3089005,6061,5,2003,I,,,N,F,,C,2003_05_KS0010100_NIBRS,
3109590,6061,6,2003,I,,,N,F,,C,2003_06_KS0010100_NIBRS,
3130175,6061,7,2003,I,,,N,F,,C,2003_07_KS0010100_NIBRS,
3150760,6061,8,2003,I,,,N,F,,C,2003_08_KS0010100_NIBRS,
3171345,6061,9,2003,I,,,N,F,,C,2003_09_KS0010100_NIBRS,
3191930,6061,10,2003,I,,,N,F,,C,2003_10_KS0010100_NIBRS,
3212515,6061,11,2003,U,,,N,F,,C,2003_11_KS0010100_NIBRS,
3233100,6061,12,2003,U,,,N,F,,C,2003_12_KS0010100_NIBRS,
3006666,6062,1,2003,I,,,N,F,,C,2003_01_KS0010200_NIBRS,
3027251,6062,2,2003,I,,,N,F,,C,2003_02_KS0010200_NIBRS,
3047836,6062,3,2003,I,,,N,F,,C,2003_03_KS0010200_NIBRS,
3068421,6062,4,2003,I,,,N,F,,C,2003_04_KS0010200_NIBRS,
3089006,6062,5,2003,I,,,N,F,,C,2003_05_KS0010200_NIBRS,
3109591,6062,6,2003,I,,,N,F,,C,2003_06_KS0010200_NIBRS,
