property_id,incident_id,prop_loss_id,stolen_count,recovered_count,ff_line_number
31754696,28730044,4,,,
31754697,28730044,7,,,
31754698,28730044,7,,,
31751510,28730045,4,,,
31754699,28730047,7,,,
31746670,28730048,7,,,
31751511,28730049,4,,,
31752685,28730050,4,,,
31752686,28730052,6,,,
31752687,28730052,6,,,
31748433,28730054,7,,,
31752688,28730055,4,,,
31751512,28730058,7,,,
31751513,28730059,6,,,
31754700,28730060,4,,,
31751161,28730061,6,,,
31751162,28730061,6,,,
31751163,28730063,7,0,,
31751514,28730064,4,,,
31746671,28730065,7,,,
31751164,28730873,5,,1,
31751165,28730873,7,1,,
31746672,28730874,7,,,
31751522,28730933,7,,,
31751515,28730875,6,,,
31751516,28730875,6,,,
31748434,28730876,7,,,
31752689,28730877,4,,,
31752690,28730877,7,,,
31752691,28730877,7,,,
31752692,28730877,7,,,
31752693,28730877,7,,,
31754701,28730878,7,,,
31747192,28730879,6,,,
31747193,28730879,6,,,
31752694,28730881,7,1,,
31754702,28730883,4,,,
31754703,28730883,7,,,
31751166,28730884,4,,,
31751167,28730884,7,,,
31747194,28730885,7,,,
31754704,28730886,4,,,
31754705,28730886,7,,,
31746673,28730892,7,1,,
31752695,28730888,6,,,
31752696,28730888,6,,,
31754706,28730889,5,,,
31754707,28730889,7,,,
31751168,28730890,4,,,
31757890,28730890,4,,,
31751517,28730893,5,,,
31751518,28730893,7,,,
31754708,28730894,6,,,
31746674,28730896,4,,,
31748435,28730898,7,,,
31751519,28730899,4,,,
31757891,28730900,7,1,,
31747195,28730901,7,,,
31747196,28730903,7,,,
31747197,28730903,7,,,
31752702,28730921,4,,,
31747198,28730904,7,,,
31747199,28730904,7,,,
31746675,28730905,6,,,
31746676,28730905,6,,,
31757892,28730906,7,0,,
31757893,28730907,4,,,
31757894,28730907,7,,,
31754709,28730908,4,,,
31747200,28730911,7,,,
31754710,28730912,4,,,
31748436,28730913,7,,,
31748437,28730914,7,0,,
31748438,28730914,7,,,
31752697,28730915,3,,,
31752698,28730915,5,,,
31751520,28730916,6,,,
31751521,28730916,6,,,
31752699,28730917,4,,,
31752700,28730917,7,,,
31752701,28730919,4,,,
31752718,28730975,7,,,
31752703,28730922,7,,,
31754711,28730923,1,,,
31754712,28730923,4,,,
31748439,28730924,1,,,
31748440,28730924,4,,,
31752704,28730925,6,,,
31752705,28730925,6,,,
31748441,28730926,4,,,
31748442,28730926,7,,,
31754713,28730927,4,,,
31754714,28730927,7,,,
31747201,28730928,4,,,
31748443,28730929,7,,,
31746677,28730930,7,,,
31746678,28730930,7,,,
31746679,28730930,7,,,
31746680,28730930,7,,,
31747202,28730931,7,,,
31748453,28730961,7,,,
31747533,28730997,7,,,
31757895,28730935,7,1,,
31751523,28730937,7,,,
31751524,28730937,7,,,
31752706,28730938,4,,,
31748444,28730941,4,,,
31748445,28730941,7,,,
31748446,28730941,7,,,
31748447,28730941,7,,,
31748448,28730941,7,,,
31748449,28730942,4,,,
31746681,28730945,4,,,
31752707,28730944,4,,,
31754715,28730946,7,,,
31752708,28730947,5,,0,
31747203,28730948,7,,,
31757896,28730949,4,,,
31757897,28730950,4,,,
31752709,28730951,4,,,
31752710,28730951,4,,,
31752711,28730952,4,,,
31752712,28730952,7,,,
31752713,28730953,7,,,
31752714,28730954,4,,,
31748450,28730955,4,,,
31748451,28730956,6,,,
31748452,28730956,6,,,
31746682,28730959,4,,,
31746683,28730959,4,,,
31746684,28730959,5,,1,
31746685,28730959,7,1,,
31757900,28730960,6,,,
31757901,28730960,6,,,
31757898,28730958,6,,,
31757899,28730958,6,,,
31752715,28730963,6,,,
31757902,28730964,6,,,
31747527,28730965,6,,,
31747528,28730965,6,,,
31747529,28730966,3,,,
31757903,28730967,4,,,
31757904,28730967,7,,,
31754716,28730969,4,,,
31752716,28730971,6,,,
31752717,28730971,6,,,
31748454,28730972,5,,1,
31748455,28730972,7,1,,
31754717,28730973,4,,,
31754695,28730043,4,,,
31747530,28730977,7,,,
31747204,28730978,7,,,
31754718,28730979,5,,1,
31754719,28730979,7,1,,
31747531,28730980,4,,,
31751525,28730981,4,,,
31757905,28730982,4,,,
31751527,28730995,7,,,
31752720,28730996,5,,,
31752721,28730996,7,,,
31751526,28730985,4,,,
31747205,28730987,4,,,
31757906,28730988,4,,,
31757907,28730988,7,,,
31757908,28730988,7,,,
31757909,28730988,7,,,
31757910,28730988,7,,,
31757911,28730989,7,0,,
31748456,28730991,6,,,
31748457,28730991,6,,,
31752719,28730992,4,,,
31747532,28730993,7,0,,
31748458,28730994,7,,,
31748471,28731852,4,,,
31753580,28731921,3,,,
31752722,28731002,7,,,
31752723,28731002,7,,,
31752724,28731002,7,,,
31748459,28731003,6,,,
31748460,28731003,6,,,
31751528,28731004,6,,,
31751529,28731004,6,,,
31752725,28731005,6,,,
31752726,28731005,6,,,
31754720,28731006,6,,,
31754721,28731006,6,,,
31748461,28731007,6,,,
31748462,28731007,6,,,
31748463,28731008,4,,,
31754722,28731009,4,,,
31747534,28731013,7,,,
31748464,28731014,4,,,
31748465,28731015,7,,,
31747535,28731017,3,,,
31747536,28731017,7,,,
31747206,28731018,7,,,
31751530,28731020,7,,,
31751531,28731020,7,,,
31751532,28731020,7,,,
31751533,28731021,7,,,
31752727,28731022,7,1,,
31747537,28731023,5,,,
31747538,28731023,7,,,
31757912,28731024,7,,,
31752728,28731025,4,,,
31748466,28731027,4,,,
31748467,28731027,7,,,
31752729,28731028,7,,,
31747539,28731029,4,,,
31747540,28731029,7,,,
31754723,28731030,3,,,
31754724,28731030,5,,,
31754725,28731030,7,,,
31747208,28731031,7,,,
31747541,28731034,7,,,
31754801,28733675,7,0,,
31754754,28732667,7,,,
31752730,28731838,6,,,
31752731,28731838,6,,,
31751534,28731839,7,,,
31747209,28731840,4,,,
31747210,28731841,5,,,
31747211,28731841,7,,,
31752732,28731842,4,,,
31754726,28731844,7,,,
31754727,28731844,7,,,
31747542,28731845,7,,,
31747543,28731845,7,,,
31747544,28731845,7,,,
31748470,28731846,7,,,
31754728,28731847,4,,,
31754729,28731848,7,,,
31753560,28731849,6,,,
31753561,28731849,6,,,
31754730,28731850,6,,,
31754731,28731850,6,,,
31757913,28731851,7,,,
31757914,28731851,7,,,
31754732,28731855,7,0,,
31753562,28731856,3,,,
31753563,28731856,5,,,
31753564,28731857,7,,,
31747212,28731858,4,,,
31753565,28731859,7,,,
31751535,28731860,7,,,
31753566,28731861,6,,,
31753567,28731861,6,,,
31748472,28731862,4,,,
31753568,28731863,7,0,,
31747545,28731864,6,,,
31747213,28731865,6,,,
31747214,28731865,6,,,
31754733,28731866,6,,,
31753569,28731867,4,,,
31754734,28731868,7,,,
31747207,28731019,4,,,
31748468,28731033,6,,,
31748469,28731033,6,,,
31751536,28731869,6,,,
31751537,28731869,6,,,
31751538,28731870,6,,,
31751539,28731870,6,,,
31757915,28731873,7,,,
31751540,28731874,7,,,
31753570,28731875,3,,,
31748473,28731878,3,,,
31748474,28731878,5,,,
31754735,28731880,7,,,
31747547,28731897,5,,,
31747548,28731897,7,,,
31747549,28731899,4,,,
31748479,28731900,4,,,
31753574,28731901,7,,,
31757922,28731903,7,,,
31757923,28731903,7,,,
31753575,28731904,6,,,
31753576,28731904,6,,,
31747550,28731905,6,,,
31747551,28731905,6,,,
31751541,28731881,4,,,
31757916,28731882,6,,,
31757917,28731882,6,,,
31747546,28731883,4,,,
31747215,28731884,7,,,
31751542,28731886,6,,,
31751543,28731886,6,,,
31754736,28731887,6,,,
31754737,28731887,6,,,
31753571,28731888,4,,,
31753572,28731888,7,,,
31753573,28731888,7,,,
31748475,28731889,7,,,
31748476,28731891,7,,,
31757920,28731892,7,0,,
31748477,28731893,6,,,
31754738,28731894,7,,,
31754739,28731894,7,,,
31748478,28731895,7,,,
31757921,28731896,7,,,
31753577,28731906,4,,,
31747552,28731907,7,,,
31747553,28731907,7,,,
31747554,28731907,7,,,
31757924,28731908,3,,,
31757925,28731908,5,,,
31754740,28731909,5,,,
31754741,28731909,7,,,
31754742,28731910,5,,,
31754743,28731910,7,,,
31753578,28731912,4,,,
31747216,28731914,5,,,
31747217,28731914,7,1,,
31747218,28731914,7,,,
31748480,28731915,5,,,
31748481,28731915,7,,,
31753579,28731916,4,,,
31757926,28731917,7,,,
31747219,28731918,5,,1,
31747220,28731918,7,1,,
31747221,28731918,7,,,
31747222,28731918,7,,,
31747223,28731920,3,,,
31747224,28731920,7,,,
31754747,28731966,6,,,
31754748,28731966,6,,,
31748108,28733645,7,,,
31757918,28731885,6,,,
31757919,28731885,6,,,
31751544,28731913,6,,,
31751545,28731913,6,,,
31748482,28731923,7,,,
31753581,28731924,6,,,
31753582,28731924,6,,,
31753583,28731925,7,,,
31753584,28731925,7,,,
31753585,28731925,7,,,
31753586,28731925,7,,,
31747225,28731926,7,,,
31748483,28731927,1,,,
31748484,28731927,4,,,
31751546,28731929,6,,,
31751547,28731929,6,,,
31747226,28731931,7,,,
31757927,28731932,5,,,
31757928,28731932,7,,,
31748485,28731933,4,,,
31753587,28731934,7,,,
31747227,28731935,4,,,
31747228,28731937,4,,,
31757929,28731939,7,,,
31754744,28731940,7,,,
31754745,28731940,7,,,
31747229,28731942,6,,,
31753588,28731944,6,,,
31747555,28731946,5,,,
31747556,28731946,7,,,
31754746,28731948,4,,,
31757930,28731949,7,,,
31757931,28731949,7,,,
31757932,28731949,7,,,
31757933,28731949,7,,,
31747230,28731951,7,,,
31751550,28731953,4,,,
31748486,28731957,3,,,
31748487,28731957,7,,,
31753590,28731975,7,,,
31753591,28731975,7,,,
31753592,28731975,7,,,
31753637,28733657,7,,,
31753638,28733657,7,,,
31754752,28732663,7,,,
31747565,28732664,3,,,
31747566,28732664,5,,,
31753595,28732645,7,,,
31753596,28732645,7,,,
31753597,28732645,7,,,
31751561,28732646,7,,,
31751562,28732646,7,,,
31751563,28732646,7,,,
31747243,28732647,4,,,
31757938,28732648,5,,,
31757939,28732648,5,,,
31757940,28732648,5,,,
31757941,28732648,7,,,
31757942,28732648,7,,,
31757943,28732648,7,,,
31747564,28732649,4,,,
31747244,28732652,7,,,
31747245,28732652,7,,,
31747246,28732652,7,,,
31747247,28732653,4,,,
31747248,28732654,7,,,
31757944,28732655,7,,,
31757945,28732655,7,,,
31757946,28732655,7,,,
31757947,28732655,7,,,
31757948,28732655,7,,,
31757953,28732705,3,,,
31757954,28732705,7,,,
31747583,28732711,7,,,
31757972,28732767,7,,,
31751548,28731936,6,,,
31751549,28731936,6,,,
31747231,28731961,6,,,
31747232,28731962,7,,,
31753589,28731965,7,,,
31751551,28731967,4,,,
31747557,28731968,7,,,
31747558,28731969,4,,,
31757934,28731970,5,,,
31757935,28731970,7,,,
31751552,28731971,7,,,
31747559,28731973,7,,,
31747560,28731974,5,,0,
31747561,28731974,7,0,,
31747233,28731976,4,,,
31747234,28731977,4,,,
31751553,28731978,4,,,
31751554,28731979,4,,,
31751555,28731980,4,,,
31747235,28731981,4,,,
31751556,28731982,4,,,
31751557,28731983,4,,,
31751558,28731984,4,,,
31753593,28731985,4,,,
31754749,28731986,3,,,
31754750,28731986,7,,,
31748488,28731987,4,,,
31747562,28731988,4,,,
31747236,28731989,7,,,
31747237,28731989,7,,,
31747238,28731989,7,,,
31749312,28731990,7,,,
31749313,28731990,7,,,
31753594,28731992,4,,,
31747239,28731993,7,,,
31757936,28731994,5,,,
31757937,28731994,7,,,
31747563,28731996,7,,,
31747240,28731997,7,,,
31747241,28731997,7,,,
31747242,28731997,7,,,
31751559,28731999,7,,,
31751560,28732000,6,,,
31748143,28734664,3,,,
31748144,28734664,5,,,
31747606,28733637,7,,,
31747607,28733637,7,,,
31747608,28733637,7,,,
31749314,28732657,4,,,
31749315,28732658,7,,,
31749316,28732658,7,,,
31749317,28732658,7,,,
31757949,28732659,7,,,
31757950,28732659,7,,,
31757951,28732659,7,,,
31747249,28732660,7,0,,
31754751,28732661,7,,,
31747567,28732665,4,,,
31747568,28732665,4,,,
31747569,28732665,7,,,
31747570,28732665,7,,,
31747571,28732665,7,,,
31747572,28732665,7,,,
31747573,28732665,7,,,
31754753,28732666,7,,,
31751565,28732668,7,,,
31754755,28732669,7,,,
31747574,28732670,4,,,
31751566,28732671,4,,,
31747575,28732676,5,,,
31747576,28732676,7,,,
31749318,28732677,4,,,
31747577,28732678,3,,,
31747578,28732679,7,0,,
31754756,28732680,4,,,
31754757,28732680,7,,,
31754758,28732680,7,,,
31754759,28732680,7,,,
31753598,28732681,7,,,
31753599,28732681,7,,,
31753600,28732681,7,,,
31747579,28732682,4,,,
31753601,28732683,7,,,
31747250,28732684,4,,,
31747251,28732684,7,,,
31754760,28732685,4,,,
31749319,28732686,4,,,
31749320,28732686,6,,,
31751564,28732656,7,,,
31748081,28732687,7,1,,
