victim_id,circumstances_id,justifiable_force_id
33325810,10,
33325821,1,
33325822,1,
33314882,10,
33314892,4,
33319509,10,
33319510,10,
33319537,9,
33320299,10,
33320307,10,
33320308,10,
33320309,10,
33320318,9,
33320322,1,
33320327,9,
33320328,2,
33325873,9,
33325889,9,
33326656,1,
33326662,10,
33326677,9,
33314921,10,
33314928,1,
33314937,9,
33314950,6,
33319545,1,
33319546,1,
33319547,1,
33320364,9,
33320379,1,
33320380,1,
33326725,1,
33314979,1,
33314980,1,
33314981,1,
33315006,1,
33315771,1,
33320428,6,
33321194,1,
33321226,1,
33315815,9,
33315833,1,
33315841,1,
33321278,9,
33315879,9,
33315905,1,
33315906,6,
33315907,6,
33316681,1,
33316701,2,
33316702,1,
33322134,1,
33322162,9,
33322163,9,
33322164,9,
33322165,9,
33322166,9,
33322169,9,
33322175,9,
33316754,2,
33316769,1,
33316770,1,
33316771,1,
33316772,1,
33316773,1,
33316774,1,
33316775,1,
33316781,9,
33322190,2,
33322217,1,
33317621,9,
33317622,9,
33317642,1,
33322230,9,
33322235,9,
33322244,10,
33317726,5,
33318468,9,
33318469,9,
33318477,1,
33318494,9,
33323936,10,
33323937,10,
33318505,9,
33318513,9,
33318534,9,
33323971,1,
33324823,10,
33324831,9,
33313130,9,
33306739,9,
33313143,1,
33313173,1,
33306777,9,
33306784,1,
33306786,10,
33307632,1,
33313980,9,
33313982,9,
33306831,1,
33308513,1,
33314027,9,
33314056,9,
33314062,1,
33302100,9,
33307725,1,
33307726,10,
33314100,1,
33308576,10,
33308597,10,
33302160,9,
33302994,10,
33309422,10,
33302211,10,
33310344,9,
33310355,10,
33303114,6,
33469610,10,
33475763,10,
33475830,10,
33475832,10,
33475833,10,
33475834,10,
33475835,10,
33476580,10,
33458085,1,
33458086,1,
33458109,10,
33458110,10,
33457310,1,
33457318,1,
33458145,10,
33458148,10,
33458904,1,
33458905,10,
33458920,10,
33458925,1,
33458941,1,
33464398,6,
33458197,10,
33458952,9,
33465263,1,
33459014,1,
33459796,1,
33459816,10,
33459817,10,
33459822,6,
33459823,9,
33459824,9,
33459875,1,
33459880,1,
33452807,10,
33452825,1,
33452839,1,
33452840,1,
33459881,10,
33459897,6,
33459898,6,
33460717,10,
33309572,9,
33310382,1,
33310407,9,
33303995,9,
33310422,9,
33304059,10,
33311276,9,
33311339,1,
33304927,1,
33304928,1,
33304953,9,
33305735,10,
33305746,1,
33305747,1,
33311373,1,
33312158,9,
33304968,9,
33304969,9,
33304970,9,
33305769,1,
33305770,1,
33305777,10,
33305778,10,
33305790,1,
33306649,6,
33306653,9,
33313056,1,
33305901,9,
33306667,1,
33306709,9,
33306710,9,
33350983,1,
33350984,1,
33351733,1,
33351734,1,
33351741,6,
33351742,6,
33351747,9,
33351750,1,
33351756,6,
33351757,9,
33343866,1,
33344645,9,
33344646,1,
33345490,1,
33351806,6,
33345551,1,
33345569,1,
33352624,1,
33352625,1,
33352629,1,
33344741,1,
33344743,10,
33344745,10,
33345570,1,
33346369,1,
33346382,1,
33346383,1,
33346384,1,
33346397,10,
33346404,1,
33345626,1,
33345628,9,
33345630,9,
33346414,9,
33346418,1,
33346422,1,
33346429,10,
33346430,10,
33346467,10,
33346468,10,
33346472,1,
33347315,1,
33347316,1,
33347350,2,
33348135,1,
33347410,1,
33348182,10,
33348190,2,
33340332,10,
33348249,9,
33348272,9,
33340386,9,
33349067,10,
33349099,1,
33349100,10,
33349107,10,
33349113,1,
33340458,1,
33341206,1,
33341213,1,
33341241,1,
33342811,10,
33341268,1,
33341269,1,
33341296,17,
33342842,1,
33342864,1,
33349185,1,
33349967,2,
33349985,9,
33349986,10,
33349987,9,
33349988,9,
33349989,9,
33349990,9,
33349991,9,
33350000,1,
33350001,1,
33350002,1,
33341323,1,
33341324,1,
33341330,1,
33342095,1,
33342096,1,
33342101,1,
33342107,10,
33342132,1,
33342877,1,
33342879,1,
33342888,1,
33342917,9,
33350003,1,
33350834,1,
33341355,9,
33342140,1,
33342175,1,
33342179,1,
