arrestee_id,weapon_id,nibrs_arrestee_weapon_id
8947307,1,8952122
8945224,1,8951710
8944169,1,8951651
8947197,1,8951288
8947339,1,8950771
8886733,1,8893628
8839061,1,8844852
8837976,1,8844495
8836837,1,8844214
8835748,1,8844115
8805934,1,8808102
8937407,1,8941108
8935200,1,8940956
8935141,1,8940703
8935140,1,8940702
8935139,1,8940701
8935138,1,8940700
8935137,1,8940699
8935136,1,8940698
8935135,1,8940697
8935134,1,8940696
8941818,1,8938334
8941817,1,8938333
8939657,1,8937707
8939602,1,8937460
8939561,1,8937419
8928466,7,8935112
8927469,1,8935105
8928420,1,8934868
8928419,1,8934867
8928418,1,8934866
8928417,1,8934865
8926378,1,8922702
8926376,1,8922700
8925247,1,8922366
8923062,1,8921713
8905275,1,8908716
8905244,1,8908685
8905224,1,8908665
8901959,1,8908464
8903007,1,8908313
8902983,1,8908289
8906406,1,8904979
8894401,1,8903357
8894258,1,8902617
8897541,1,8898972
8882353,1,8880681
8844370,1,8853440
8845562,1,8849636
8845546,1,8849620
8841229,1,8841170
8840092,1,8840564
8842087,1,8840443
8827938,1,8833811
8826937,7,8833803
8830109,1,8833739
8829007,7,8833628
8826848,1,8833518
8833430,1,8830892
8832393,1,8830843
8832347,1,8830604
8831294,1,8830282
8822406,1,8828330
8819189,1,8827871
8819188,1,8827870
8821304,1,8827753
8821303,1,8827752
8819105,1,8827396
8824573,1,8824671
8825813,1,8821211
8825812,1,8821210
8824676,1,8820863
8824675,1,8820862
8824674,1,8820861
8812601,1,8817980
8812600,1,8817979
8812599,1,8817978
8812590,1,8817969
8810375,1,8817608
8813535,1,8817527
8813534,1,8817526
8811358,1,8817405
8811357,1,8817404
8810257,1,8817294
8810256,1,8817293
8810210,1,8817052
8818113,1,8815325
8816931,1,8814941
8816930,1,8814940
8815857,1,8814659
8803719,1,8812007
8805795,1,8811895
8805794,1,8811894
8805793,1,8811893
8805792,1,8811892
8805791,1,8811891
8804710,1,8811542
8809133,1,8804651
8808077,1,8804584
8689486,1,8691845
8675261,1,8673387
8687528,1,8692416
8941834,2,8938350
8939564,1,8937422
8929558,1,8934946
8837961,1,8844281
8837909,1,8844230
8830211,1,8834236
8809150,1,8804668
8809149,1,8804667
8809148,1,8804666
8809144,1,8804662
8734841,1,8743216
8733659,1,8730222
8939633,1,8937683
8939595,1,8937453
8939587,1,8937445
8939565,1,8937423
8735871,1,8743046
8735833,1,8743008
8735832,1,8743007
8734782,1,8742958
8734761,1,8742937
8734739,1,8742715
8719214,1,8726927
8946413,1,8952030
8946392,1,8952009
8945262,1,8951945
8946382,1,8951802
8946369,1,8951789
8944168,1,8951650
8944140,1,8951622
8945176,1,8951466
8944070,1,8951356
8945118,1,8951211
8944052,1,8951141
8947187,1,8950558
8708058,1,8707914
8708057,1,8707913
8708056,1,8707912
8949361,1,8947367
8949332,1,8947338
8949324,1,8947330
8949289,1,8947099
8949277,1,8947087
8949235,1,8946848
8949231,1,8946844
8938616,1,8941717
8938580,1,8941681
8938579,1,8941680
8937519,1,8941612
8936418,1,8941571
8936383,1,8941536
8936377,1,8941334
8936354,1,8941311
8936349,1,8941306
8935277,1,8941230
8935263,1,8941216
8935257,1,8941210
8938473,1,8941182
8936282,1,8941042
8935217,1,8940973
8937343,1,8940848
8940813,1,8938518
8941838,1,8938354
8941816,1,8938332
8941784,1,8938107
8940719,1,8938038
8940711,1,8938030
8940679,1,8937998
8939742,1,8937984
8939723,1,8937965
8939712,1,8937954
8939667,1,8937717
8939646,1,8937696
8930750,1,8935794
8928592,7,8935435
8927466,1,8935102
8930667,1,8934986
8932982,1,8932162
8932966,1,8932146
8934148,1,8928579
8934144,1,8928575
8934108,1,8928344
8934105,1,8928341
8933047,1,8928279
8921945,1,8926217
8921821,1,8924912
8920798,1,8924873
8925200,8,8922124
8924073,1,8921799
8915308,1,8915565
8915307,1,8915564
8904253,1,8908890
8903005,1,8908311
8901951,1,8908257
8906476,1,8905240
8906461,1,8905225
8894402,1,8903358
8894391,3,8903148
8895321,1,8902678
8896336,1,8902435
8896326,3,8902227
8895158,1,8902120
8895157,1,8902119
8745912,1,8753261
8738127,1,8744202
8735902,1,8743275
8734866,1,8743241
8734842,1,8743217
8734829,1,8743204
8734827,1,8743202
8740487,1,8740500
8728169,1,8737546
8727088,1,8737264
8727081,1,8737257
8731418,1,8733455
8733705,1,8730465
8733697,1,8730457
8733696,1,8730456
8732640,1,8730397
8733666,1,8730229
8732589,1,8730149
8732565,1,8730125
8731537,1,8730096
8731534,1,8730093
8731519,1,8730078
8731518,1,8730077
8733620,1,8729987
8732511,1,8729875
8731481,1,8729844
8731450,1,8729813
8731446,1,8729809
8731438,1,8729801
8725937,1,8724573
8711402,1,8721007
8710301,1,8720712
8713557,1,8716790
8714816,1,8713743
8714780,1,8713509
8703807,1,8711220
8701490,1,8710559
8700438,1,8698219
8699236,1,8697618
8699222,1,8697604
8698163,1,8697539
8689606,1,8688502
8679542,1,8687048
8677366,1,8685623
8683005,1,8683146
8681970,1,8683109
8681969,1,8683108
8681920,1,8682861
8680722,1,8682006
8918548,1,8924475
8734809,1,8742985
8725912,1,8724548
8691818,1,8688916
8691795,1,8688893
8691793,1,8688891
8677465,1,8686118
8678562,1,8685950
8677446,1,8685901
8677431,1,8685886
8677427,1,8685882
8677419,1,8685874
8677414,1,8685869
8677403,1,8685858
8677389,1,8685844
8676346,1,8685801
8676345,1,8685800
8676344,1,8685799
8676325,1,8685780
8679636,1,8685754
8678498,1,8685689
8678491,1,8685682
8678474,1,8685665
8678472,1,8685663
8677383,1,8685640
8677369,1,8685626
8677365,3,8685622
8677346,3,8685603
8677345,1,8685602
8677334,1,8685591
8677333,1,8685590
8677328,1,8685585
8676297,1,8685554
8676262,1,8685519
8678454,1,8685447
8678453,1,8685446
8678428,1,8685421
8678426,1,8685419
8677306,1,8685365
8676226,1,8685284
8676223,1,8685281
8676222,1,8685280
8676197,1,8685255
8683084,1,8683421
8684031,1,8682975
8682935,1,8682678
8681839,1,8682582
8681838,1,8682581
8681808,1,8682551
8680749,1,8682230
8680728,1,8682012
8680727,1,8682011
8675394,1,8673918
8675372,1,8673697
8675365,1,8673690
8675358,1,8673683
8675297,1,8673423
8675275,1,8673401
8674227,1,8673358
8674222,1,8673353
8673120,1,8673251
8845417,1,8853496
8913061,1,8918973
8909737,1,8906184
8907438,1,8905278
8893345,1,8903303
8894288,1,8902848
8897393,1,8902770
8920833,7,8925104
8920822,1,8925093
8919748,1,8925075
8926368,1,8922692
8895340,1,8902897
8894325,1,8902885
8894277,1,8902837
8894276,1,8902836
8897448,1,8902825
8896452,1,8902748
8896448,1,8902744
8895329,1,8902686
8895328,1,8902685
8895326,1,8902683
8895324,1,8902681
8895280,1,8902637
8895272,1,8902629
8895269,1,8902626
8894253,3,8902612
8894241,1,8902600
8894239,1,8902598
8896344,1,8902443
8896343,1,8902442
8947275,1,8952090
8947267,1,8952082
8946419,1,8952036
8945302,1,8951985
8945283,1,8951966
