victim_id,offender_id,relationship_id,nibrs_victim_offender_id
35649132,37140792,21,11443781
35649132,37140793,25,11778371
35649133,37140792,25,11443780
35649133,37140793,21,11725463
35649134,37140794,18,11023946
35649134,37140795,18,11677667
35649138,37140799,16,11023945
35649139,37140800,24,11443779
35649143,37140804,21,11443778
35649145,37142320,3,11448797
35649151,37142326,21,11448796
35649153,37142328,3,11448795
35649156,37142330,18,11448794
35649162,37142337,21,11448793
35649163,37142338,15,10578557
35649163,37142339,25,11778184
35649164,37142338,15,10578556
35649164,37142339,17,11670720
35649167,37142345,1,11448792
35649167,37142346,1,11588269
35649180,37142362,21,11448791
35649181,37142363,21,10999352
35649183,37142365,3,11448790
35649189,37142372,17,11448789
35649192,37142375,1,10999351
35649195,37142378,21,11448788
35649277,37142470,17,11023952
35649278,37142470,19,11023951
35649279,37142470,22,11023950
35649281,37142470,3,11023949
35649197,37142382,21,11448787
35649204,37142392,5,11443835
35649204,37142393,5,11628606
35649205,37142392,13,11443834
35649205,37142393,13,11639121
35649211,37142399,16,10578549
35649276,37142469,10,11443816
35649220,37142408,9,10578548
35649221,37142409,21,11443833
35649222,37142410,16,11443832
35649227,37142415,16,11443831
35649228,37142415,16,11443830
35649240,37142428,9,10578546
35649240,37142429,9,11633990
35649240,37142431,9,11884207
35649240,37142430,9,11831678
35649244,37142434,3,11443826
35649247,37142437,4,11443825
35649231,37142420,5,11443829
35649232,37142420,5,11443828
35649233,37142421,26,11443827
35649235,37142423,17,10578547
35649251,37142441,3,11443824
35649252,37142442,1,10578545
35649253,37142443,3,11443823
35649254,37142444,17,11443822
35649258,37142449,15,11443821
35649261,37142452,3,11443820
35649263,37142454,26,11443819
35649269,37142460,24,11023954
35649271,37142462,5,11443818
35649272,37142463,17,11443817
35649274,37142465,19,11023953
35649284,37142473,18,11443815
35649290,37142480,26,11443814
35649296,37142485,21,11443813
35649298,37142487,24,11443812
35649299,37142487,24,11443811
35649300,37142487,24,11443810
35650194,37142490,17,11443809
35650195,37142491,17,11443808
35650199,37142496,26,11443807
35650201,37142498,1,11443806
35650203,37142500,3,11443777
35650210,37142509,26,11443776
35650211,37142510,19,11094632
35650212,37142511,6,11443775
35650216,37142515,1,11443774
35650222,37142522,26,11443773
35650232,37142532,18,11094631
35650234,37142534,16,10578521
35650235,37142535,3,11443772
35650239,37142538,19,11443771
35650241,37142539,3,11443770
35650242,37142540,3,11443769
35650243,37142540,1,11443768
35650244,37142541,1,11443767
35650245,37142542,1,11443766
35650246,37142543,3,11443765
35650253,37142549,3,11438792
35650256,37142552,1,10578520
35650262,37142559,26,11438791
35650263,37142559,15,11438790
35650264,37142560,6,10578519
35650266,37142562,6,10578518
35650271,37142566,16,11438789
35650274,37142569,16,10578517
35650274,37142570,16,11665054
35650275,37142571,18,11438788
35650275,37142572,25,11793009
35650276,37142571,25,11438787
35650276,37142572,18,11688440
35650277,37142573,18,11461224
35650277,37142574,1,11573443
35650280,37142577,1,10578516
35650283,37142580,24,10578515
35650283,37142581,24,11762085
35650284,37142582,24,11438786
35650285,37142583,17,11438785
35650290,37142588,21,11438784
35650294,37142592,18,10578514
35650294,37142593,18,11677823
35650294,37142594,18,11871796
35650300,37142599,1,11438783
35650311,37142608,6,11438782
35650313,37142610,24,11438781
35650313,37142611,24,11734730
35650314,37142610,25,11438780
35650314,37142611,21,11725421
35650357,37144185,3,11448786
35650362,37144189,3,10578555
35650363,37144189,1,10578554
35650366,37144191,1,11448785
35650323,37142619,3,11448902
35650329,37142625,16,11448901
35650331,37142627,6,11448900
35650332,37142627,5,11448899
35650333,37142627,5,11448898
35650335,37142627,16,11448896
35650334,37142627,15,11448897
35650336,37142628,6,10540699
35650338,37144167,1,11393230
35650344,37144173,3,10578563
35650345,37144174,3,11393229
35650348,37144177,6,11393228
35650352,37144180,15,10999353
35651305,37144240,9,11448764
35651254,37144194,24,11448784
35651255,37144194,24,11448783
35651256,37144194,24,11448782
35651257,37144195,21,11448781
35651258,37144195,13,11448780
35651266,37144204,1,11448779
35651270,37144209,3,11448778
35651273,37144211,16,11448777
35651281,37144216,17,11448776
35651282,37144216,16,11448775
35651286,37144220,24,11448774
35651288,37144222,1,11448773
35651291,37144225,9,11448772
35651297,37144230,1,11448771
35651298,37144230,26,11448770
35651299,37144230,1,11448769
35651300,37144231,21,11448768
35651301,37144232,3,11448767
35651302,37144233,24,11448766
35651304,37144239,13,11448765
35651312,37144248,21,11448763
35651327,37144259,1,11448762
35651328,37144260,18,10999350
35651334,37144265,9,11448761
35651335,37144266,9,10999349
35651338,37144273,1,11448760
35651343,37144278,3,10578553
35651348,37144283,6,10488540
35651352,37144287,16,11448759
35651361,37144297,16,11443805
35653527,37146243,16,11393387
35651367,37144302,24,11443804
35651367,37144303,18,11677666
35651367,37144304,18,11872047
35651369,37144305,16,11443803
35651372,37144308,18,11094633
35651390,37144326,1,11443802
35651391,37144326,3,11443801
35651414,37144334,16,11443800
35651414,37144335,16,11650664
35651420,37144341,1,11443799
35652320,37144356,1,11443798
35652321,37144357,24,10578544
35652321,37144358,24,11762083
35652321,37144359,24,11831677
35652326,37144364,16,11443797
35652327,37144365,16,11443796
35652331,37144368,16,11443795
35652334,37144371,24,11461225
35652334,37144372,24,11734135
35652341,37144379,16,10578543
35652345,37144382,26,11023948
35652347,37144384,17,11443794
35653526,37146242,16,11393388
35652349,37144386,24,11443793
35652355,37144390,3,11443792
35652358,37144393,3,11023947
35652375,37144411,21,11448895
35652380,37144416,16,11448894
35652380,37144417,16,11650585
35652380,37144418,16,11872261
35652381,37144416,24,11448893
35652381,37144417,24,11734731
35652381,37144418,24,11872260
35652382,37144416,24,11448892
35652382,37144417,24,11734732
35652382,37144418,24,11872259
35652383,37144419,24,11448891
35652384,37144420,25,11448890
35652384,37144421,26,11814148
35652385,37144420,26,11448889
35652385,37144421,25,11778181
35652419,37144454,24,10609825
35652419,37144455,24,11734733
35652419,37144456,24,11872258
35652419,37144457,24,11900161
35652420,37144454,24,10609824
35652420,37144455,24,11734734
35652420,37144456,24,11872257
35652420,37144457,24,11900160
35652424,37144463,17,11448888
35652426,37144466,3,11448887
35652430,37144471,3,11448886
35652438,37146046,1,10540707
35652440,37146048,3,11393325
35652447,37146051,15,11393324
35652448,37146052,21,11393323
35652456,37146060,1,11393322
35652466,37146071,16,11393321
35652468,37146073,25,11393320
35652468,37146074,3,11619329
35652479,37146086,15,11393319
35653409,37146123,4,11393277
35652482,37146089,16,11393318
35652489,37146096,15,11013977
35652496,37146103,19,10439043
35653396,37146109,4,10439042
35653410,37146124,9,11393276
35653414,37146128,26,10540701
35653415,37146129,3,11393275
35653417,37146130,1,11448927
35653421,37146134,21,11448926
35653422,37146135,3,11448925
35653428,37146141,3,11448924
35653430,37146142,16,11448923
35653431,37146143,21,11448922
35653432,37146144,6,11448921
35653434,37146146,19,10540700
35653450,37146163,21,11448920
35653451,37146164,1,11448919
35653451,37146165,1,11573013
35653451,37146166,1,11872262
35653459,37146173,1,11448918
35653461,37146175,26,11448917
35653462,37146176,3,11448916
35653463,37146177,21,11448915
35653464,37146178,17,11448914
35653468,37146182,24,11448913
35653469,37146182,24,11448912
35653472,37146185,16,11448911
35653476,37146189,18,11448910
35653477,37146189,18,11448909
35653481,37146195,1,11448908
35653484,37146198,26,11448907
35653486,37146201,1,11013968
35653495,37146211,16,11448906
35653500,37146216,26,11448905
35653503,37146219,1,11448904
35653505,37146221,1,11448903
35653505,37146222,24,11733998
35653505,37146225,24,11903659
35653505,37146224,24,11900612
35653505,37146223,24,11874710
35653509,37146230,9,11393391
35653510,37146230,9,11393390
35653516,37146235,24,11463131
35653523,37146240,4,11393389
35653529,37146245,6,11393386
35653530,37146245,19,11393385
35653533,37146248,6,11393384
35653536,37146251,26,11393383
35653539,37146254,6,11393382
35653539,37146255,25,11780573
35653540,37146254,25,11393381
35653540,37146255,6,11632284
35653542,37146257,25,11393380
35653542,37146258,6,11632285
35653543,37146257,6,11393379
35653543,37146258,25,11780574
35653550,37146266,3,10831525
35653553,37146271,14,11393378
35653558,37146276,3,11393377
35654492,37146321,18,11086345
35654493,37146322,21,11393370
35653567,37146284,26,11393376
35653568,37146284,16,11393375
35654499,37146329,21,11393369
35654499,37146330,25,11791412
35654500,37146329,25,11393368
35654500,37146330,21,11727867
35654505,37146336,18,11086344
35653569,37146285,18,11086346
35654581,37147969,3,11449012
35654508,37146340,21,11449023
35654587,37147974,19,11449011
35654518,37147910,14,11013976
35654518,37147911,14,11640536
35654519,37147910,14,11013975
35654519,37147911,14,11640537
35654520,37147910,14,11013974
35654520,37147911,14,11640538
35654466,37146294,20,11393374
35654516,37146349,9,11448954
35654516,37146350,9,11633973
35654525,37147916,1,11013973
35654526,37147916,16,11013972
35654527,37147916,1,11013971
35654553,37147944,5,11449020
35654469,37146297,25,11393373
35654469,37146298,6,11632878
35654470,37146297,6,11393372
35654470,37146298,25,11805402
35654528,37147917,25,11393312
35654528,37147918,5,11628830
35654529,37147917,17,11393311
35654529,37147918,25,11780575
35654530,37147919,3,11393310
35654540,37147931,18,11096467
35654548,37147939,9,11013970
35654549,37147940,14,11449022
35654552,37147943,15,11449021
35654570,37147961,1,11449019
35654570,37147962,25,11778173
35654571,37147961,9,11449018
35654571,37147962,3,11618729
35654572,37147961,9,11449017
35654572,37147962,16,11650584
35654573,37147961,3,11449016
35654573,37147962,1,11573002
35654574,37147961,25,11449015
35654574,37147962,1,11573003
35654577,37147965,1,11449014
35654578,37147966,6,11449013
35654486,37146312,1,11393371
35654486,37146313,1,11585826
35654486,37146314,9,11869938
35655555,37148037,3,11449002
35655556,37148038,21,11449001
35655556,37148039,25,11778174
35655557,37148038,25,11449000
35655557,37148039,21,11725420
35655558,37148038,5,11448999
35655558,37148039,5,11628577
35655559,37148038,20,11448998
35655559,37148039,5,11628578
35655569,37148056,1,11448997
35655569,37148057,25,11778175
