suspect_using_id,offense_id
4,41814848
4,41814849
4,41812437
4,41814846
4,41814087
3,41814656
4,41814847
1,41812438
1,41812439
4,41814686
4,41814088
3,41811831
3,41811832
4,41812440
4,41812441
4,41813456
4,41813457
3,41812442
4,41814657
4,41815519
4,41813458
4,41814089
4,41814090
4,41814658
3,41814659
3,41814660
3,41814093
1,41815520
4,41814661
4,41815521
4,41812443
4,41812444
1,41812445
1,41811833
1,41811834
4,41814091
4,41814092
4,41812446
3,41814850
3,41814851
4,41814662
3,41814094
3,41814095
4,41814852
4,41814853
1,41814663
1,41811835
3,41811835
4,41814854
4,41811836
4,41814664
4,41815522
4,41811837
4,41813459
4,41812447
4,41812448
4,41812449
4,41815523
1,41813460
4,41821881
1,41812450
3,41813461
3,41813462
4,41812451
4,41816279
4,41813463
4,41813464
4,41811838
4,41811839
4,41813465
4,41814665
1,41813466
1,41813467
4,41821882
4,41813468
4,41813469
3,41814666
3,41815524
3,41815525
4,41821883
1,41812452
3,41812452
1,41812453
3,41812453
4,41815526
4,41815527
4,41813470
4,41812464
4,41813483
3,41813485
1,41813486
3,41813486
4,41814096
4,41811840
1,41812454
1,41812455
4,41812456
4,41812457
4,41814097
4,41816280
3,41816281
4,41812458
1,41821884
1,41821885
4,41821886
4,41821887
4,41812459
1,41816282
4,41814098
4,41816283
4,41812460
4,41814099
4,41814100
4,41813471
4,41814667
4,41812461
4,41812462
4,41814668
3,41814101
1,41821888
3,41821888
1,41821889
3,41821889
4,41821890
4,41821891
1,41813472
4,41813484
4,41821892
4,41813473
4,41821893
4,41814669
4,41814670
4,41814671
3,41813474
3,41813475
4,41812463
4,41811841
4,41811842
4,41811843
3,41811844
4,41821894
4,41821895
4,41816284
4,41814102
4,41814104
4,41818833
3,41818834
3,41818835
1,41814672
4,41814673
4,41814674
1,41813476
4,41814675
4,41814103
4,41821896
4,41816285
4,41818830
4,41818831
4,41813477
4,41813478
4,41814676
4,41814677
4,41814105
4,41814106
4,41816286
4,41814678
4,41814679
4,41821897
4,41821898
1,41818832
4,41812465
4,41814680
3,41816287
3,41816288
4,41814107
4,41821899
4,41818836
4,41814681
4,41813481
4,41821900
3,41818837
3,41818838
4,41814108
4,41818839
4,41812466
4,41812467
4,41813482
3,41813479
3,41813480
4,41814682
4,41814683
1,41818840
3,41818841
3,41818842
4,41818843
4,41821901
4,41814684
4,41814685
1,41814109
4,41821902
4,41816289
4,41821903
1,41821904
4,41816290
1,41814110
4,41820341
4,41812468
1,41816291
4,41812469
4,41814687
4,41818845
4,41818846
4,41818847
4,41816292
4,41816293
4,41814688
4,41818848
4,41821906
4,41812470
4,41812471
4,41818849
4,41821907
4,41818850
4,41821908
4,41814689
1,41812472
4,41816294
4,41814690
4,41816295
4,41812473
4,41814910
4,41821909
4,41821910
4,41812474
4,41812475
4,41821911
4,41818851
3,41813487
3,41813488
4,41821912
1,41816296
1,41816297
1,41816298
4,41821913
4,41821914
4,41814691
4,41812476
4,41813489
4,41818852
4,41818853
4,41821915
4,41821916
4,41812477
4,41812478
4,41821917
4,41821918
1,41818854
3,41818854
4,41818855
4,41814111
1,41812479
1,41812480
1,41812481
1,41821919
4,41814112
4,41812486
4,41812487
4,41814722
4,41814723
3,41818881
4,41819908
4,41813490
4,41813491
4,41812482
4,41814692
4,41816299
4,41813492
1,41812483
3,41812483
1,41818856
4,41812484
4,41814113
4,41813493
4,41816300
3,41821920
3,41814693
3,41814694
4,41812485
1,41816301
4,41812488
4,41814114
1,41818857
1,41821921
3,41821921
1,41821922
3,41821922
1,41821923
3,41821923
1,41813494
3,41813494
1,41813495
3,41813495
1,41813496
3,41813496
4,41814695
1,41821924
4,41814115
4,41816302
3,41812489
3,41812490
3,41812491
4,41814116
4,41812492
1,41814117
4,41812493
3,41821925
3,41821926
4,41816303
4,41821927
4,41814118
4,41816304
4,41814949
4,41822337
4,41821905
4,41814126
4,41814127
4,41812495
4,41812496
4,41816306
4,41818862
4,41814697
4,41814698
